data,ticker,preco_atual,target_low,target_mean,target_median,target_high,upside_pct,recommendation_key,recommendation_mean,num_analistas
2026-08-24,ABCB4,22.72,21.8361,27.75957,28.0,32.0,0.2218120598591551,none,,9.0
2026-08-25,ABCB4,23.05,21.8361,27.75957,28.0,32.0,0.2043197396963123,none,,9.0
2026-08-27,ABCB4,23.04,21.8361,27.75957,28.0,32.0,0.20484244791666661,none,,9.0
2026-08-24,ABEV3,15.25,13.0,16.34118,16.5,20.0,0.0715527868852459,hold,3.33333,17.0
2026-08-25,ABEV3,15.31,13.0,16.34118,16.5,20.0,0.0673533638145003,hold,3.33333,17.0
2026-08-27,ABEV3,15.24,13.0,16.34118,16.5,20.0,0.07225590551181105,hold,3.33333,17.0
2026-08-24,ALOS3,26.01,28.0,34.88462,35.0,39.0,0.3412003075740097,buy,1.53846,13.0
2026-08-25,ALOS3,26.56,28.0,34.88462,35.0,39.0,0.3134269578313253,buy,1.53846,13.0
2026-08-27,ALOS3,26.43,28.0,34.88462,35.0,39.0,0.3198872493378735,buy,1.53846,13.0
2026-08-24,ALPA4,12.7,12.0,14.4375,13.75,20.0,0.1368110236220472,buy,2.5,8.0
2026-08-25,ALPA4,13.24,12.0,14.4375,13.75,20.0,0.0904456193353473,buy,2.5,8.0
2026-08-27,ALPA4,13.6,12.0,14.4375,13.75,20.0,0.061580882352941124,buy,2.5,8.0
2026-08-24,ALUP11,31.96,35.7,41.88455,41.0,47.0,0.3105303504380474,buy,1.63636,11.0
2026-08-25,ALUP11,32.66,35.7,41.88455,41.0,47.0,0.2824418248622169,buy,1.63636,11.0
2026-08-27,ALUP11,32.8,35.7,41.88455,41.0,47.0,0.2769679878048781,buy,1.63636,11.0
2026-08-24,ANIM3,2.51,1.8,3.6,3.1,6.5,0.4342629482071714,hold,3.18182,10.0
2026-08-25,ANIM3,2.74,1.8,3.6,3.1,6.5,0.3138686131386861,hold,3.18182,10.0
2026-08-27,ANIM3,2.73,1.8,3.6,3.1,6.5,0.31868131868131866,hold,3.18182,10.0
2026-08-24,ARML3,3.45,2.5,6.67778,6.0,14.0,0.9355884057971012,buy,2.0,9.0
2026-08-25,ARML3,3.7,2.5,6.67778,6.0,14.0,0.8048054054054055,buy,2.0,9.0
2026-08-27,ARML3,3.7,2.5,6.67778,6.0,14.0,0.8048054054054055,buy,2.0,9.0
2026-08-24,ASAI3,8.31,9.0,10.87143,11.0,13.0,0.3082346570397112,buy,1.85714,14.0
2026-08-25,ASAI3,8.96,9.0,10.87143,11.0,13.0,0.2133292410714284,buy,1.85714,14.0
2026-08-27,ASAI3,8.37,9.0,10.87143,11.0,13.0,0.29885663082437297,buy,1.85714,14.0
2026-08-24,AUAU3,3.23,3.75,4.4,4.25,5.2,0.3622291021671828,hold,3.0,7.0
2026-08-25,AUAU3,3.33,3.75,4.4,4.25,5.2,0.3213213213213213,hold,3.0,7.0
2026-08-27,AUAU3,3.28,3.75,4.4,4.25,5.2,0.3414634146341464,hold,3.0,7.0
2026-08-24,AURE3,10.25,11.5,14.64769,14.45,19.0,0.4290429268292683,hold,3.0,13.0
2026-08-25,AURE3,10.71,11.5,14.64769,14.45,19.0,0.3676647992530344,hold,3.0,13.0
2026-08-27,AURE3,10.85,11.5,14.64769,14.45,19.0,0.35001751152073735,hold,3.0,13.0
2026-08-24,AXIA3,52.53,63.3,70.075,71.0,79.0,0.3339996192651817,strong_buy,1.28571,14.0
2026-08-25,AXIA3,53.65,63.3,70.075,71.0,79.0,0.3061509785647718,strong_buy,1.28571,14.0
2026-08-27,AXIA3,53.41,63.3,70.075,71.0,79.0,0.3120202209324099,strong_buy,1.28571,14.0
2026-08-24,AZZA3,14.54,17.0,26.80769,25.0,40.0,0.8437200825309492,buy,2.21429,13.0
2026-08-25,AZZA3,14.64,17.0,26.80769,25.0,40.0,0.8311263661202186,buy,2.21429,13.0
2026-08-27,AZZA3,14.89,17.0,26.80769,25.0,40.0,0.8003821356615177,buy,2.21429,13.0
2026-08-24,B3SA3,15.45,15.0,19.78571,20.0,23.0,0.2806284789644016,buy,1.85714,14.0
2026-08-25,B3SA3,15.75,15.0,19.78571,20.0,23.0,0.2562355555555557,buy,1.85714,14.0
