,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-90166000.0,48139000.0,90247000.0,24147000.0,91725000.0,,
Repayment Of Debt,-22647000.0,-101651000.0,-1763000.0,-3503000.0,-4088000.0,,
Issuance Of Debt,98911000.0,149731000.0,496618000.0,-246000.0,,,971316000.0
Capital Expenditure,-578000.0,-343000.0,,,,,
End Cash Position,87113000.0,161967000.0,239639000.0,512001000.0,363919000.0,,
Beginning Cash Position,161967000.0,239639000.0,512001000.0,363919000.0,470640000.0,,
Changes In Cash,-74854000.0,-77672000.0,-272361000.0,148082000.0,-106721000.0,,
Financing Cash Flow,-23506000.0,-101167000.0,475957000.0,-3148000.0,-198565000.0,,
Net Other Financing Charges,-56379000.0,-139193000.0,-15856000.0,5595000.0,-172072000.0,,
Cash Dividends Paid,-29361000.0,-4318000.0,945000.0,-1073000.0,-19882000.0,,
Net Common Stock Issuance,,,-779000.0,-1002000.0,,,
Net Issuance Payments Of Debt,76264000.0,48080000.0,494855000.0,-3749000.0,-3842000.0,,
Net Long Term Debt Issuance,76264000.0,48080000.0,494855000.0,-3749000.0,-3842000.0,,
Long Term Debt Payments,-22647000.0,-101651000.0,-1763000.0,-3503000.0,-4088000.0,,
Long Term Debt Issuance,98911000.0,149731000.0,496618000.0,-246000.0,,,971316000.0
Investing Cash Flow,38240000.0,-24987000.0,-838565000.0,127083000.0,112000.0,,
Net Other Investing Changes,,,,,,,0.0
Dividends Received Cfi,,,0.0,0.0,,,
Net Investment Purchase And Sale,38817000.0,41740000.0,-833652000.0,136549000.0,119000.0,,
Net Business Purchase And Sale,1000.0,-66384000.0,-4913000.0,-9466000.0,0.0,,
Purchase Of Business,1000.0,-66384000.0,-5500000.0,-9466000.0,0.0,,
Net Intangibles Purchase And Sale,-578000.0,-343000.0,0.0,0.0,-7000.0,,
Purchase Of Intangibles,-578000.0,-343000.0,0.0,0.0,-7000.0,,
Operating Cash Flow,-89588000.0,48482000.0,90247000.0,24147000.0,91732000.0,,
Taxes Refund Paid,2596000.0,-2596000.0,-14081000.0,0.0,-2083000.0,,
Interest Paid Cfo,-101429000.0,-159064000.0,-61980000.0,-133993000.0,-70321000.0,,
Change In Working Capital,-325119000.0,172194000.0,253765000.0,-81168000.0,28085000.0,,
Change In Other Current Assets,22469000.0,2630000.0,39190000.0,9781000.0,-23129000.0,,
Change In Payable,-168965000.0,102065000.0,240952000.0,-92380000.0,69641000.0,,
Change In Inventory,233000.0,-2950000.0,-979000.0,652000.0,-3630000.0,,
Change In Receivables,-184992000.0,77318000.0,-949000.0,-6237000.0,-18880000.0,,
Other Non Cash Items,129385000.0,135583000.0,36666000.0,112668000.0,102391000.0,,
Stock Based Compensation,1733000.0,1687000.0,2716000.0,-180000.0,179000.0,,
Provisionand Write Offof Assets,1849000.0,902000.0,-1193000.0,5845000.0,-331000.0,,
Depreciation And Amortization,94401000.0,93037000.0,66921000.0,58043000.0,59153000.0,,
Amortization Cash Flow,,,-613000.0,5996000.0,,,
Depreciation,90780000.0,93037000.0,67534000.0,52047000.0,48488000.0,,
Gain Loss On Investment Securities,-1396000.0,-30028000.0,7024000.0,-25949000.0,-8598000.0,,
Gain Loss On Sale Of Business,6956000.0,-46773000.0,,,2998000.0,0.0,
Net Income From Continuing Operations,-15138000.0,10045000.0,6939000.0,50091000.0,-17663000.0,,
