,2026-06-30,2026-03-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-1673839.823649,-4818900.0,0.0,0.0
Tax Rate For Calcs,0.34763,0.3,0.32061,0.28
Normalized EBITDA,533046000.0,223509000.0,83841000.0,123368000.0
Total Unusual Items,-4815000.0,-16063000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-4815000.0,-16063000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,96477000.0,39398000.0,37378000.0,15380000.0
Reconciled Depreciation,325568000.0,83693000.0,,74712000.0
Reconciled Cost Of Revenue,930513000.0,899287000.0,405800000.0,392120000.0
EBITDA,528231000.0,207446000.0,83841000.0,123368000.0
EBIT,202663000.0,123753000.0,83841000.0,48656000.0
Net Interest Income,-46119000.0,-50847000.0,-17553000.0,-18703000.0
Interest Expense,54776000.0,61298000.0,28824000.0,27304000.0
Interest Income,17252000.0,20723000.0,10591000.0,6930000.0
Normalized Income,99618160.176351,50642100.0,37378000.0,15380000.0
Net Income From Continuing And Discontinued Operation,96477000.0,39398000.0,37378000.0,15380000.0
Total Expenses,1569732000.0,1574215000.0,677706000.0,665412000.0
Total Operating Income As Reported,,117877000.0,,40075000.0
Diluted Average Shares,863759295.0,857680426.0,860793811.0,860793811.0
Basic Average Shares,863759295.0,857680426.0,860793811.0,860793811.0
Diluted EPS,0.11,0.048586,0.043423,0.017867
Basic EPS,0.11,0.048586,0.043423,0.017867
Diluted NI Availto Com Stockholders,96477000.0,39398000.0,37378000.0,15380000.0
Net Income Common Stockholders,96477000.0,39398000.0,37378000.0,15380000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,96477000.0,39398000.0,37378000.0,15380000.0
Net Income Including Noncontrolling Interests,96477000.0,39398000.0,37378000.0,15380000.0
Net Income Continuous Operations,96477000.0,39398000.0,37378000.0,15380000.0
Tax Provision,51410000.0,23057000.0,17639000.0,5972000.0
Pretax Income,147887000.0,62455000.0,55017000.0,21352000.0
Net Non Operating Interest Income Expense,-46119000.0,-50847000.0,-17553000.0,-18703000.0
Total Other Finance Cost,8595000.0,10272000.0,-680000.0,-1671000.0
Interest Expense Non Operating,54776000.0,61298000.0,28824000.0,27304000.0
Interest Income Non Operating,17252000.0,20723000.0,10591000.0,6930000.0
Operating Income,197226000.0,117940000.0,72640000.0,40075000.0
Operating Expense,639219000.0,674928000.0,271906000.0,273292000.0
Other Operating Expenses,-51074000.0,3079000.0,-2609000.0,-3211000.0
Selling General And Administration,690293000.0,671849000.0,274515000.0,276503000.0
Selling And Marketing Expense,532362000.0,517062000.0,217365000.0,209633000.0
General And Administrative Expense,157931000.0,154787000.0,57150000.0,66870000.0
Gross Profit,836445000.0,792868000.0,344546000.0,313367000.0
Cost Of Revenue,930513000.0,899287000.0,405800000.0,392120000.0
Total Revenue,1766959000.0,1692092000.0,750346000.0,705487000.0
Operating Revenue,1766959000.0,1692092000.0,750346000.0,705487000.0
