,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,110384077.0,150666852.779242,201450680.0,145177589.4,119098036.4,,
Tax Rate For Calcs,0.1718,0.28434,0.34,0.2703,0.2282,,
Normalized EBITDA,1924333000.0,2053117000.0,2934281000.0,1309897000.0,1818702000.0,,
Total Unusual Items,642515000.0,529883000.0,592502000.0,537098000.0,521902000.0,,
Total Unusual Items Excluding Goodwill,642515000.0,529883000.0,592502000.0,537098000.0,521902000.0,,
Net Income From Continuing Operation Net Minority Interest,1698848000.0,1476968000.0,907784000.0,1246111000.0,1325647000.0,,
Reconciled Depreciation,95276000.0,95679000.0,96912000.0,95740000.0,96844000.0,,
Reconciled Cost Of Revenue,788948000.0,719474000.0,700134000.0,671750000.0,654273000.0,,
EBITDA,2566848000.0,2583000000.0,3526783000.0,1846995000.0,2340604000.0,,
EBIT,2471572000.0,2487321000.0,3429871000.0,1751255000.0,2243760000.0,,
Net Interest Income,-434206000.0,-414998000.0,-480039000.0,-488533000.0,-436664000.0,,
Interest Expense,417423000.0,423305000.0,1600562000.0,43841000.0,409426000.0,,
Interest Income,663000.0,44416000.0,21085000.0,2059000.0,505000.0,,
Normalized Income,1166717077.0,1097751852.779242,516732680.0,854190589.4,922843036.4,,
Net Income From Continuing And Discontinued Operation,1698848000.0,1476968000.0,907784000.0,1246111000.0,1325647000.0,,
Total Expenses,996109000.0,944702000.0,947932000.0,867064000.0,865052000.0,,
Rent Expense Supplemental,,,,389000.0,505000.0,576000.0,811000.0
Diluted Average Shares,5039786652.0,5046503836.0,5043244444.0,5203192755.0,5231082473.0,,
Basic Average Shares,5003812065.0,5011771295.0,5043244444.0,5175384464.0,5203141649.0,,
Diluted EPS,0.337087,0.292672,0.18,0.23949,0.253417,,
Basic EPS,0.339511,0.2947,0.18,0.240777,0.254778,,
Diluted NI Availto Com Stockholders,1698848000.0,1476968000.0,907784000.0,1246111000.0,1325647000.0,,
Net Income Common Stockholders,1698848000.0,1476968000.0,907784000.0,1246111000.0,1325647000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,1698848000.0,1476968000.0,907784000.0,1246111000.0,1325647000.0,,
Minority Interests,-2369000.0,-166000.0,-70000.0,197000.0,-1334000.0,,
Net Income Including Noncontrolling Interests,1701217000.0,1477134000.0,907854000.0,1245914000.0,1326981000.0,,
Net Income Continuous Operations,1701217000.0,1477134000.0,907854000.0,1245914000.0,1326981000.0,,
Tax Provision,352932000.0,586882000.0,921455000.0,461500000.0,507353000.0,,
Pretax Income,2054149000.0,2064016000.0,1829309000.0,1707414000.0,1834334000.0,,
Special Income Charges,119070000.0,,0.0,0.0,0.0,0.0,
Other Special Charges,-119070000.0,,,,,,
Impairment Of Capital Assets,,,0.0,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-434206000.0,-414998000.0,-480039000.0,-488533000.0,-436664000.0,,
Total Other Finance Cost,17446000.0,36109000.0,-1099438000.0,446751000.0,27743000.0,,
Interest Expense Non Operating,417423000.0,423305000.0,1600562000.0,43841000.0,409426000.0,,
Interest Income Non Operating,663000.0,44416000.0,21085000.0,2059000.0,505000.0,,
Operating Income,1769638000.0,1927073000.0,1703831000.0,1618837000.0,1677244000.0,,
Operating Expense,207161000.0,225228000.0,247798000.0,195314000.0,210779000.0,,
Other Operating Expenses,77755000.0,99363000.0,-8332000.0,65760000.0,81965000.0,,
Depreciation And Amortization In Income Statement,95276000.0,95679000.0,96871000.0,95740000.0,96844000.0,,
Depreciation Income Statement,95276000.0,95679000.0,292265000.0,95740000.0,96844000.0,,
Selling General And Administration,29225000.0,25397000.0,155903000.0,28571000.0,27257000.0,,
Selling And Marketing Expense,12535000.0,10186000.0,24388000.0,13505000.0,11948000.0,,
General And Administrative Expense,16690000.0,15211000.0,131515000.0,15066000.0,15309000.0,,
Rent And Landing Fees,,,,389000.0,505000.0,576000.0,811000.0
Gross Profit,1976799000.0,2152301000.0,1951629000.0,1814151000.0,1888023000.0,,
Cost Of Revenue,788948000.0,719474000.0,700134000.0,671750000.0,654273000.0,,
Total Revenue,2765747000.0,2871775000.0,2651763000.0,2485901000.0,2542296000.0,,
Operating Revenue,2765747000.0,2871775000.0,2651763000.0,2485901000.0,2542296000.0,,
