,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,17243000.0,-309083000.0,-63260000.0,17555000.0,-52950000.0,,
Issuance Of Debt,,,300000000.0,0.0,,,
Issuance Of Capital Stock,0.0,214000000.0,-1000.0,,0.0,0.0,
Capital Expenditure,-108625000.0,-81338000.0,-99395000.0,-100156000.0,-65582000.0,,
End Cash Position,318101000.0,356530000.0,544312000.0,426841000.0,517695000.0,,
Beginning Cash Position,356530000.0,544312000.0,426841000.0,537838000.0,268835000.0,,
Effect Of Exchange Rate Changes,,,,,-51735000.0,51735000.0,-52452000.0
Changes In Cash,-38429000.0,-187782000.0,117471000.0,-93713000.0,248860000.0,,
Financing Cash Flow,-59400000.0,121281000.0,177517000.0,-47004000.0,301731000.0,,
Net Other Financing Charges,5400000.0,-5019000.0,-3067000.0,-38263000.0,10846000.0,,
Interest Paid Cff,-64800000.0,-87700000.0,-119415000.0,-58275000.0,-9115000.0,,
Net Common Stock Issuance,0.0,214000000.0,-1000.0,,0.0,0.0,
Common Stock Issuance,0.0,214000000.0,-1000.0,,0.0,0.0,
Net Issuance Payments Of Debt,,,300000000.0,0.0,,,
Net Long Term Debt Issuance,,,300000000.0,0.0,,,
Long Term Debt Issuance,,,300000000.0,0.0,,,
Investing Cash Flow,-104897000.0,-81318000.0,-96181000.0,-164420000.0,-65503000.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,-65000000.0,0.0,,
Sale Of Business,0.0,0.0,0.0,0.0,0.0,,
Purchase Of Business,0.0,0.0,0.0,,0.0,0.0,
Net Intangibles Purchase And Sale,-59804000.0,-67011000.0,-90480000.0,-81534000.0,-61702000.0,,
Purchase Of Intangibles,-59804000.0,-67011000.0,-90480000.0,-81534000.0,-61702000.0,,
Net PPE Purchase And Sale,-45093000.0,-14307000.0,-5701000.0,-17886000.0,-3801000.0,,
Sale Of PPE,3728000.0,20000.0,3214000.0,736000.0,79000.0,,
Purchase Of PPE,-48821000.0,-14327000.0,-8915000.0,-18622000.0,-3880000.0,,
Operating Cash Flow,125868000.0,-227745000.0,36135000.0,117711000.0,12632000.0,,
Taxes Refund Paid,-56215000.0,-81523000.0,39968000.0,-40512000.0,-51476000.0,,
Change In Working Capital,-627070000.0,-769574000.0,-505704000.0,-70811000.0,-839564000.0,,
Change In Other Current Liabilities,486298000.0,-613748000.0,-2925968000.0,1719720000.0,-77924000.0,,
Change In Other Current Assets,-241355000.0,-13716000.0,-1669774000.0,2281204000.0,-1008536000.0,,
Change In Payable,,,,,,220056000.0,
Change In Receivables,,-316237000.0,76367000.0,-1110740000.0,1002533000.0,-867431000.0,
Stock Based Compensation,-6387000.0,15168000.0,-7236000.0,-4383000.0,-4257000.0,,
Provisionand Write Offof Assets,467344000.0,491478000.0,294348000.0,318120000.0,480089000.0,,
Deferred Tax,-56506000.0,-102606000.0,-172197000.0,-281407000.0,-269550000.0,,
Depreciation And Amortization,42731000.0,54367000.0,47136000.0,48217000.0,42972000.0,,
Amortization Cash Flow,40600000.0,41572000.0,36078000.0,38784000.0,35548000.0,,
Depreciation,2131000.0,12795000.0,11058000.0,9433000.0,7424000.0,,
Net Foreign Currency Exchange Gain Loss,16678000.0,25065000.0,58093000.0,9528000.0,11682000.0,,
Net Income From Continuing Operations,157460000.0,147090000.0,172296000.0,131157000.0,125241000.0,,
