,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-356253000.0,312554000.0,2905125000.0,216260000.0,-60974000.0,
Repurchase Of Capital Stock,,,,,,0.0
Repayment Of Debt,-1142764000.0,-352767000.0,21071000.0,-22022000.0,-515367000.0,
Issuance Of Debt,358331000.0,815413000.0,0.0,0.0,379004000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,187479000.0,27000.0,
Capital Expenditure,-1057585000.0,-523041000.0,,-1133147000.0,-869547000.0,
End Cash Position,984183000.0,1148046000.0,889391000.0,1307079000.0,2694545000.0,
Beginning Cash Position,1148046000.0,889391000.0,1191319000.0,2694545000.0,3171958000.0,
Effect Of Exchange Rate Changes,37265000.0,-35973000.0,2435000.0,-5443000.0,-3352000.0,
Changes In Cash,-201128000.0,294628000.0,-304363000.0,-1382023000.0,-474061000.0,
Financing Cash Flow,-1176005000.0,-215785000.0,-453281000.0,-375763000.0,-883417000.0,
Net Other Financing Charges,158988000.0,69647000.0,5775000.0,-4064000.0,-90636000.0,
Interest Paid Cff,-366789000.0,-569158000.0,-351635000.0,-357681000.0,-538754000.0,
Cash Dividends Paid,,,,,,8000.0
Net Common Stock Issuance,0.0,0.0,0.0,187479000.0,27000.0,
Common Stock Payments,,,,,,0.0
Common Stock Issuance,0.0,0.0,0.0,187479000.0,27000.0,
Net Issuance Payments Of Debt,-784433000.0,462646000.0,21071000.0,-22022000.0,-136363000.0,
Net Long Term Debt Issuance,-784433000.0,462646000.0,21071000.0,-22022000.0,-136363000.0,
Long Term Debt Payments,-1142764000.0,-352767000.0,21071000.0,-22022000.0,-515367000.0,
Long Term Debt Issuance,358331000.0,815413000.0,0.0,0.0,379004000.0,
Investing Cash Flow,273545000.0,-325182000.0,-1271918000.0,-2355667000.0,-399217000.0,
Net Other Investing Changes,36836000.0,-43806000.0,-2879385000.0,-166747000.0,-25998000.0,
Interest Received Cfi,0.0,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,614879000.0,921080000.0,-498098000.0,-1520383000.0,920609000.0,
Sale Of Investment,614879000.0,921080000.0,0.0,-920609000.0,920609000.0,
Purchase Of Investment,,,-498098000.0,,,
Net Business Purchase And Sale,679415000.0,-679415000.0,585658000.0,424281000.0,-424281000.0,
Purchase Of Business,679415000.0,-679415000.0,585658000.0,424281000.0,-424281000.0,
Net Intangibles Purchase And Sale,-1067000.0,-6814000.0,-345142000.0,30648000.0,-8630000.0,
Purchase Of Intangibles,-1067000.0,-6814000.0,-45508000.0,-9681000.0,-8630000.0,
Net PPE Purchase And Sale,-1056518000.0,-516227000.0,1865049000.0,-1123466000.0,-860917000.0,
Purchase Of PPE,-1056518000.0,-516227000.0,1529797000.0,-1123466000.0,-860917000.0,
Operating Cash Flow,701332000.0,835595000.0,1420836000.0,1349407000.0,808573000.0,
Taxes Refund Paid,-118660000.0,-37733000.0,-74815000.0,-38322000.0,-31597000.0,
Change In Working Capital,-1036674000.0,-503973000.0,750050000.0,-184153000.0,-260556000.0,
Change In Other Current Liabilities,134230000.0,64668000.0,452383000.0,-720283000.0,178667000.0,
Change In Other Current Assets,-690847000.0,-17780000.0,-138235000.0,161684000.0,27424000.0,
Change In Accrued Expense,40715000.0,-96978000.0,17246000.0,28137000.0,-89244000.0,
Change In Payable,-412248000.0,416645000.0,25921000.0,-527799000.0,-239618000.0,
Change In Prepaid Assets,-26302000.0,-107098000.0,-48885000.0,113069000.0,-109079000.0,
Change In Inventory,-21778000.0,-103069000.0,158254000.0,118669000.0,-161328000.0,
Change In Receivables,-60444000.0,-660361000.0,283366000.0,642370000.0,132622000.0,
Other Non Cash Items,798743000.0,724047000.0,476452000.0,144460000.0,611056000.0,
Stock Based Compensation,8884000.0,7737000.0,-2946000.0,8081000.0,5829000.0,
Provisionand Write Offof Assets,138482000.0,-4179000.0,284636000.0,133683000.0,1928000.0,
Deferred Tax,401708000.0,-276140000.0,-283930000.0,481503000.0,425623000.0,
Depreciation And Amortization,794535000.0,748047000.0,729672000.0,549041000.0,462054000.0,
Amortization Cash Flow,172779000.0,157718000.0,196154000.0,167642000.0,154214000.0,
Depreciation,621756000.0,590329000.0,533518000.0,381399000.0,307840000.0,
Gain Loss On Investment Securities,-1019405000.0,1083694000.0,-350764000.0,-591457000.0,-617097000.0,
Net Foreign Currency Exchange Gain Loss,-136803000.0,-557196000.0,294219000.0,-229755000.0,-586140000.0,
Net Income From Continuing Operations,871147000.0,-349686000.0,-587702000.0,1049055000.0,829174000.0,
