,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,5857988000.0,4307088000.0,3147600000.0,-11843000.0,4858886000.0,,
Issuance Of Debt,,,849999000.0,,,,
Capital Expenditure,-1288519000.0,-53983000.0,-102139000.0,-96760000.0,-31845000.0,,
End Cash Position,3860716000.0,3765957000.0,3375262000.0,2106316000.0,3435018000.0,,
Beginning Cash Position,3765957000.0,3375262000.0,2106316000.0,3435018000.0,2298015000.0,,
Effect Of Exchange Rate Changes,-60469000.0,-47242000.0,-18397000.0,-17378000.0,-8071000.0,,
Changes In Cash,155228000.0,437937000.0,1279943000.0,-1303882000.0,1145074000.0,,
Financing Cash Flow,-148226000.0,-1756850000.0,489955000.0,801730000.0,-180908000.0,,
Net Other Financing Charges,163000.0,154000.0,82000.0,173000.0,-785000.0,,
Interest Paid Cff,-90000000.0,-1727874000.0,-329999000.0,-164376000.0,-90000000.0,,
Cash Dividends Paid,,,0.0,0.0,,,0.0
Common Stock Dividend Paid,,,0.0,0.0,,,0.0
Net Issuance Payments Of Debt,,,849999000.0,,,,
Net Long Term Debt Issuance,,,849999000.0,,,,
Long Term Debt Issuance,,,849999000.0,,,,
Investing Cash Flow,-6843053000.0,-2166284000.0,-2459751000.0,-2190529000.0,-3564749000.0,,
Net Other Investing Changes,,,,,,181000.0,
Dividends Received Cfi,37090000.0,3883000.0,27354000.0,40197000.0,62140000.0,,
Net Investment Purchase And Sale,-5598389000.0,-2131518000.0,-2386243000.0,-3360438000.0,-2385470000.0,,
Sale Of Investment,,,,,,,12184000.0
Purchase Of Investment,,-2131518000.0,-2386243000.0,-2153099000.0,-3592809000.0,-6204837000.0,
Net Business Purchase And Sale,,,,,-10414000.0,2024000.0,
Sale Of Business,,,,,922000.0,2024000.0,
Net Intangibles Purchase And Sale,-1236780000.0,-3078000.0,-29850000.0,-4207000.0,-5718000.0,,
Sale Of Intangibles,0.0,0.0,0.0,0.0,0.0,,
Purchase Of Intangibles,-1236780000.0,-3078000.0,-29850000.0,-4207000.0,-5718000.0,,
Net PPE Purchase And Sale,-44974000.0,-35571000.0,-71012000.0,-84756000.0,-16845000.0,,
Sale Of PPE,6765000.0,15334000.0,1277000.0,7797000.0,9282000.0,,
Purchase Of PPE,-51739000.0,-50905000.0,-72289000.0,-92553000.0,-26127000.0,,
Operating Cash Flow,7146507000.0,4361071000.0,3249739000.0,84917000.0,4890731000.0,,
Taxes Refund Paid,-51740000.0,-146538000.0,-97422000.0,-70897000.0,-155849000.0,,
Change In Working Capital,6335033000.0,3452887000.0,1787717000.0,-755920000.0,4190532000.0,,
Change In Other Current Liabilities,3401935000.0,876786000.0,-1370239000.0,-1193795000.0,-200329000.0,,
Change In Other Current Assets,-82761000.0,-1767000.0,96595000.0,-56039000.0,-40338000.0,,
Change In Payable,,,-355915000.0,243975000.0,-2820000.0,-237373000.0,-334864000.0
Change In Receivables,-103853000.0,-66916000.0,351480000.0,-47688000.0,-110556000.0,,
Other Non Cash Items,203628000.0,42976000.0,147971000.0,69401000.0,-71950000.0,,
Provisionand Write Offof Assets,244215000.0,542465000.0,462517000.0,111735000.0,136079000.0,,
Deferred Tax,-101450000.0,98862000.0,178036000.0,165849000.0,131666000.0,,
Depreciation And Amortization,111658000.0,101613000.0,102321000.0,103190000.0,101905000.0,,
Amortization Cash Flow,,,55280000.0,54313000.0,,,
Depreciation,111658000.0,101613000.0,47041000.0,-60101000.0,101905000.0,,
Net Foreign Currency Exchange Gain Loss,,47242000.0,18397000.0,,,-38284000.0,0.0
Net Income From Continuing Operations,481719000.0,250315000.0,674487000.0,496067000.0,548306000.0,,
