,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,21322000.0,2911000.0,21969000.0,-4206000.0,-317239000.0,,
Repurchase Of Capital Stock,48000.0,-48000.0,-16000.0,0.0,-5052000.0,,
Repayment Of Debt,-12000.0,-41000.0,-29000.0,-51000.0,-43000.0,,
Issuance Of Capital Stock,,,12000.0,282000.0,,,
Capital Expenditure,-286000.0,-2744000.0,,-12067000.0,-323146000.0,-26916000.0,
End Cash Position,73301000.0,64323000.0,72857000.0,67301000.0,71469000.0,,
Beginning Cash Position,64323000.0,72857000.0,67301000.0,71469000.0,70022000.0,,
Effect Of Exchange Rate Changes,-90000.0,-455000.0,225000.0,-173000.0,-3967000.0,,
Changes In Cash,9068000.0,-8079000.0,5331000.0,-3995000.0,5414000.0,,
Financing Cash Flow,36000.0,-193000.0,-189000.0,180000.0,161876000.0,,
Net Other Financing Charges,,,0.0,111000.0,,,2667000.0
Cash Dividends Paid,0.0,-104000.0,-156000.0,,,,-5000.0
Common Stock Dividend Paid,0.0,-104000.0,,,0.0,0.0,
Net Common Stock Issuance,48000.0,-48000.0,-4000.0,282000.0,161970000.0,,
Common Stock Payments,48000.0,-48000.0,-16000.0,0.0,-5052000.0,,
Common Stock Issuance,,,12000.0,282000.0,,,
Net Issuance Payments Of Debt,-12000.0,-41000.0,-29000.0,-51000.0,-43000.0,,
Net Long Term Debt Issuance,-12000.0,-41000.0,-29000.0,-51000.0,-43000.0,,
Long Term Debt Payments,-12000.0,-41000.0,-29000.0,-51000.0,-43000.0,,
Investing Cash Flow,-12576000.0,-13541000.0,-14456000.0,-12036000.0,-162369000.0,,
Net Investment Purchase And Sale,-12294000.0,-10797000.0,-16245000.0,0.0,160768000.0,,
Sale Of Investment,0.0,0.0,-16245000.0,0.0,157151000.0,,
Purchase Of Investment,-12294000.0,-10797000.0,,0.0,3617000.0,-3617000.0,
Net Business Purchase And Sale,,,,,,,-2904000.0
Sale Of Business,,,,,,,-4000.0
Purchase Of Business,,,,,,,-2900000.0
Net Intangibles Purchase And Sale,-284000.0,-2730000.0,1972000.0,-12047000.0,-323145000.0,,
Purchase Of Intangibles,-284000.0,-2730000.0,1972000.0,-12047000.0,-323145000.0,,
Net PPE Purchase And Sale,2000.0,-14000.0,33000.0,-20000.0,4000.0,,
Sale Of PPE,,,12000.0,0.0,,0.0,0.0
Purchase Of PPE,-2000.0,-14000.0,,-20000.0,-1000.0,0.0,
Operating Cash Flow,21608000.0,5655000.0,19976000.0,7861000.0,5907000.0,,
Taxes Refund Paid,-3317000.0,-4855000.0,-541000.0,-1617000.0,-10894000.0,,
Interest Received Cfo,,,,,,,19000.0
Interest Paid Cfo,0.0,0.0,-1000.0,-1000.0,-2000.0,,
Change In Working Capital,-5327000.0,-5307000.0,-30118000.0,-11576000.0,10001000.0,,
Change In Other Current Liabilities,-2237000.0,674000.0,,,-8709000.0,-661000.0,2317000.0
Change In Other Current Assets,41000.0,1030000.0,6288000.0,1120000.0,-9316000.0,,
Change In Payable,-10264000.0,-2650000.0,-1608000.0,-880000.0,3394000.0,,
Change In Receivables,424000.0,2348000.0,-27390000.0,-21186000.0,11542000.0,,
Other Non Cash Items,-1445000.0,-1958000.0,-1085000.0,-1083000.0,3985000.0,,
Stock Based Compensation,304000.0,581000.0,750000.0,370000.0,1200000.0,,
Provisionand Write Offof Assets,63500000.0,51384000.0,68618000.0,56262000.0,52113000.0,,
Deferred Tax,192000.0,6000.0,-203000.0,-615000.0,-556000.0,,
Depreciation And Amortization,4267000.0,4520000.0,3131000.0,6151000.0,4231000.0,,
Depreciation,4267000.0,4520000.0,3131000.0,6151000.0,4231000.0,,
Net Foreign Currency Exchange Gain Loss,,,442000.0,681000.0,4991000.0,-4930000.0,-220000.0
Gain Loss On Sale Of PPE,1000.0,148000.0,1508000.0,-1504000.0,108000.0,,
Net Income From Continuing Operations,-16724000.0,-50759000.0,-19361000.0,22842000.0,9851000.0,,
