,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Free Cash Flow,1603687000.0,1480662000.0,1121513000.0,1794029000.0,1826609000.0,
Repayment Of Debt,-604159000.0,-1398982000.0,-4732849000.0,-626758000.0,-2506391000.0,
Issuance Of Debt,199542000.0,4344872000.0,3403760000.0,3240931000.0,3135086000.0,
Capital Expenditure,-106924000.0,-47619000.0,-132981000.0,-126631000.0,-67386000.0,
End Cash Position,2164836000.0,2131925000.0,2229320000.0,2098039000.0,2198935000.0,
Other Cash Adjustment Outside Changein Cash,,,,0.0,,
Beginning Cash Position,2131925000.0,2229320000.0,2098039000.0,2198935000.0,1932805000.0,
Changes In Cash,32911000.0,-97395000.0,131282000.0,-100897000.0,266130000.0,
Financing Cash Flow,-2178248000.0,2396988000.0,-2759653000.0,1315823000.0,-563446000.0,
Net Other Financing Charges,-214751000.0,-543056000.0,-153813000.0,-84263000.0,-168657000.0,
Cash Dividends Paid,-1558880000.0,-5846000.0,-1276751000.0,-1214087000.0,-1023484000.0,
Common Stock Dividend Paid,,,-1276751000.0,,,-827110000.0
Net Issuance Payments Of Debt,-404617000.0,2945890000.0,-1329089000.0,2614173000.0,628695000.0,
Net Long Term Debt Issuance,-404617000.0,2945890000.0,-1329089000.0,2614173000.0,628695000.0,
Long Term Debt Payments,-604159000.0,-1398982000.0,-4732849000.0,-626758000.0,-2506391000.0,
Long Term Debt Issuance,199542000.0,4344872000.0,3403760000.0,3240931000.0,3135086000.0,
Investing Cash Flow,500548000.0,-4022664000.0,1636441000.0,-3337380000.0,-1064419000.0,
Net Other Investing Changes,-1219897000.0,-1085320000.0,-1374097000.0,-1416149000.0,-1099093000.0,
Net Investment Purchase And Sale,1827369000.0,-2889725000.0,3099142000.0,-1794600000.0,102060000.0,
Sale Of Investment,4816434000.0,3175890000.0,6163911000.0,3303578000.0,3245093000.0,
Purchase Of Investment,-2989065000.0,-6065615000.0,-3064769000.0,-5098178000.0,-3143033000.0,
Net Intangibles Purchase And Sale,-5985000.0,-7015000.0,-5877000.0,-6602000.0,-4185000.0,
Purchase Of Intangibles,-5985000.0,-7015000.0,-5877000.0,-6602000.0,-4185000.0,
Net PPE Purchase And Sale,-100939000.0,-40604000.0,-127104000.0,-120029000.0,-63201000.0,
Purchase Of PPE,-100939000.0,-40604000.0,-127104000.0,-120029000.0,-63201000.0,
Operating Cash Flow,1710611000.0,1528281000.0,1254494000.0,1920660000.0,1893995000.0,
Taxes Refund Paid,-254091000.0,-848676000.0,-489484000.0,-291390000.0,-597818000.0,
Interest Paid Cfo,-569838000.0,-515761000.0,-665935000.0,-454824000.0,-583249000.0,
Dividend Received Cfo,123278000.0,525000.0,37170000.0,79930000.0,168539000.0,
Change In Working Capital,-689845000.0,-551210000.0,-1329519000.0,-671138000.0,50198000.0,
Change In Other Current Liabilities,78115000.0,-394755000.0,-1503463000.0,-541870000.0,-747162000.0,
Change In Other Current Assets,-769670000.0,-434287000.0,113882000.0,-514085000.0,-255325000.0,
Change In Payable,-404998000.0,-175034000.0,-88780000.0,87497000.0,-176243000.0,
Change In Receivables,406708000.0,452866000.0,148842000.0,297320000.0,1228928000.0,
Other Non Cash Items,377956000.0,211298000.0,762266000.0,637565000.0,291312000.0,
Provisionand Write Offof Assets,97095000.0,96747000.0,96002000.0,88529000.0,73844000.0,
Deferred Tax,64111000.0,42371000.0,112703000.0,121764000.0,59574000.0,
Depreciation And Amortization,639352000.0,615524000.0,604691000.0,599860000.0,602646000.0,
Depreciation,639352000.0,615524000.0,604691000.0,599860000.0,602646000.0,
Pension And Employee Benefit Expense,2589000.0,2589000.0,8684000.0,8684000.0,8684000.0,
Gain Loss On Investment Securities,50165000.0,37386000.0,69323000.0,52233000.0,134867000.0,
Net Income From Continuing Operations,1931103000.0,2514880000.0,2113516000.0,1826676000.0,1758714000.0,
