,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-1165452.0,14619742.761516,35791322.537307,,-5068630.845858,-524703.698853
Tax Rate For Calcs,0.1479,0.198943,0.115805,,0.159396,0.251656
Normalized EBITDA,739310000.0,787323000.0,473354000.0,,734103000.0,901376000.0
Total Unusual Items,-7880000.0,73487000.0,309065000.0,,-31799000.0,-2085000.0
Total Unusual Items Excluding Goodwill,-7880000.0,73487000.0,309065000.0,,-31799000.0,-2085000.0
Net Income From Continuing Operation Net Minority Interest,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Reconciled Depreciation,264344000.0,255251000.0,247454000.0,,235357000.0,219757000.0
Reconciled Cost Of Revenue,1344013000.0,1205964000.0,1279558000.0,,1149837000.0,1121354000.0
EBITDA,731430000.0,860810000.0,782419000.0,,702304000.0,899291000.0
EBIT,467086000.0,605559000.0,534965000.0,,466947000.0,679534000.0
Net Interest Income,-277210000.0,-181155000.0,-366707000.0,-155275000.0,-148917000.0,
Interest Expense,199083000.0,146036000.0,153868000.0,,122622000.0,106924000.0
Interest Income,6865000.0,6908000.0,6535000.0,,7899000.0,6601000.0
Normalized Income,233852548.0,309236742.761516,63690322.537307,,316171369.154142,430069296.301147
Net Income From Continuing And Discontinued Operation,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Total Expenses,1800040000.0,1582199000.0,1541638000.0,,1516928000.0,1449077000.0
Diluted Average Shares,379181000.0,379181000.0,379181000.0,,379181000.0,379181000.0
Basic Average Shares,379181000.0,379181000.0,379181000.0,,379181000.0,379181000.0
Diluted EPS,0.6,0.97,0.89,,0.76,1.13
Basic EPS,0.6,0.97,0.89,,0.76,1.13
Diluted NI Availto Com Stockholders,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Net Income Common Stockholders,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0
Net Income,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Net Income Including Noncontrolling Interests,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Net Income Continuous Operations,227138000.0,368104000.0,336964000.0,,289441000.0,428509000.0
Tax Provision,40865000.0,91419000.0,44133000.0,,54884000.0,144101000.0
Pretax Income,268003000.0,459523000.0,381097000.0,,344325000.0,572610000.0
Special Income Charges,-45697000.0,-19293000.0,-22890000.0,,-21933000.0,-25297000.0
Other Special Charges,45697000.0,19293000.0,22890000.0,,21933000.0,25297000.0
Net Non Operating Interest Income Expense,-277210000.0,-181155000.0,-366707000.0,-155275000.0,-148917000.0,
Total Other Finance Cost,84992000.0,42027000.0,219374000.0,22647000.0,34194000.0,
Interest Expense Non Operating,199083000.0,146036000.0,153868000.0,,122622000.0,106924000.0
Interest Income Non Operating,6865000.0,6908000.0,6535000.0,,7899000.0,6601000.0
Operating Income,471362000.0,545936000.0,632784000.0,,462888000.0,612284000.0
Operating Expense,456027000.0,376235000.0,262080000.0,,367091000.0,327723000.0
Other Operating Expenses,177301000.0,116853000.0,117498000.0,,103064000.0,74777000.0
Depreciation And Amortization In Income Statement,30143000.0,21821000.0,25109000.0,,29359000.0,21821000.0
Depreciation Income Statement,30143000.0,21821000.0,25109000.0,,29359000.0,21821000.0
Research And Development,2169000.0,810000.0,2383000.0,,1969000.0,737000.0
Selling General And Administration,106279000.0,99596000.0,185845000.0,,83709000.0,75678000.0
Selling And Marketing Expense,46320000.0,47092000.0,74994000.0,,31256000.0,26185000.0
General And Administrative Expense,59959000.0,52504000.0,110851000.0,,52453000.0,49493000.0
Gross Profit,927389000.0,922171000.0,894864000.0,,829979000.0,940007000.0
Cost Of Revenue,1344013000.0,1205964000.0,1279558000.0,,1149837000.0,1121354000.0
Total Revenue,2271402000.0,2128135000.0,2174422000.0,,1979816000.0,2061361000.0
Operating Revenue,2271402000.0,2128135000.0,2174422000.0,,1979816000.0,2061361000.0
