,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,-876240.0,-17380.0,-3386400.0,-95970.0,-481682.149504
Tax Rate For Calcs,0.09,0.11,0.34,0.07,0.09406
Normalized EBITDA,832072000.0,654108000.0,1048183000.0,912733000.0,704461000.0
Total Unusual Items,-9736000.0,-158000.0,-9960000.0,-1371000.0,-5121000.0
Total Unusual Items Excluding Goodwill,-9736000.0,-158000.0,-9960000.0,-1371000.0,-5121000.0
Net Income From Continuing Operation Net Minority Interest,451576000.0,296776000.0,682202000.0,609115000.0,387807000.0
Reconciled Depreciation,29189000.0,38968000.0,31909000.0,12301000.0,13755000.0
Reconciled Cost Of Revenue,1627952000.0,1359107000.0,2191794000.0,1426032000.0,1417294000.0
EBITDA,822336000.0,653950000.0,1038223000.0,911362000.0,699340000.0
EBIT,793147000.0,614982000.0,1006314000.0,899061000.0,685585000.0
Net Interest Income,-221877000.0,-204842000.0,-168669000.0,-172922000.0,-162220000.0
Interest Expense,219444000.0,203701000.0,167956000.0,160258000.0,156849000.0
Interest Income,4651000.0,6259000.0,7269000.0,6903000.0,5637000.0
Normalized Income,460435760.0,296916620.0,688775600.0,610390030.0,392446317.850496
Net Income From Continuing And Discontinued Operation,451576000.0,296776000.0,682202000.0,609115000.0,387807000.0
Total Expenses,2095910000.0,1793496000.0,2673728000.0,1823284000.0,1796302000.0
Rent Expense Supplemental,5597000.0,5027000.0,3954000.0,4602000.0,4326000.0
Diluted Average Shares,435757985.0,435757000.0,366310939.0,366310048.0,435757787.0
Basic Average Shares,435757985.0,435757000.0,366310939.0,366310048.0,435757787.0
Diluted EPS,1.0363,0.68106,1.861806,1.66284,0.88996
Basic EPS,1.0363,0.68106,1.861806,1.66284,0.88996
Diluted NI Availto Com Stockholders,451576000.0,296776000.0,682202000.0,609115000.0,387807000.0
Net Income Common Stockholders,451576000.0,296776000.0,682202000.0,609115000.0,387807000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,451576000.0,296776000.0,682202000.0,609115000.0,387807000.0
Minority Interests,-67151000.0,-63283000.0,-157848000.0,-73848000.0,-91196000.0
Net Income Including Noncontrolling Interests,518727000.0,360059000.0,840050000.0,682963000.0,479003000.0
Net Income Continuous Operations,518727000.0,360059000.0,840050000.0,682963000.0,479003000.0
Tax Provision,54976000.0,51222000.0,-1692000.0,55840000.0,49733000.0
Pretax Income,573703000.0,411281000.0,838358000.0,738803000.0,528736000.0
Net Non Operating Interest Income Expense,-221877000.0,-204842000.0,-168669000.0,-172922000.0,-162220000.0
Total Other Finance Cost,7084000.0,7400000.0,7982000.0,19567000.0,11008000.0
Interest Expense Non Operating,219444000.0,203701000.0,167956000.0,160258000.0,156849000.0
Interest Income Non Operating,4651000.0,6259000.0,7269000.0,6903000.0,5637000.0
Operating Income,384961000.0,231537000.0,561446000.0,305162000.0,310828000.0
Operating Expense,467958000.0,434389000.0,481934000.0,397252000.0,379008000.0
Other Operating Expenses,62858000.0,44206000.0,95298000.0,54523000.0,46376000.0
Selling General And Administration,320088000.0,306259000.0,310531000.0,267600000.0,256425000.0
Selling And Marketing Expense,214629000.0,198891000.0,177259000.0,172316000.0,157847000.0
General And Administrative Expense,105459000.0,107368000.0,133272000.0,95284000.0,98578000.0
Rent And Landing Fees,5597000.0,5027000.0,3954000.0,4602000.0,4326000.0
Gross Profit,852919000.0,665926000.0,1043380000.0,702414000.0,689836000.0
Cost Of Revenue,1627952000.0,1359107000.0,2191794000.0,1426032000.0,1417294000.0
Total Revenue,2480871000.0,2025033000.0,3235174000.0,2128446000.0,2107130000.0
Operating Revenue,2480871000.0,2025033000.0,3235174000.0,2128446000.0,2107130000.0
