,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,-673600.0,-19541809.451686,,0.0,1047880.0,
Tax Rate For Calcs,0.4,0.4,0.32928,,0.34,0.34,
Normalized EBITDA,695933000.0,671655000.0,557461000.0,,661522000.0,509598000.0,
Total Unusual Items,,-1684000.0,-59347000.0,,,3082000.0,103637000.0
Total Unusual Items Excluding Goodwill,,-1684000.0,-59347000.0,,,3082000.0,103637000.0
Net Income From Continuing Operation Net Minority Interest,-12932000.0,53346000.0,-87454000.0,,31717000.0,45942000.0,
Reconciled Depreciation,393186000.0,329008000.0,297729000.0,,389507000.0,286505000.0,
Reconciled Cost Of Revenue,1681545000.0,1464739000.0,1509838000.0,,1634668000.0,1456590000.0,
EBITDA,695933000.0,669971000.0,498114000.0,,661522000.0,512680000.0,
EBIT,302747000.0,340963000.0,200385000.0,,272015000.0,226175000.0,
Net Interest Income,-197890000.0,-280798000.0,-258679000.0,,-198616000.0,-217232000.0,
Interest Expense,306263000.0,285763000.0,272351000.0,,275246000.0,220903000.0,
Interest Income,108373000.0,2933000.0,3263000.0,,76630000.0,3000000.0,
Normalized Income,-12932000.0,54356400.0,-47648809.451686,,31717000.0,43907880.0,
Net Income From Continuing And Discontinued Operation,-12932000.0,53346000.0,-87454000.0,,31717000.0,45942000.0,
Total Expenses,2064031000.0,1830707000.0,1880314000.0,,2018534000.0,1829046000.0,
Diluted Average Shares,904335664.0,910341297.0,,917480597.0,811176471.0,810264550.0,
Basic Average Shares,904335664.0,907244898.0,,917480597.0,807048346.0,808838028.0,
Diluted EPS,-0.0143,0.0586,,0.011964,0.0391,0.0567,
Basic EPS,-0.0143,0.0588,,0.011964,0.0393,0.0568,
Diluted NI Availto Com Stockholders,-12932000.0,53346000.0,-87454000.0,,31717000.0,45942000.0,
Net Income Common Stockholders,-12932000.0,53346000.0,-87454000.0,,31717000.0,45942000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0,
Net Income,-12932000.0,53346000.0,-87454000.0,,31717000.0,45942000.0,
Minority Interests,-27812000.0,-18566000.0,-39185000.0,,-6808000.0,-12674000.0,
Net Income Including Noncontrolling Interests,14880000.0,71912000.0,-48269000.0,,38525000.0,58616000.0,
Net Income Continuous Operations,14880000.0,71912000.0,-48269000.0,,38525000.0,58616000.0,
Tax Provision,-18396000.0,-16712000.0,-23697000.0,,-41756000.0,-53344000.0,
Pretax Income,-3516000.0,55200000.0,-71966000.0,,-3231000.0,5272000.0,
Special Income Charges,,-1684000.0,-58907000.0,,,3082000.0,104151000.0
Other Special Charges,,852000.0,-72969000.0,,,943000.0,-55937000.0
Write Off,,832000.0,131876000.0,,,-4025000.0,-19696000.0
Impairment Of Capital Assets,,,,,,,0.0
Net Non Operating Interest Income Expense,-197890000.0,-280798000.0,-258679000.0,,-198616000.0,-217232000.0,
Total Other Finance Cost,,-2032000.0,-10409000.0,,,-671000.0,6303000.0
Interest Expense Non Operating,306263000.0,285763000.0,272351000.0,,275246000.0,220903000.0,
Interest Income Non Operating,108373000.0,2933000.0,3263000.0,,76630000.0,3000000.0,
Operating Income,167507000.0,187798000.0,216215000.0,,103128000.0,73499000.0,
Operating Expense,382486000.0,365968000.0,370476000.0,,383866000.0,372456000.0,
Other Operating Expenses,-7991000.0,10722000.0,-59693000.0,,-9620000.0,1979000.0,
Depreciation And Amortization In Income Statement,,10939000.0,11590000.0,,,10894000.0,10766000.0
Amortization,,724000.0,1046000.0,,,1046000.0,1002000.0
Depreciation Income Statement,,10215000.0,10544000.0,,,9848000.0,9764000.0
Selling General And Administration,394458000.0,273398000.0,314016000.0,,393486000.0,273572000.0,
Selling And Marketing Expense,315884000.0,233169000.0,255210000.0,,306375000.0,244812000.0,
General And Administrative Expense,78574000.0,40229000.0,58806000.0,,87111000.0,28760000.0,
Gross Profit,549993000.0,553766000.0,586691000.0,,486994000.0,445955000.0,
Cost Of Revenue,1681545000.0,1464739000.0,1509838000.0,,1634668000.0,1456590000.0,
Total Revenue,2231538000.0,2018505000.0,2096529000.0,,2121662000.0,1902545000.0,
Operating Revenue,2231538000.0,2018505000.0,2096529000.0,,2121662000.0,1902545000.0,
