,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,334700000.0,-544400000.0,766800000.0,-189300000.0,-321700000.0,
Repurchase Of Capital Stock,0.0,-183700000.0,-172300000.0,0.0,-14500000.0,
Repayment Of Debt,-327800000.0,-160300000.0,-996000000.0,-348300000.0,-1101100000.0,
Issuance Of Debt,80500000.0,259000000.0,1329000000.0,462900000.0,683200000.0,
Capital Expenditure,-112700000.0,-156000000.0,-90200000.0,-113200000.0,-137900000.0,
End Cash Position,1387300000.0,1315700000.0,1949800000.0,654000000.0,813000000.0,
Beginning Cash Position,1315700000.0,1949800000.0,1064400000.0,813000000.0,1563000000.0,
Effect Of Exchange Rate Changes,2000000.0,,,-1100000.0,,
Changes In Cash,69600000.0,-641500000.0,901500000.0,-157900000.0,-750300000.0,
Financing Cash Flow,-310100000.0,-97700000.0,186300000.0,105500000.0,-432400000.0,
Cash Flow From Continuing Financing Activities,-310100000.0,-97700000.0,186300000.0,105500000.0,-432400000.0,
Net Other Financing Charges,,,40100000.0,,,0.0
Cash Dividends Paid,-62800000.0,-12700000.0,-14500000.0,-9100000.0,0.0,
Common Stock Dividend Paid,,-12700000.0,,,0.0,
Net Common Stock Issuance,0.0,-183700000.0,-172300000.0,0.0,-14500000.0,
Common Stock Payments,0.0,-183700000.0,-172300000.0,0.0,-14500000.0,
Net Issuance Payments Of Debt,-247300000.0,98700000.0,333000000.0,114600000.0,-417900000.0,
Net Long Term Debt Issuance,-247300000.0,98700000.0,333000000.0,114600000.0,-417900000.0,
Long Term Debt Payments,-327800000.0,-160300000.0,-996000000.0,-348300000.0,-1101100000.0,
Long Term Debt Issuance,80500000.0,259000000.0,1329000000.0,462900000.0,683200000.0,
Investing Cash Flow,-67700000.0,-155400000.0,-141900000.0,-187300000.0,-134100000.0,
Cash Flow From Continuing Investing Activities,-67700000.0,-155400000.0,-141900000.0,-187300000.0,-134100000.0,
Net Other Investing Changes,-1200000.0,-8200000.0,-53200000.0,,,0.0
Dividends Received Cfi,,,0.0,0.0,0.0,100000.0
Net Investment Purchase And Sale,61100000.0,4500000.0,-200000.0,-82500000.0,1400000.0,
Sale Of Investment,63300000.0,15400000.0,279600000.0,56900000.0,4000000.0,
Purchase Of Investment,-2200000.0,-10900000.0,-279800000.0,-139400000.0,-2600000.0,
Net Business Purchase And Sale,-18500000.0,,0.0,-100000.0,0.0,-4000000.0
Purchase Of Business,-18500000.0,,0.0,-100000.0,0.0,-4000000.0
Net Intangibles Purchase And Sale,-49500000.0,-80000000.0,-82500000.0,-72500000.0,-59500000.0,
Purchase Of Intangibles,-49500000.0,-80000000.0,-82500000.0,-72500000.0,-59500000.0,
Net PPE Purchase And Sale,-59600000.0,-71700000.0,-6000000.0,-32200000.0,-76000000.0,
Sale Of PPE,3600000.0,4300000.0,1700000.0,8500000.0,2400000.0,
Purchase Of PPE,-63200000.0,-76000000.0,-7700000.0,-40700000.0,-78400000.0,
Operating Cash Flow,447400000.0,-388400000.0,857000000.0,-76100000.0,-183800000.0,
Cash Flow From Continuing Operating Activities,447400000.0,-388400000.0,857000000.0,-76100000.0,-183800000.0,
Taxes Refund Paid,-30500000.0,-31100000.0,,-38100000.0,-11100000.0,
Interest Paid Cfo,-35600000.0,-48200000.0,-18600000.0,-6700000.0,-69900000.0,
Change In Working Capital,96600000.0,-418300000.0,726000000.0,-201700000.0,-156400000.0,
Change In Other Working Capital,298600000.0,7400000.0,123600000.0,5200000.0,30800000.0,
Change In Other Current Assets,-49000000.0,-92100000.0,94800000.0,51100000.0,-1700000.0,
Change In Payables And Accrued Expense,-25800000.0,155200000.0,-38000000.0,76400000.0,363800000.0,
Change In Payable,-25800000.0,155200000.0,-38000000.0,76400000.0,363800000.0,
Change In Account Payable,72400000.0,87200000.0,-454400000.0,29800000.0,177200000.0,
Change In Tax Payable,-16000000.0,18700000.0,10100000.0,30300000.0,12900000.0,
Change In Income Tax Payable,-16000000.0,18700000.0,10100000.0,30300000.0,12900000.0,
Change In Inventory,-42500000.0,-410100000.0,375600000.0,-120900000.0,-568200000.0,
Change In Receivables,-84700000.0,-78700000.0,170000000.0,-213500000.0,18900000.0,
Changes In Account Receivables,-60000000.0,-24000000.0,-62300000.0,-108500000.0,72000000.0,
Other Non Cash Items,56000000.0,30400000.0,-12600000.0,29400000.0,28000000.0,
Unrealized Gain Loss On Investment Securities,-10700000.0,2400000.0,-11000000.0,22700000.0,-7300000.0,
Provisionand Write Offof Assets,29100000.0,-18900000.0,26100000.0,-16400000.0,-5600000.0,
Asset Impairment Charge,,,,,,1800000.0
Deferred Tax,60600000.0,4200000.0,56600000.0,-22100000.0,-103900000.0,
Deferred Income Tax,60600000.0,4200000.0,56600000.0,-22100000.0,-103900000.0,
Depreciation Amortization Depletion,65600000.0,53200000.0,77800000.0,59600000.0,50600000.0,
Depreciation And Amortization,65600000.0,53200000.0,77800000.0,59600000.0,50600000.0,
Operating Gains Losses,2400000.0,800000.0,1600000.0,27900000.0,12000000.0,
Earnings Losses From Equity Investments,2600000.0,-200000.0,1100000.0,1100000.0,2500000.0,
Net Foreign Currency Exchange Gain Loss,-200000.0,-300000.0,11400000.0,14600000.0,7800000.0,
Gain Loss On Sale Of PPE,0.0,1300000.0,-10900000.0,12200000.0,1700000.0,
Net Income From Continuing Operations,213900000.0,37100000.0,81100000.0,69300000.0,79800000.0,
