,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-198681000.0,-543321000.0,-671270000.0,490105000.0,-305951000.0,,
Repurchase Of Capital Stock,-157484000.0,0.0,0.0,-1414000.0,0.0,,
Repayment Of Debt,-46116000.0,-158970000.0,-606461000.0,-526735000.0,-271730000.0,,
Issuance Of Debt,103507000.0,2400000000.0,606183000.0,726780000.0,5379000.0,,
Issuance Of Capital Stock,,,,,,,3149567000.0
Capital Expenditure,-1768752000.0,-1938735000.0,-1870129000.0,-1400763000.0,-1471829000.0,,
End Cash Position,1824208000.0,2278122000.0,2148312000.0,2516524000.0,2995425000.0,,
Beginning Cash Position,2278122000.0,2148312000.0,2516524000.0,2995425000.0,3636011000.0,,
Changes In Cash,-453914000.0,129810000.0,-368212000.0,-478901000.0,-640586000.0,,
Financing Cash Flow,-876236000.0,1311000000.0,-733898000.0,-428405000.0,-739040000.0,,
Net Other Financing Charges,-115099000.0,-271521000.0,192205000.0,-140861000.0,58085000.0,,
Interest Paid Cff,-428768000.0,-461529000.0,-423571000.0,-388306000.0,-382106000.0,,
Net Common Stock Issuance,-157484000.0,0.0,0.0,-1414000.0,0.0,,
Common Stock Payments,-157484000.0,0.0,0.0,-1414000.0,0.0,,
Common Stock Issuance,,,,,,,3149567000.0
Net Issuance Payments Of Debt,57391000.0,2241030000.0,-278000.0,200045000.0,-266351000.0,,
Net Long Term Debt Issuance,57391000.0,2241030000.0,-278000.0,200045000.0,-266351000.0,,
Long Term Debt Payments,-46116000.0,-158970000.0,-606461000.0,-526735000.0,-271730000.0,,
Long Term Debt Issuance,103507000.0,2400000000.0,606183000.0,726780000.0,5379000.0,,
Investing Cash Flow,-1147749000.0,-2576604000.0,-833173000.0,-1941364000.0,-1067424000.0,,
Net Other Investing Changes,0.0,-33296000.0,,,,,
Net Investment Purchase And Sale,621003000.0,-604573000.0,1036956000.0,-540601000.0,404405000.0,,
Purchase Of Investment,,-604573000.0,333286000.0,,,-319460000.0,233021000.0
Sale Of Business,,,0.0,0.0,,,0.0
Net PPE Purchase And Sale,-1768752000.0,-1938735000.0,-1870129000.0,-1400763000.0,-1471829000.0,,
Purchase Of PPE,-1768752000.0,-1938735000.0,-1870129000.0,-1400763000.0,-1471829000.0,,
Operating Cash Flow,1570071000.0,1395414000.0,1198859000.0,1890868000.0,1165878000.0,,
Taxes Refund Paid,-31179000.0,-63901000.0,-70557000.0,-57008000.0,-34573000.0,,
Change In Working Capital,132295000.0,-513999000.0,188708000.0,66062000.0,-594279000.0,,
Change In Other Current Assets,118090000.0,-41168000.0,281313000.0,-134404000.0,-54823000.0,,
Change In Payable,-441250000.0,-670216000.0,538569000.0,30723000.0,-473522000.0,,
Change In Prepaid Assets,-14927000.0,38858000.0,-278024000.0,263126000.0,-118902000.0,,
Change In Inventory,96211000.0,8642000.0,-68181000.0,162524000.0,15155000.0,,
Change In Receivables,367586000.0,318567000.0,-400508000.0,-307245000.0,-5531000.0,,
Other Non Cash Items,774206000.0,722295000.0,-37780000.0,556733000.0,751548000.0,,
Provisionand Write Offof Assets,125900000.0,1705000.0,-1680000.0,-2274000.0,-6464000.0,,
Deferred Tax,,-9691000.0,,,,-104211000.0,0.0
Depreciation And Amortization,486878000.0,563476000.0,816567000.0,760374000.0,661776000.0,,
Depreciation,486878000.0,563476000.0,816567000.0,760374000.0,661776000.0,,
Gain Loss On Investment Securities,,,,,,-6047000.0,38675000.0
Net Foreign Currency Exchange Gain Loss,,,73960000.0,-95380000.0,,,
Net Income From Continuing Operations,114971000.0,695415000.0,268082000.0,689563000.0,754758000.0,,
