,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-59173600.0,-1439260.175579,-19823268.775972,25150773.227392,37261037.828019,
Tax Rate For Calcs,0.4,0.08587,,,,0.348424
Normalized EBITDA,1103142000.0,1630105000.0,1325096000.0,1719713000.0,1683553000.0,
Total Unusual Items,-147934000.0,-16761000.0,-69965000.0,119717000.0,104621000.0,
Total Unusual Items Excluding Goodwill,-147934000.0,-16761000.0,-69965000.0,119717000.0,104621000.0,
Net Income From Continuing Operation Net Minority Interest,31205000.0,522739000.0,56994000.0,351721000.0,364475000.0,
Reconciled Depreciation,486878000.0,563476000.0,816567000.0,760374000.0,661776000.0,
Reconciled Cost Of Revenue,2831693000.0,3647958000.0,4678452000.0,3055578000.0,2175458000.0,
EBITDA,955208000.0,1613344000.0,1255131000.0,1839430000.0,1788174000.0,
EBIT,468330000.0,1049868000.0,438564000.0,1079056000.0,1126398000.0,
Net Interest Income,-673465000.0,-521744000.0,-645836000.0,-410204000.0,-652033000.0,
Interest Expense,353360000.0,354453000.0,170482000.0,389493000.0,371640000.0,
Interest Income,1362000.0,45988000.0,2836000.0,671000.0,1600000.0,
Normalized Income,119965400.0,538060739.824421,107135731.224028,257154773.227392,297115037.828019,
Net Income From Continuing And Discontinued Operation,31205000.0,522739000.0,56994000.0,351721000.0,364475000.0,
Total Expenses,3095763000.0,3555115000.0,5295343000.0,3487512000.0,2508210000.0,
Rent Expense Supplemental,4633000.0,14692000.0,-19276000.0,9497000.0,1116000.0,
Diluted Average Shares,1923859433.0,1934497538.0,,1918303791.0,1919501791.0,1931291765.0
Basic Average Shares,1923073395.0,1934497538.0,,1918195270.0,1919434660.0,1930996829.0
Diluted EPS,0.01622,0.27022,,0.18335,0.18988,0.19903
Basic EPS,0.01623,0.27022,,0.18336,0.18989,0.19906
Diluted NI Availto Com Stockholders,31205000.0,522739000.0,56994000.0,351721000.0,364475000.0,
Net Income Common Stockholders,31205000.0,522739000.0,56994000.0,351721000.0,364475000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,31205000.0,522739000.0,56994000.0,351721000.0,364475000.0,
Minority Interests,-131791000.0,-112961000.0,-135132000.0,-192975000.0,-121474000.0,
Net Income Including Noncontrolling Interests,162996000.0,635700000.0,192126000.0,544696000.0,485949000.0,
Net Income Continuous Operations,162996000.0,635700000.0,192126000.0,544696000.0,485949000.0,
Tax Provision,-48026000.0,59715000.0,75956000.0,144867000.0,268809000.0,
Pretax Income,114970000.0,695415000.0,268082000.0,689563000.0,754758000.0,
Special Income Charges,,,-81688000.0,121656000.0,,
Other Special Charges,,,53688000.0,-121656000.0,,
Net Non Operating Interest Income Expense,-673465000.0,-521744000.0,-645836000.0,-410204000.0,-652033000.0,
Total Other Finance Cost,321467000.0,213279000.0,478190000.0,21382000.0,281993000.0,
Interest Expense Non Operating,353360000.0,354453000.0,170482000.0,389493000.0,371640000.0,
Interest Income Non Operating,1362000.0,45988000.0,2836000.0,671000.0,1600000.0,
Operating Income,880035000.0,1127228000.0,755156000.0,940509000.0,1005770000.0,
Operating Expense,264070000.0,-92843000.0,616891000.0,431934000.0,332752000.0,
Other Operating Expenses,56154000.0,137022000.0,151821000.0,133310000.0,120697000.0,
Depreciation And Amortization In Income Statement,127910000.0,124532000.0,301351000.0,260962000.0,233387000.0,
Depreciation Income Statement,127910000.0,124532000.0,301351000.0,260962000.0,233387000.0,
Selling General And Administration,28789000.0,27885000.0,36293000.0,33463000.0,36320000.0,
General And Administrative Expense,28789000.0,27885000.0,36293000.0,33463000.0,36320000.0,
Rent And Landing Fees,1258000.0,713000.0,1475000.0,1404000.0,1350000.0,
Gross Profit,1144105000.0,1034385000.0,1372047000.0,1372443000.0,1338522000.0,
Cost Of Revenue,2831693000.0,3647958000.0,4678452000.0,3055578000.0,2175458000.0,
Total Revenue,3975798000.0,4682343000.0,6050499000.0,4428021000.0,3513980000.0,
Operating Revenue,3975798000.0,4682343000.0,6050499000.0,4428021000.0,3513980000.0,
