,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-279780380.0,-214179940.0,-1071531323.105759,-326141250.0,-78043787.592256,
Tax Rate For Calcs,0.22,0.26,0.325579,0.25,0.14566,
Normalized EBITDA,4371512000.0,3710071000.0,4245493000.0,4276166000.0,3971263000.0,
Total Unusual Items,-1271729000.0,-823769000.0,-3291161000.0,-1304565000.0,-535795000.0,
Total Unusual Items Excluding Goodwill,-1271729000.0,-823769000.0,-3291161000.0,-1304565000.0,-535795000.0,
Net Income From Continuing Operation Net Minority Interest,485375000.0,424465000.0,-891010000.0,468901000.0,959011000.0,
Reconciled Depreciation,944215000.0,844510000.0,771034000.0,715817000.0,889815000.0,
Reconciled Cost Of Revenue,10122922000.0,9294925000.0,10158453000.0,10658422000.0,9386260000.0,
EBITDA,3099783000.0,2886302000.0,954332000.0,2971601000.0,3435468000.0,
EBIT,2155568000.0,2041792000.0,183298000.0,2255784000.0,2545653000.0,
Net Interest Income,-360568000.0,-867038000.0,-676056000.0,-1065522000.0,-826522000.0,
Interest Expense,1310740000.0,1221142000.0,1032147000.0,1437668000.0,1170270000.0,
Interest Income,365708000.0,381375000.0,330251000.0,477013000.0,317507000.0,
Normalized Income,1477323620.0,1034054060.0,1328619676.894241,1447324750.0,1416762212.407744,
Net Income From Continuing And Discontinued Operation,485375000.0,424465000.0,-420318000.0,468901000.0,1073601000.0,
Total Expenses,10133336000.0,9727264000.0,9376811000.0,10914482000.0,9534443000.0,
Rent Expense Supplemental,0.0,10335000.0,,,0.0,
Diluted Average Shares,1257430000.0,1257878000.0,,1255525000.0,1253043000.0,1252471000.0
Basic Average Shares,1256209000.0,1257279000.0,,1254726000.0,1252284000.0,1251886000.0
Diluted EPS,0.38601,0.33745,,0.37347,0.8568,0.44406
Basic EPS,0.38638,0.33761,,0.37371,0.85731,0.44426
Diluted NI Availto Com Stockholders,485375000.0,424465000.0,-420318000.0,468901000.0,1073601000.0,
Net Income Common Stockholders,485375000.0,424465000.0,-420318000.0,468901000.0,1073601000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,485375000.0,424465000.0,-420318000.0,468901000.0,1073601000.0,
Minority Interests,-167632000.0,-182291000.0,-318528000.0,-140904000.0,-216034000.0,
Net Income Including Noncontrolling Interests,653007000.0,606756000.0,-101790000.0,609805000.0,1289635000.0,
Net Income Discontinuous Operations,0.0,0.0,,,114590000.0,109907000.0
Net Income Continuous Operations,653007000.0,606756000.0,-572482000.0,609805000.0,1175045000.0,
Tax Provision,191821000.0,213894000.0,-276367000.0,208311000.0,200338000.0,
Pretax Income,844828000.0,820650000.0,-848849000.0,818116000.0,1375383000.0,
Special Income Charges,-561733000.0,-237174000.0,-3391990000.0,-426129000.0,100880000.0,
Other Special Charges,289863000.0,187270000.0,444422000.0,307376000.0,-296989000.0,
Write Off,271870000.0,49904000.0,2947568000.0,118753000.0,196109000.0,
Net Non Operating Interest Income Expense,-360568000.0,-867038000.0,-676056000.0,-1065522000.0,-826522000.0,
Total Other Finance Cost,-584464000.0,27271000.0,-25840000.0,104867000.0,-26241000.0,
Interest Expense Non Operating,1310740000.0,1221142000.0,1032147000.0,1437668000.0,1170270000.0,
Interest Income Non Operating,365708000.0,381375000.0,330251000.0,477013000.0,317507000.0,
Operating Income,2796718000.0,2255568000.0,3257538000.0,2488964000.0,2258831000.0,
Operating Expense,10414000.0,432339000.0,-781642000.0,256060000.0,148183000.0,
Other Operating Expenses,88364000.0,289901000.0,1036640000.0,121684000.0,66878000.0,
Depreciation And Amortization In Income Statement,192446000.0,264114000.0,609543000.0,205336000.0,179417000.0,
Depreciation Income Statement,192446000.0,264114000.0,609543000.0,205336000.0,179417000.0,
Selling General And Administration,329320000.0,381529000.0,347832000.0,464503000.0,451181000.0,
Selling And Marketing Expense,251726000.0,235218000.0,255871000.0,254316000.0,238404000.0,
General And Administrative Expense,77594000.0,146311000.0,91961000.0,210187000.0,212777000.0,
Rent And Landing Fees,0.0,5353000.0,,,,
Gross Profit,2807132000.0,2687907000.0,2475896000.0,2745024000.0,2407014000.0,
Cost Of Revenue,10122922000.0,9294925000.0,10158453000.0,10658422000.0,9386260000.0,
Total Revenue,12930054000.0,11982832000.0,12634349000.0,13403446000.0,11793274000.0,
Operating Revenue,12930054000.0,11982832000.0,12634349000.0,13403446000.0,11793274000.0,
