,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0572,0.4,0.34,0.34,0.127
Normalized EBITDA,674471000.0,521825000.0,186942000.0,789094000.0,740666000.0
Net Income From Continuing Operation Net Minority Interest,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Reconciled Depreciation,177690000.0,158449000.0,159044000.0,162165000.0,113093000.0
Reconciled Cost Of Revenue,7541266000.0,7251758000.0,8175218000.0,8470764000.0,6685998000.0
EBITDA,674471000.0,521825000.0,186942000.0,789094000.0,740666000.0
EBIT,496779000.0,363375000.0,27898000.0,626928000.0,627573000.0
Net Interest Income,-247298000.0,-222136000.0,-306763000.0,-218549000.0,-209055000.0
Interest Expense,240160000.0,200917000.0,-118795000.0,174420000.0,174230000.0
Interest Income,75022000.0,61047000.0,54193000.0,52552000.0,27748000.0
Normalized Income,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Net Income From Continuing And Discontinued Operation,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Total Expenses,9348544000.0,9017676000.0,10096466000.0,10092483000.0,8117238000.0
Rent Expense Supplemental,41532000.0,49113000.0,43292000.0,47137000.0,32136000.0
Total Operating Income As Reported,503917000.0,,453456000.0,671057000.0,662398000.0
Diluted Average Shares,2275406000.0,2271722000.0,2244824887.0,2244824887.0,2247074887.0
Basic Average Shares,2275406000.0,2271722000.0,2244824887.0,2244824887.0,2247074887.0
Diluted EPS,0.1,0.09,0.14445,0.378892,0.155402
Basic EPS,0.1,0.09,0.14445,0.378892,0.155402
Diluted NI Availto Com Stockholders,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Net Income Common Stockholders,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,236805000.0,212881000.0,324265000.0,850546000.0,390176000.0
Minority Interests,-5141000.0,21959000.0,-18687000.0,3973000.0,-5602000.0
Net Income Including Noncontrolling Interests,241946000.0,190922000.0,342952000.0,846573000.0,395778000.0
Net Income Continuous Operations,241946000.0,190922000.0,342952000.0,846573000.0,395778000.0
Tax Provision,14673000.0,-28464000.0,-196259000.0,-394065000.0,57565000.0
Pretax Income,256619000.0,162458000.0,146693000.0,452508000.0,453343000.0
Net Non Operating Interest Income Expense,-247298000.0,-222136000.0,-306763000.0,-218549000.0,-209055000.0
Total Other Finance Cost,82160000.0,82266000.0,479751000.0,96681000.0,62573000.0
Interest Expense Non Operating,240160000.0,200917000.0,-118795000.0,174420000.0,174230000.0
Interest Income Non Operating,75022000.0,61047000.0,54193000.0,52552000.0,27748000.0
Operating Income,503917000.0,384594000.0,453458000.0,671055000.0,662398000.0
Operating Expense,1807278000.0,1765918000.0,1921248000.0,1621719000.0,1431240000.0
Other Operating Expenses,86796000.0,73446000.0,120005000.0,-76099000.0,64778000.0
Depreciation And Amortization In Income Statement,177692000.0,158450000.0,159043000.0,162166000.0,113093000.0
Depreciation Income Statement,177692000.0,158450000.0,159043000.0,162166000.0,113093000.0
Selling General And Administration,608052000.0,606402000.0,671575000.0,573484000.0,485721000.0
Selling And Marketing Expense,229637000.0,267662000.0,227369000.0,225196000.0,184578000.0
General And Administrative Expense,378415000.0,338740000.0,444206000.0,348288000.0,301143000.0
Rent And Landing Fees,41532000.0,49113000.0,43292000.0,47137000.0,32136000.0
Gross Profit,2311195000.0,2150512000.0,2374706000.0,2292774000.0,2093638000.0
Cost Of Revenue,7541266000.0,7251758000.0,8175218000.0,8470764000.0,6685998000.0
Total Revenue,9852461000.0,9402270000.0,10549924000.0,10763538000.0,8779636000.0
Operating Revenue,9852461000.0,9402270000.0,10549924000.0,10763538000.0,8779636000.0
