,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1495905000.0,1464126000.0,-3582935000.0,972437000.0,866154000.0,
Repurchase Of Capital Stock,-124309000.0,-206391000.0,-183492000.0,-499051000.0,-376550000.0,
Repayment Of Debt,-164726000.0,-300000000.0,-4804693000.0,-2852773000.0,-54516000.0,
Issuance Of Debt,226763000.0,81443000.0,318675000.0,6894932000.0,1249234000.0,
Capital Expenditure,-38275000.0,-37175000.0,-6728749000.0,-41000000.0,-33388000.0,
End Cash Position,5185953000.0,5302925000.0,5958028000.0,8514872000.0,6497048000.0,
Beginning Cash Position,5302925000.0,5958028000.0,9411541000.0,6497048000.0,7861818000.0,
Effect Of Exchange Rate Changes,-19344000.0,-238287000.0,310535000.0,-240502000.0,-403232000.0,
Changes In Cash,-97628000.0,-416816000.0,-3764048000.0,2258326000.0,-961538000.0,
Financing Cash Flow,-534493000.0,-717193000.0,-5370786000.0,3169125000.0,519228000.0,
Net Other Financing Charges,,,,,,0.0
Cash Dividends Paid,-339068000.0,-180853000.0,-565838000.0,-255858000.0,-182157000.0,
Net Common Stock Issuance,-124309000.0,-206391000.0,-183492000.0,-499051000.0,-376550000.0,
Common Stock Payments,-124309000.0,-206391000.0,-183492000.0,-499051000.0,-376550000.0,
Net Issuance Payments Of Debt,62037000.0,-218557000.0,-4486018000.0,4042159000.0,1194718000.0,
Net Long Term Debt Issuance,62037000.0,-218557000.0,-4486018000.0,4042159000.0,1194718000.0,
Long Term Debt Payments,-164726000.0,-300000000.0,-4804693000.0,-2852773000.0,-54516000.0,
Long Term Debt Issuance,226763000.0,81443000.0,318675000.0,6894932000.0,1249234000.0,
Investing Cash Flow,-1097315000.0,-1200924000.0,-1539076000.0,-1924236000.0,-2380308000.0,
Net Other Investing Changes,-1064263000.0,-1167975000.0,,-1659430000.0,-1838720000.0,
Net Business Purchase And Sale,0.0,-89000.0,-25846000.0,-240093000.0,-521979000.0,
Sale Of Business,,,,,,0.0
Purchase Of Business,0.0,-89000.0,-25846000.0,-240093000.0,-521979000.0,
Net Intangibles Purchase And Sale,-38275000.0,-37175000.0,-47129000.0,-41000000.0,-33388000.0,
Purchase Of Intangibles,-38275000.0,-37175000.0,-47129000.0,-41000000.0,-33388000.0,
Net PPE Purchase And Sale,5223000.0,4315000.0,-6677610000.0,16287000.0,13779000.0,
Sale Of PPE,5223000.0,4315000.0,4010000.0,16287000.0,13779000.0,
Operating Cash Flow,1534180000.0,1501301000.0,3145814000.0,1013437000.0,899542000.0,
Taxes Refund Paid,-656777000.0,-92534000.0,-286789000.0,-458083000.0,-316368000.0,
Interest Paid Cfo,-558981000.0,-70633000.0,-862656000.0,-432186000.0,-115100000.0,
Dividend Received Cfo,269612000.0,18254000.0,209105000.0,7486000.0,19617000.0,
Change In Working Capital,-801647000.0,-1308521000.0,1857949000.0,-419161000.0,-1230652000.0,
Change In Other Current Liabilities,144379000.0,-323625000.0,251169000.0,-126105000.0,-459823000.0,
Change In Other Current Assets,-13435000.0,-5046000.0,238346000.0,-7494000.0,-3369000.0,
Change In Payable,94877000.0,1136918000.0,-633538000.0,-712268000.0,931867000.0,
Change In Inventory,-995524000.0,-874987000.0,794610000.0,170341000.0,-504059000.0,
Change In Receivables,-31944000.0,-1241781000.0,1207362000.0,256365000.0,-1195268000.0,
Other Non Cash Items,205256000.0,268445000.0,2340606000.0,250236000.0,249117000.0,
Provisionand Write Offof Assets,-8398000.0,-25257000.0,21364000.0,-9981000.0,2527000.0,
Deferred Tax,599483000.0,550495000.0,111423000.0,231114000.0,347831000.0,
Depreciation And Amortization,920775000.0,902394000.0,935652000.0,936543000.0,873836000.0,
Depreciation,920775000.0,902394000.0,935652000.0,936543000.0,873836000.0,
Pension And Employee Benefit Expense,98739000.0,114959000.0,82987000.0,109047000.0,118947000.0,
Gain Loss On Investment Securities,15464000.0,47388000.0,-18250000.0,9925000.0,35510000.0,
Net Foreign Currency Exchange Gain Loss,-30779000.0,-15388000.0,-25836000.0,-28074000.0,-6241000.0,
Gain Loss On Sale Of PPE,8702000.0,5216000.0,60407000.0,11669000.0,8591000.0,
Net Income From Continuing Operations,1464320000.0,1011790000.0,-1294832000.0,862730000.0,755906000.0,
