,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-26871401.059759,-86666400.0,-63886526.808886,-46601080.0,-49714082.621963,
Tax Rate For Calcs,0.107094,0.4,0.363254,0.34,0.273815,
Normalized EBITDA,1174035000.0,1332083000.0,1019339000.0,1291582000.0,920516000.0,
Total Unusual Items,-250913000.0,-216666000.0,-175873000.0,-137062000.0,-181561000.0,
Total Unusual Items Excluding Goodwill,-250913000.0,-216666000.0,-175873000.0,-137062000.0,-181561000.0,
Net Income From Continuing Operation Net Minority Interest,-76268000.0,-100976000.0,-83512000.0,87134000.0,-331493000.0,
Reconciled Depreciation,321988000.0,322173000.0,311945000.0,409108000.0,413126000.0,
Reconciled Cost Of Revenue,7062135000.0,6847223000.0,7055023000.0,6967157000.0,7309151000.0,
EBITDA,923122000.0,1115417000.0,843466000.0,1154520000.0,738955000.0,
EBIT,601134000.0,793244000.0,531521000.0,745412000.0,325829000.0,
Net Interest Income,-699528000.0,-678686000.0,-671710000.0,-611264000.0,-889715000.0,
Interest Expense,686059000.0,716334000.0,662914000.0,712497000.0,782342000.0,
Interest Income,,133471000.0,144071000.0,73937000.0,123148000.0,14455000.0
Normalized Income,147773598.940241,29023600.0,28474473.191114,177594920.0,-199646082.621963,
Net Income From Continuing And Discontinued Operation,-76268000.0,-100976000.0,-83512000.0,87134000.0,-331491000.0,
Total Expenses,7527786000.0,7358429000.0,7449845000.0,7471502000.0,7665177000.0,
Diluted Average Shares,476675000.0,480557000.0,,512552941.0,502259091.0,504927000.0
Basic Average Shares,476675000.0,474872000.0,,512552941.0,502259091.0,494656000.0
Diluted EPS,-0.16,-0.21,,0.17,-0.66,0.37
Basic EPS,-0.16,-0.21,,0.17,-0.66,0.38
Diluted NI Availto Com Stockholders,-76268000.0,-100976000.0,-83512000.0,87134000.0,-331491000.0,
Net Income Common Stockholders,-76268000.0,-100976000.0,-83512000.0,87134000.0,-331491000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-76268000.0,-100976000.0,-83512000.0,87134000.0,-331491000.0,
Minority Interests,-438000.0,-278000.0,152000.0,25000.0,20000.0,
Net Income Including Noncontrolling Interests,-75830000.0,-100698000.0,-83664000.0,87109000.0,-331511000.0,
Net Income Discontinuous Operations,0.0,,0.0,0.0,2000.0,0.0
Net Income Continuous Operations,-75830000.0,-100698000.0,-83664000.0,87109000.0,-331513000.0,
Tax Provision,-9095000.0,177608000.0,-47729000.0,-54194000.0,-125000000.0,
Pretax Income,-84925000.0,76910000.0,-131393000.0,32915000.0,-456513000.0,
Special Income Charges,-237824000.0,-183402000.0,-154936000.0,-95495000.0,-150186000.0,
Other Special Charges,237824000.0,183402000.0,154936000.0,95495000.0,150186000.0,
Net Non Operating Interest Income Expense,-699528000.0,-678686000.0,-671710000.0,-611264000.0,-889715000.0,
Total Other Finance Cost,13469000.0,-37648000.0,8796000.0,-27296000.0,107373000.0,
Interest Expense Non Operating,686059000.0,716334000.0,662914000.0,712497000.0,782342000.0,
Interest Income Non Operating,,133471000.0,144071000.0,73937000.0,123148000.0,14455000.0
Operating Income,607365000.0,717706000.0,444201000.0,446623000.0,295438000.0,
Operating Expense,465651000.0,511206000.0,394822000.0,504345000.0,356026000.0,
Other Operating Expenses,101013000.0,179649000.0,263432000.0,106206000.0,1027000.0,
Depreciation And Amortization In Income Statement,119475000.0,130180000.0,120192000.0,230438000.0,242706000.0,
Depreciation Income Statement,119475000.0,130180000.0,120192000.0,230438000.0,242706000.0,
Selling General And Administration,104798000.0,102666000.0,111712000.0,106398000.0,-12880000.0,
Selling And Marketing Expense,74363000.0,65613000.0,79564000.0,65970000.0,79783000.0,
General And Administrative Expense,30435000.0,37053000.0,32148000.0,40428000.0,-92663000.0,
Gross Profit,1073016000.0,1228912000.0,839023000.0,950968000.0,651464000.0,
Cost Of Revenue,7062135000.0,6847223000.0,7055023000.0,6967157000.0,7309151000.0,
Total Revenue,8135151000.0,8076135000.0,7894046000.0,7918125000.0,7960615000.0,
Operating Revenue,8135151000.0,8076135000.0,7894046000.0,7918125000.0,7960615000.0,
