,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,1360382643.0,1360382643.0,1360382643.0,1360382643.0,1360382643.0,,
Share Issued,1360382643.0,1360382643.0,1360382643.0,1360382643.0,1360382643.0,,
Net Debt,2362866000.0,2581626000.0,2397750000.0,2334057000.0,2369182000.0,,
Total Debt,3265247000.0,3716998000.0,3728137000.0,3704016000.0,3738632000.0,,
Tangible Book Value,2026328000.0,1938802000.0,2089492000.0,2196069000.0,2129022000.0,,
Invested Capital,5112172000.0,5472409000.0,5643049000.0,5740128000.0,5666731000.0,,
Working Capital,950296000.0,1115435000.0,1100665000.0,1413663000.0,1422334000.0,,
Net Tangible Assets,2026328000.0,1938802000.0,2089492000.0,2196069000.0,2129022000.0,,
Capital Lease Obligations,243524000.0,250319000.0,247140000.0,237328000.0,274951000.0,,
Common Stock Equity,2090449000.0,2005730000.0,2162052000.0,2273440000.0,2203050000.0,,
Total Capitalization,5071182000.0,5382799000.0,5575990000.0,5564117000.0,5523723000.0,,
Total Equity Gross Minority Interest,2090449000.0,2005730000.0,2162052000.0,2273440000.0,2203050000.0,,
Stockholders Equity,2090449000.0,2005730000.0,2162052000.0,2273440000.0,2203050000.0,,
Other Equity Interest,-14646000.0,-15195000.0,-15987000.0,8883000.0,6434000.0,,
Retained Earnings,-889500000.0,-989857000.0,-955685000.0,-672030000.0,-788354000.0,,
Additional Paid In Capital,4401000.0,4401000.0,4401000.0,4401000.0,4401000.0,,
Capital Stock,2559469000.0,2559469000.0,2559469000.0,2534584000.0,2534584000.0,,
Common Stock,2559469000.0,2559469000.0,2559469000.0,2534584000.0,2534584000.0,,
Total Liabilities Net Minority Interest,3825249000.0,4182396000.0,4325256000.0,4627655000.0,4673086000.0,,
Total Non Current Liabilities Net Minority Interest,3404281000.0,3750949000.0,3767149000.0,3701488000.0,3717068000.0,,
Derivative Product Liabilities,53460000.0,31007000.0,11798000.0,21614000.0,14633000.0,,
Tradeand Other Payables Non Current,114593000.0,99089000.0,90503000.0,139884000.0,123707000.0,,
Non Current Deferred Revenue,,,,,,,0.0
Non Current Deferred Taxes Liabilities,,14185000.0,,2916000.0,,,
Long Term Debt And Capital Lease Obligation,3204388000.0,3602514000.0,3637737000.0,3509939000.0,3551611000.0,,
Long Term Capital Lease Obligation,223655000.0,225445000.0,223799000.0,219262000.0,230938000.0,,
Long Term Debt,2980733000.0,3377069000.0,3413938000.0,3290677000.0,3320673000.0,,
Long Term Provisions,31840000.0,4154000.0,27111000.0,27135000.0,27117000.0,,
Current Liabilities,420968000.0,431447000.0,558107000.0,926167000.0,956018000.0,,
Current Deferred Taxes Liabilities,,,,,,,0.0
Current Debt And Capital Lease Obligation,60859000.0,114484000.0,90400000.0,194077000.0,187021000.0,,
Current Capital Lease Obligation,19869000.0,24874000.0,23341000.0,18066000.0,44013000.0,,
Current Debt,40990000.0,89610000.0,67059000.0,176011000.0,143008000.0,,
Pensionand Other Post Retirement Benefit Plans Current,62109000.0,51126000.0,65956000.0,67775000.0,46079000.0,,
Current Provisions,5213000.0,5311000.0,5884000.0,7455000.0,8219000.0,,
Payables,292787000.0,260526000.0,395867000.0,214502000.0,242456000.0,,
Other Payable,42233000.0,46996000.0,159037000.0,17166000.0,16039000.0,,
Total Tax Payable,77021000.0,73773000.0,97884000.0,92061000.0,111313000.0,,
Accounts Payable,173533000.0,139757000.0,138946000.0,105275000.0,115104000.0,,
Total Assets,5915698000.0,6188126000.0,6487308000.0,6901095000.0,6876136000.0,,
Total Non Current Assets,4544434000.0,4641244000.0,4828536000.0,4561265000.0,4497784000.0,,
Other Non Current Assets,61211000.0,101426000.0,111435000.0,181827000.0,164656000.0,,
Non Current Prepaid Assets,,,,,,50258000.0,48851000.0
Non Current Deferred Taxes Assets,30029000.0,27048000.0,35107000.0,30166000.0,44034000.0,,
Financial Assets,12033000.0,3210000.0,2728000.0,0.0,0.0,,
Investmentin Financial Assets,394068000.0,391235000.0,415723000.0,160316000.0,0.0,,
Available For Sale Securities,394068000.0,391235000.0,415723000.0,160316000.0,,,18031000.0
Long Term Equity Investment,127578000.0,120730000.0,124421000.0,122704000.0,117489000.0,,
Investmentsin Joint Venturesat Cost,127578000.0,120730000.0,124421000.0,122704000.0,117489000.0,,
Goodwill And Other Intangible Assets,64121000.0,66928000.0,72560000.0,77371000.0,74028000.0,,
Other Intangible Assets,57169000.0,59920000.0,65171000.0,70259000.0,66562000.0,,
Goodwill,6952000.0,7008000.0,7389000.0,7112000.0,7466000.0,,
Net PPE,3777199000.0,3854901000.0,3992810000.0,3914545000.0,4021035000.0,,
Accumulated Depreciation,-2270304000.0,-2177765000.0,-2017874000.0,-1913168000.0,-1864380000.0,,
Gross PPE,6047503000.0,6032666000.0,6010684000.0,5827713000.0,5885415000.0,,
Construction In Progress,263087000.0,266471000.0,255192000.0,267035000.0,259798000.0,,
Other Properties,32532000.0,32532000.0,12004000.0,1874000.0,4972000.0,,
Machinery Furniture Equipment,4559945000.0,4541764000.0,4647696000.0,4461458000.0,4520985000.0,,
Buildings And Improvements,1075327000.0,1075287000.0,979180000.0,980734000.0,983048000.0,,
Land And Improvements,116612000.0,116612000.0,116612000.0,116612000.0,116612000.0,,
Properties,0.0,0.0,0.0,0.0,0.0,,
