,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,96071000.0,69460000.0,206773000.0,-11687000.0,-421000.0,,
Repayment Of Debt,,,-188097000.0,0.0,,,0.0
Issuance Of Debt,,,,,,,0.0
Capital Expenditure,-4386000.0,-10194000.0,-7889000.0,-5618000.0,-12038000.0,,
End Cash Position,54039000.0,79557000.0,11232000.0,10789000.0,27417000.0,,
Beginning Cash Position,79557000.0,11232000.0,10789000.0,27417000.0,30792000.0,,
Effect Of Exchange Rate Changes,-372000.0,17000.0,-3309000.0,-3221000.0,-1539000.0,,
Changes In Cash,-25146000.0,68308000.0,3752000.0,-13407000.0,-1836000.0,,
Financing Cash Flow,-121217000.0,-1152000.0,-203021000.0,-1720000.0,-1415000.0,,
Net Issuance Payments Of Debt,,,-188097000.0,0.0,,,0.0
Net Long Term Debt Issuance,,,-188097000.0,0.0,,,0.0
Long Term Debt Payments,,,-188097000.0,0.0,,,0.0
Long Term Debt Issuance,,,,,,,0.0
Investing Cash Flow,-4386000.0,-10194000.0,-7889000.0,-5618000.0,-12038000.0,,
Net Business Purchase And Sale,,0.0,,,,0.0,
Purchase Of Business,,0.0,,,,0.0,
Net Intangibles Purchase And Sale,-4384000.0,-10086000.0,-7592000.0,-4975000.0,-10041000.0,,
Purchase Of Intangibles,-4384000.0,-10086000.0,-7592000.0,-4975000.0,-10041000.0,,
Net PPE Purchase And Sale,-2000.0,-108000.0,-297000.0,-643000.0,-1997000.0,,
Purchase Of PPE,-2000.0,-108000.0,,,-1997000.0,-6010000.0,
Operating Cash Flow,100457000.0,79654000.0,214662000.0,-6069000.0,11617000.0,,
Taxes Refund Paid,-45110000.0,-51981000.0,-47094000.0,-73350000.0,-35669000.0,,
Interest Paid Cfo,,,-82312000.0,0.0,,,-16166000.0
Change In Working Capital,96350000.0,4788000.0,306278000.0,-46536000.0,-55889000.0,,
Change In Other Current Liabilities,-49596000.0,9702000.0,9912000.0,12191000.0,116747000.0,,
Change In Other Current Assets,188312000.0,-30760000.0,276956000.0,-15865000.0,-112199000.0,,
Change In Payable,65208000.0,9862000.0,-294733000.0,37338000.0,106027000.0,,
Change In Prepaid Assets,4021000.0,-9589000.0,44951000.0,-4563000.0,-40891000.0,,
Change In Receivables,-82487000.0,62502000.0,-2699000.0,-34538000.0,28146000.0,,
Other Non Cash Items,-2566000.0,843000.0,-8715000.0,-5110000.0,2549000.0,,
Provisionand Write Offof Assets,-927000.0,-13000.0,-6894000.0,-281000.0,-10622000.0,,
Depreciation And Amortization,10979000.0,14134000.0,18889000.0,20010000.0,20901000.0,,
Depreciation,10979000.0,14134000.0,18889000.0,20010000.0,20901000.0,,
Net Foreign Currency Exchange Gain Loss,50996000.0,18315000.0,-9010000.0,-7498000.0,-378000.0,,
Gain Loss On Sale Of PPE,,,2000.0,-69000.0,,,574000.0
Net Income From Continuing Operations,-3263000.0,93568000.0,37972000.0,112311000.0,106562000.0,,
