,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-24696800.0,8208683.2,190911.474675,2900424.9297,-164332.355391,
Tax Rate For Calcs,0.4,0.0908,0.055498,0.065357,0.077957,
Normalized EBITDA,766964000.0,500772000.0,1185951000.0,441588000.0,418968000.0,
Total Unusual Items,-61742000.0,90404000.0,3440000.0,44378000.0,-2108000.0,
Total Unusual Items Excluding Goodwill,-61742000.0,90404000.0,3440000.0,44378000.0,-2108000.0,
Net Income From Continuing Operation Net Minority Interest,452130000.0,369687000.0,1010720000.0,298871000.0,236125000.0,
Reconciled Depreciation,44194000.0,6637000.0,-4197000.0,22867000.0,15941000.0,
Reconciled Cost Of Revenue,347342000.0,210373000.0,744553000.0,187605000.0,186898000.0,
EBITDA,705222000.0,591176000.0,1189391000.0,485966000.0,416860000.0,
EBIT,661028000.0,584539000.0,1183583000.0,463099000.0,400919000.0,
Net Interest Income,-96855000.0,-157294000.0,-88515000.0,-105126000.0,-96654000.0,
Interest Expense,216800000.0,175868000.0,147789000.0,137351000.0,134373000.0,
Interest Income,7696000.0,5095000.0,10723000.0,9104000.0,7593000.0,
Normalized Income,489175200.0,287491683.2,1007470911.474675,257393424.9297,238068667.644609,
Net Income From Continuing And Discontinued Operation,452130000.0,369687000.0,1010720000.0,298871000.0,236125000.0,
Total Expenses,478123000.0,318424000.0,963774000.0,287620000.0,298630000.0,
Diluted Average Shares,,685314547.0,,,668564304.0,678559434.0
Basic Average Shares,,682881195.0,,,668564304.0,676607051.0
Diluted EPS,,0.5558,,,0.367653,0.1705
Basic EPS,,0.5578,,,0.367653,0.171
Diluted NI Availto Com Stockholders,452130000.0,369687000.0,1010720000.0,298871000.0,236125000.0,
Net Income Common Stockholders,452130000.0,369687000.0,1010720000.0,298871000.0,236125000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,452130000.0,369687000.0,1010720000.0,298871000.0,236125000.0,
Minority Interests,7613000.0,-1866000.0,32410000.0,-5587000.0,-9642000.0,
Net Income Including Noncontrolling Interests,444517000.0,371553000.0,978310000.0,304458000.0,245767000.0,
Net Income Continuous Operations,444517000.0,371553000.0,978310000.0,304458000.0,245767000.0,
Tax Provision,-289000.0,37118000.0,57484000.0,21290000.0,20779000.0,
Pretax Income,444228000.0,408671000.0,1035794000.0,325748000.0,266546000.0,
Special Income Charges,409000.0,-7445000.0,5187000.0,1304000.0,783000.0,
Other Special Charges,-683000.0,7313000.0,-5268000.0,-1611000.0,-1288000.0,
Restructuring And Mergern Acquisition,274000.0,132000.0,81000.0,307000.0,505000.0,
Net Non Operating Interest Income Expense,-96855000.0,-157294000.0,-88515000.0,-105126000.0,-96654000.0,
Total Other Finance Cost,-112249000.0,-13479000.0,-48551000.0,-23121000.0,-30126000.0,
Interest Expense Non Operating,216800000.0,175868000.0,147789000.0,137351000.0,134373000.0,
Interest Income Non Operating,7696000.0,5095000.0,10723000.0,9104000.0,7593000.0,
Operating Income,457196000.0,219237000.0,1099282000.0,229086000.0,197464000.0,
Operating Expense,130781000.0,108051000.0,219221000.0,100015000.0,111732000.0,
Other Operating Expenses,1239000.0,-5228000.0,10767000.0,-142000.0,-990000.0,
Depreciation And Amortization In Income Statement,5847000.0,5801000.0,5808000.0,5226000.0,5691000.0,
Depreciation Income Statement,5847000.0,5801000.0,5808000.0,5226000.0,5691000.0,
Selling General And Administration,149486000.0,115755000.0,243409000.0,113565000.0,122308000.0,
General And Administrative Expense,149486000.0,115755000.0,243409000.0,113565000.0,122308000.0,
Gross Profit,587977000.0,327288000.0,1318503000.0,329101000.0,309196000.0,
Cost Of Revenue,347342000.0,210373000.0,744553000.0,187605000.0,186898000.0,
Total Revenue,935319000.0,537661000.0,2063056000.0,516706000.0,496094000.0,
Operating Revenue,935319000.0,537661000.0,2063056000.0,516706000.0,496094000.0,
