,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-426405.070994,8154.8,10405020.0,-1062042.4,-235642.182853,
Tax Rate For Calcs,0.359229,0.2812,0.34,0.2264,0.379456,
Normalized EBITDA,33660000.0,35565000.0,49237000.0,,45355000.0,53341000.0
Total Unusual Items,-1187000.0,29000.0,30603000.0,,-621000.0,-1394000.0
Total Unusual Items Excluding Goodwill,-1187000.0,29000.0,30603000.0,,-621000.0,-1394000.0
Net Income From Continuing Operation Net Minority Interest,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Reconciled Depreciation,11026000.0,11052000.0,9928000.0,,9196000.0,9625000.0
Reconciled Cost Of Revenue,238429000.0,251751000.0,299382000.0,,238690000.0,272102000.0
EBITDA,32473000.0,35594000.0,79840000.0,,44734000.0,51947000.0
EBIT,21447000.0,24542000.0,69912000.0,,35538000.0,42322000.0
Net Interest Income,-13442000.0,-7419000.0,-13839000.0,-14248000.0,-11525000.0,
Interest Expense,11587000.0,715000.0,12644000.0,,12339000.0,813000.0
Interest Income,446000.0,6380000.0,1541000.0,,2423000.0,9157000.0
Normalized Income,7078594.929006,17107154.8,44554020.0,55198957.6,14781357.817147,
Net Income From Continuing And Discontinued Operation,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Total Expenses,283680000.0,296221000.0,340354000.0,355557000.0,282268000.0,
Total Operating Income As Reported,14887000.0,22612000.0,57594000.0,,28744000.0,43271000.0
Diluted Average Shares,174087799.0,173880292.0,,,173566579.0,173708435.0
Basic Average Shares,173318607.0,173331850.0,,,173310939.0,173280286.0
Diluted EPS,0.0363,0.0985,,,0.0829,0.1471
Basic EPS,0.0365,0.0988,,,0.0831,0.1475
Diluted NI Availto Com Stockholders,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Net Income Common Stockholders,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0
Net Income,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Net Income Including Noncontrolling Interests,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Net Income Continuous Operations,6318000.0,17128000.0,64752000.0,,14396000.0,25552000.0
Tax Provision,3542000.0,6699000.0,-7484000.0,,8803000.0,15957000.0
Pretax Income,9860000.0,23827000.0,57268000.0,,23199000.0,41509000.0
Special Income Charges,-1187000.0,29000.0,-272000.0,,-621000.0,-1394000.0
Other Special Charges,1835000.0,-745000.0,355000.0,,517000.0,1375000.0
Write Off,-648000.0,716000.0,-83000.0,,104000.0,19000.0
Net Non Operating Interest Income Expense,-13442000.0,-7419000.0,-13839000.0,-14248000.0,-11525000.0,
Total Other Finance Cost,2301000.0,13084000.0,2736000.0,1665000.0,1609000.0,
Interest Expense Non Operating,11587000.0,715000.0,12644000.0,,12339000.0,813000.0
Interest Income Non Operating,446000.0,6380000.0,1541000.0,,2423000.0,9157000.0
Operating Income,15391000.0,21838000.0,58308000.0,67778000.0,28805000.0,
Operating Expense,45251000.0,44470000.0,40972000.0,37642000.0,43578000.0,
Other Operating Expenses,8979000.0,8920000.0,23321000.0,11895000.0,7538000.0,
Depreciation And Amortization In Income Statement,751000.0,753000.0,,,759000.0,762000.0
Depreciation Income Statement,751000.0,753000.0,,,759000.0,762000.0
Selling General And Administration,46776000.0,47638000.0,50891000.0,,48332000.0,47961000.0
Selling And Marketing Expense,22547000.0,24129000.0,25576000.0,,24975000.0,25368000.0
General And Administrative Expense,24229000.0,23509000.0,25315000.0,,23357000.0,22593000.0
Gross Profit,60642000.0,66308000.0,99280000.0,,72383000.0,85128000.0
Cost Of Revenue,238429000.0,251751000.0,299382000.0,,238690000.0,272102000.0
Total Revenue,299071000.0,318059000.0,398662000.0,,311073000.0,357230000.0
Operating Revenue,299071000.0,318059000.0,398662000.0,,311073000.0,357230000.0
