,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,56655000.0,80584000.0,63646000.0,70509000.0,102700000.0,,
Repurchase Of Capital Stock,0.0,-8661000.0,-13042000.0,-4058000.0,-4962000.0,,
Repayment Of Debt,0.0,0.0,0.0,0.0,0.0,,
Issuance Of Capital Stock,0.0,0.0,4484000.0,812000.0,5587000.0,,
Capital Expenditure,-33990000.0,-24622000.0,-35531000.0,-32376000.0,-29901000.0,,
End Cash Position,314495000.0,288599000.0,371931000.0,309310000.0,277287000.0,,
Beginning Cash Position,288599000.0,371931000.0,309310000.0,277287000.0,399269000.0,,
Changes In Cash,25896000.0,-83332000.0,62621000.0,32023000.0,-121982000.0,,
Financing Cash Flow,-6705000.0,-154977000.0,-15168000.0,-38486000.0,-5971000.0,,
Interest Paid Cff,,,0.0,0.0,0.0,0.0,0.0
Cash Dividends Paid,0.0,-139999000.0,0.0,,,,-40000000.0
Net Common Stock Issuance,0.0,-8661000.0,-8558000.0,-3246000.0,625000.0,,
Common Stock Payments,0.0,-8661000.0,-13042000.0,-4058000.0,-4962000.0,,
Common Stock Issuance,0.0,0.0,4484000.0,812000.0,5587000.0,,
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0,0.0,,
Net Short Term Debt Issuance,0.0,0.0,,,0.0,-2000.0,
Short Term Debt Payments,0.0,0.0,,,0.0,-2000.0,
Net Long Term Debt Issuance,,,0.0,,,,-5000.0
Long Term Debt Payments,,,0.0,,,,-5000.0
Investing Cash Flow,-58044000.0,-33561000.0,-21388000.0,-32376000.0,-248612000.0,,
Net Investment Purchase And Sale,-23805000.0,-8939000.0,-5857000.0,0.0,-218966000.0,,
Purchase Of Investment,-23805000.0,-8939000.0,-5857000.0,0.0,-218966000.0,,
Net Business Purchase And Sale,-249000.0,0.0,20000000.0,0.0,255000.0,,
Purchase Of Business,-249000.0,0.0,0.0,0.0,255000.0,,
Net Intangibles Purchase And Sale,-26544000.0,-22477000.0,-28819000.0,-20816000.0,-21461000.0,,
Purchase Of Intangibles,-26544000.0,-22477000.0,-28819000.0,-20816000.0,-21461000.0,,
Net PPE Purchase And Sale,-7446000.0,-2145000.0,-6712000.0,-11560000.0,-8440000.0,,
Purchase Of PPE,-7446000.0,-2145000.0,-6712000.0,-11560000.0,-8440000.0,,
Operating Cash Flow,90645000.0,105206000.0,99177000.0,102885000.0,132601000.0,,
Taxes Refund Paid,-249000.0,-533000.0,-702000.0,-1278000.0,-4761000.0,,
Change In Working Capital,-4297000.0,16059000.0,12108000.0,41710000.0,64529000.0,,
Change In Other Current Liabilities,6046000.0,-2091000.0,-3733000.0,13431000.0,7057000.0,,
Change In Other Current Assets,5190000.0,6386000.0,23603000.0,44855000.0,20889000.0,,
Change In Accrued Expense,-28172000.0,22644000.0,7960000.0,14805000.0,-1947000.0,,
Change In Payable,5146000.0,-3200000.0,5184000.0,1743000.0,4067000.0,,
Change In Receivables,7493000.0,-7680000.0,-20906000.0,-33124000.0,34463000.0,,
Other Non Cash Items,977000.0,4371000.0,4813000.0,2652000.0,7373000.0,,
Stock Based Compensation,4268000.0,4950000.0,5418000.0,6848000.0,2680000.0,,
Provisionand Write Offof Assets,-1647000.0,3328000.0,-5288000.0,3066000.0,62000.0,,
Depreciation And Amortization,35917000.0,36279000.0,34715000.0,37293000.0,35619000.0,,
Amortization Cash Flow,23073000.0,23957000.0,21426000.0,23942000.0,22480000.0,,
Depreciation,12844000.0,12322000.0,13289000.0,13351000.0,13139000.0,,
Gain Loss On Investment Securities,,,0.0,,,,
Net Income From Continuing Operations,55676000.0,40752000.0,48113000.0,-403339000.0,27099000.0,,
