,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,858157000.0,277075000.0,1764187000.0,1910152000.0,1681068000.0,,
Repurchase Of Capital Stock,-261571000.0,-164693000.0,-416208000.0,-319042000.0,-515276000.0,,
Repayment Of Debt,-26234838000.0,-26263506000.0,-22357341000.0,-26191411000.0,-24228134000.0,,
Issuance Of Debt,26121745000.0,25261839000.0,24069612000.0,28746171000.0,26963600000.0,,
Issuance Of Capital Stock,,,,,,,0.0
Capital Expenditure,-1310358000.0,-1173620000.0,-1869394000.0,-1409163000.0,-1364853000.0,,
End Cash Position,5505329000.0,3903571000.0,4711133000.0,5656167000.0,4569782000.0,,
Beginning Cash Position,3903571000.0,4711133000.0,5656167000.0,4569782000.0,3960214000.0,,
Effect Of Exchange Rate Changes,-196554000.0,-369405000.0,372600000.0,-334646000.0,-357446000.0,,
Changes In Cash,1798312000.0,-438157000.0,-1317634000.0,1542113000.0,967014000.0,,
Other Cash Adjustment Inside Changein Cash,,,,,19529000.0,114894000.0,
Financing Cash Flow,-632579000.0,-1615848000.0,723567000.0,-1703602000.0,1868451000.0,,
Net Other Financing Charges,59620000.0,-123386000.0,-32177000.0,43320000.0,-13442000.0,,
Cash Dividends Paid,,,-1583000.0,-3845562000.0,-5000.0,-119000.0,
Common Stock Dividend Paid,,,-1583000.0,,,,-3135078000.0
Net Common Stock Issuance,-261571000.0,-164693000.0,-612260000.0,-122990000.0,-515276000.0,,
Common Stock Payments,-261571000.0,-164693000.0,-416208000.0,-319042000.0,-515276000.0,,
Common Stock Issuance,,,,,,,0.0
Net Issuance Payments Of Debt,-113093000.0,-1001667000.0,1712271000.0,2554760000.0,2735466000.0,,
Net Long Term Debt Issuance,-113093000.0,-1001667000.0,1712271000.0,2554760000.0,2735466000.0,,
Long Term Debt Payments,-26234838000.0,-26263506000.0,-22357341000.0,-26191411000.0,-24228134000.0,,
Long Term Debt Issuance,26121745000.0,25261839000.0,24069612000.0,28746171000.0,26963600000.0,,
Investing Cash Flow,262376000.0,-273004000.0,-5795865000.0,-73600000.0,-3947358000.0,,
Net Investment Purchase And Sale,1572734000.0,900616000.0,-3648273000.0,1335563000.0,-2534505000.0,,
Sale Of Investment,1672860000.0,900616000.0,,,,1819717000.0,
Purchase Of Investment,-100126000.0,0.0,-2277083000.0,-35627000.0,-714788000.0,,
Net Business Purchase And Sale,0.0,0.0,-245470000.0,0.0,-48000000.0,,
Sale Of Business,,0.0,,,,15272000.0,
Purchase Of Business,,,-245470000.0,0.0,,,
Net Intangibles Purchase And Sale,-90367000.0,-56505000.0,-52118000.0,-32126000.0,-110433000.0,,
Purchase Of Intangibles,-90367000.0,-56505000.0,-52118000.0,-32126000.0,-110433000.0,,
Net PPE Purchase And Sale,-822982000.0,-697032000.0,-1384346000.0,-949374000.0,-836963000.0,,
Purchase Of PPE,-822982000.0,-697032000.0,-1384346000.0,-949374000.0,-836963000.0,,
Capital Expenditure Reported,-397009000.0,-420083000.0,-432930000.0,-427663000.0,-417457000.0,,
Operating Cash Flow,2168515000.0,1450695000.0,3633581000.0,3319315000.0,3045921000.0,,
Change In Working Capital,-1205328000.0,-1592423000.0,518211000.0,-404280000.0,-234433000.0,,
Change In Other Current Assets,-82678000.0,-1071697000.0,652475000.0,-583061000.0,-134511000.0,,
Change In Accrued Expense,,,,877486000.0,-326206000.0,-12756000.0,
Change In Payable,-1058017000.0,126834000.0,-1782114000.0,1014912000.0,654506000.0,,
Change In Inventory,-540884000.0,-1087028000.0,1621482000.0,-1532523000.0,-1525926000.0,,
Change In Receivables,714991000.0,404879000.0,71353000.0,-148302000.0,1087534000.0,,
Other Non Cash Items,1822565000.0,1732566000.0,1752710000.0,1803115000.0,1565551000.0,,
Provisionand Write Offof Assets,214640000.0,73004000.0,84783000.0,53268000.0,286507000.0,,
Deferred Tax,-468166000.0,36030000.0,-155865000.0,-294726000.0,-631609000.0,,
Depreciation And Amortization,1651922000.0,1609691000.0,1667300000.0,1904796000.0,1865787000.0,,
Amortization Cash Flow,,,,255172000.0,,,
Depreciation,1146659000.0,1609691000.0,2421280000.0,1150816000.0,1865787000.0,,
Gain Loss On Investment Securities,,,0.0,0.0,0.0,-3523000.0,0.0
Net Foreign Currency Exchange Gain Loss,111085000.0,-369940000.0,-160954000.0,53075000.0,-3416000.0,,
Net Income From Continuing Operations,68482000.0,111256000.0,91079000.0,94022000.0,85223000.0,,
