,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,4759821000.0,4322290000.0,5416737000.0,3821982000.0,4554492000.0,
Repayment Of Debt,0.0,0.0,-861720000.0,-350571000.0,-73074000.0,
Issuance Of Debt,,,0.0,,,-79158000.0
Issuance Of Capital Stock,,,0.0,0.0,0.0,0.0
Capital Expenditure,-155066000.0,-189599000.0,-244400000.0,-206303000.0,-168329000.0,
End Cash Position,904972000.0,1287813000.0,1575837000.0,1969935000.0,1532213000.0,
Beginning Cash Position,1287813000.0,1575837000.0,1424531000.0,1532213000.0,1827197000.0,
Changes In Cash,-382841000.0,-288024000.0,151306000.0,437722000.0,-294984000.0,
Financing Cash Flow,-5129473000.0,-4599946000.0,-5211181000.0,-3342979000.0,-4838301000.0,
Net Other Financing Charges,-4563425000.0,-4314967000.0,-3799655000.0,-4314059000.0,-4486553000.0,
Interest Paid Cff,-390642000.0,-169534000.0,-437341000.0,-337719000.0,-157144000.0,
Cash Dividends Paid,,,0.0,,,
Net Common Stock Issuance,,,0.0,0.0,0.0,0.0
Common Stock Issuance,,,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,-861720000.0,1646920000.0,-73074000.0,
Net Long Term Debt Issuance,0.0,0.0,-861720000.0,1646920000.0,-73074000.0,
Long Term Debt Payments,0.0,0.0,-861720000.0,-350571000.0,-73074000.0,
Long Term Debt Issuance,,,0.0,,,-79158000.0
Investing Cash Flow,-168255000.0,-199967000.0,-298650000.0,-247584000.0,-179504000.0,
Net Business Purchase And Sale,-13189000.0,-10368000.0,-54250000.0,-41281000.0,-11175000.0,
Purchase Of Business,-13189000.0,-10368000.0,-54250000.0,-41281000.0,-11175000.0,
Net Intangibles Purchase And Sale,-117438000.0,-158061000.0,-150941000.0,-159580000.0,-117683000.0,
Sale Of Intangibles,,,,,,0.0
Purchase Of Intangibles,-117438000.0,-158061000.0,-150941000.0,-159580000.0,-117683000.0,
Net PPE Purchase And Sale,-37628000.0,-31538000.0,-93459000.0,-46723000.0,-50646000.0,
Purchase Of PPE,-37628000.0,-31538000.0,-93459000.0,-46723000.0,-50646000.0,
Operating Cash Flow,4914887000.0,4511889000.0,5661137000.0,4028285000.0,4722821000.0,
Taxes Refund Paid,-6692000.0,-3923000.0,-4849000.0,-6407000.0,-11768000.0,
Dividend Received Cfo,,,53950000.0,38000000.0,0.0,42550000.0
Change In Working Capital,4368881000.0,3916269000.0,5024034000.0,3358463000.0,4034023000.0,
Change In Other Current Liabilities,176334000.0,-111485000.0,,-312628000.0,-226371000.0,
Change In Other Current Assets,-546488000.0,-26780000.0,-334377000.0,-35751000.0,95506000.0,
Change In Accrued Expense,13369000.0,-6951000.0,,-92298000.0,11041000.0,
Change In Payable,3742643000.0,3163545000.0,6173915000.0,4841956000.0,2978124000.0,
Change In Inventory,513177000.0,-421915000.0,-19842000.0,158815000.0,350323000.0,
Change In Receivables,469846000.0,1319855000.0,-479191000.0,-1201631000.0,825400000.0,
Other Non Cash Items,247176000.0,143788000.0,246513000.0,270762000.0,203133000.0,
Stock Based Compensation,939000.0,3264000.0,5020000.0,4474000.0,4922000.0,
Provisionand Write Offof Assets,179838000.0,227909000.0,470994000.0,142563000.0,191520000.0,
Deferred Tax,-96994000.0,-103736000.0,-608054000.0,-25654000.0,14289000.0,
Depreciation And Amortization,331702000.0,332446000.0,323205000.0,318261000.0,323112000.0,
Amortization Cash Flow,133135000.0,132378000.0,122630000.0,121064000.0,114936000.0,
Depreciation,198567000.0,200068000.0,200575000.0,197197000.0,208176000.0,
Gain Loss On Investment Securities,-18701000.0,87640000.0,9458000.0,-2033000.0,-3266000.0,
Gain Loss On Sale Of PPE,734000.0,1231000.0,8950000.0,5299000.0,-3662000.0,
Net Income From Continuing Operations,-72462000.0,-55220000.0,131606000.0,-24356000.0,12768000.0,
