,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,-185845.0,1918400.0,319001.144605,-498996.0,-1943040.0
Tax Rate For Calcs,0.341,0.4,0.224491,0.332,0.253
Normalized EBITDA,309512000.0,310807000.0,264816000.0,251645000.0,258956000.0
Total Unusual Items,-545000.0,4796000.0,1421000.0,-1503000.0,-7680000.0
Total Unusual Items Excluding Goodwill,-545000.0,4796000.0,1421000.0,-1503000.0,-7680000.0
Net Income From Continuing Operation Net Minority Interest,106254000.0,196975000.0,78476000.0,67339000.0,87232000.0
Reconciled Depreciation,80967000.0,78294000.0,76447000.0,70771000.0,66069000.0
Reconciled Cost Of Revenue,175693000.0,181774000.0,194149000.0,180764000.0,162072000.0
EBITDA,308967000.0,315603000.0,266237000.0,250142000.0,251276000.0
EBIT,228000000.0,237309000.0,189790000.0,179371000.0,185207000.0
Net Interest Income,-37442000.0,-42597000.0,-52918000.0,-49547000.0,-38353000.0
Interest Expense,66681000.0,68830000.0,88445000.0,78548000.0,68323000.0
Interest Income,32633000.0,30739000.0,5947000.0,6970000.0,33133000.0
Normalized Income,106613155.0,194097400.0,77374001.144605,68343004.0,92968960.0
Net Income From Continuing And Discontinued Operation,106254000.0,196975000.0,78476000.0,67339000.0,87232000.0
Total Expenses,268572000.0,271515000.0,329682000.0,327657000.0,283199000.0
Rent Expense Supplemental,4516000.0,3584000.0,3996000.0,3229000.0,2592000.0
Diluted Average Shares,233203000.0,234109000.0,226675661.0,241092000.0,232139000.0
Basic Average Shares,227693000.0,226947000.0,226675661.0,226676000.0,226306000.0
Diluted EPS,0.45563,0.84138,0.34631,0.27931,0.37577
Basic EPS,0.46665,0.86793,0.34631,0.29707,0.38546
Diluted NI Availto Com Stockholders,106254000.0,196975000.0,78476000.0,67339000.0,87232000.0
Net Income Common Stockholders,106254000.0,196975000.0,78476000.0,67339000.0,87232000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,106254000.0,196975000.0,78476000.0,67339000.0,87232000.0
Minority Interests,-76000.0,-40000.0,-118000.0,-44000.0,-112000.0
Net Income Including Noncontrolling Interests,106330000.0,197015000.0,78594000.0,67383000.0,87344000.0
Net Income Continuous Operations,106330000.0,197015000.0,78594000.0,67383000.0,87344000.0
Tax Provision,54989000.0,-28536000.0,22751000.0,33440000.0,29540000.0
Pretax Income,161319000.0,168479000.0,101345000.0,100823000.0,116884000.0
Special Income Charges,-121000.0,-341000.0,-59000.0,-8000.0,-5831000.0
Other Special Charges,,,,,5276000.0
Write Off,121000.0,341000.0,59000.0,8000.0,555000.0
Net Non Operating Interest Income Expense,-37442000.0,-42597000.0,-52918000.0,-49547000.0,-38353000.0
Total Other Finance Cost,3394000.0,4506000.0,-29580000.0,-22031000.0,3163000.0
Interest Expense Non Operating,66681000.0,68830000.0,88445000.0,78548000.0,68323000.0
Interest Income Non Operating,32633000.0,30739000.0,5947000.0,6970000.0,33133000.0
Operating Income,203584000.0,189676000.0,163058000.0,155010000.0,166861000.0
Operating Expense,92879000.0,89741000.0,135533000.0,146893000.0,121127000.0
Other Operating Expenses,8896000.0,-14013000.0,8061000.0,11930000.0,13265000.0
Depreciation And Amortization In Income Statement,25311000.0,24637000.0,25209000.0,25215000.0,25264000.0
Depreciation Income Statement,25311000.0,24637000.0,25209000.0,25215000.0,25264000.0
Selling General And Administration,35761000.0,31564000.0,35052000.0,44446000.0,22122000.0
Selling And Marketing Expense,401000.0,458000.0,7355000.0,272000.0,341000.0
General And Administrative Expense,35360000.0,31106000.0,27697000.0,44174000.0,21781000.0
Rent And Landing Fees,868000.0,725000.0,1069000.0,521000.0,654000.0
Gross Profit,296463000.0,279417000.0,298591000.0,301903000.0,287988000.0
Cost Of Revenue,175693000.0,181774000.0,194149000.0,180764000.0,162072000.0
Total Revenue,472156000.0,461191000.0,492740000.0,482667000.0,450060000.0
Operating Revenue,472156000.0,461191000.0,492740000.0,482667000.0,450060000.0
