,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-78697000.0,-142220000.0,16556000.0,-348503000.0,
Repurchase Of Capital Stock,0.0,-7789000.0,0.0,,
Repayment Of Debt,-600804000.0,-513696000.0,-569458000.0,-129283000.0,
Issuance Of Debt,869262000.0,946437000.0,681743000.0,100828000.0,
Issuance Of Capital Stock,,,,0.0,743950000.0
Capital Expenditure,-480119000.0,-400841000.0,-305400000.0,-383064000.0,
End Cash Position,696564000.0,515103000.0,214287000.0,84251000.0,
Beginning Cash Position,515103000.0,214287000.0,84251000.0,491332000.0,
Effect Of Exchange Rate Changes,-2530000.0,6555000.0,-954000.0,-6006000.0,
Changes In Cash,183991000.0,294261000.0,130990000.0,-401075000.0,
Financing Cash Flow,257993000.0,406601000.0,87850000.0,-65193000.0,
Common Stock Dividend Paid,0.0,0.0,,,
Net Common Stock Issuance,0.0,-7789000.0,0.0,0.0,
Common Stock Payments,0.0,-7789000.0,0.0,,
Common Stock Issuance,,,,0.0,743950000.0
Net Issuance Payments Of Debt,268458000.0,432741000.0,112285000.0,-28455000.0,
Net Long Term Debt Issuance,268458000.0,432741000.0,112285000.0,-28455000.0,
Long Term Debt Payments,-600804000.0,-513696000.0,-569458000.0,-129283000.0,
Long Term Debt Issuance,869262000.0,946437000.0,681743000.0,100828000.0,
Investing Cash Flow,-475424000.0,-370961000.0,-278816000.0,-370443000.0,
Net Other Investing Changes,,,,7981000.0,2870000.0
Dividends Received Cfi,,0.0,6788000.0,5683000.0,4902000.0
Net Investment Purchase And Sale,4284000.0,20846000.0,10068000.0,-1043000.0,
Sale Of Investment,10174000.0,20846000.0,22283000.0,28957000.0,
Purchase Of Investment,-5890000.0,0.0,-12215000.0,-1043000.0,
Net Business Purchase And Sale,411000.0,0.0,8861000.0,0.0,
Sale Of Business,411000.0,0.0,8861000.0,0.0,
Purchase Of Business,,,,0.0,0.0
Net Intangibles Purchase And Sale,,,,-2520000.0,-3076000.0
Purchase Of Intangibles,,,,-2520000.0,-3076000.0
Net PPE Purchase And Sale,-480119000.0,-391807000.0,-304533000.0,-375083000.0,
Sale Of PPE,0.0,9034000.0,867000.0,7981000.0,
Purchase Of PPE,-480119000.0,-400841000.0,-305400000.0,-383064000.0,
Operating Cash Flow,401422000.0,258621000.0,321956000.0,34561000.0,
Taxes Refund Paid,-11460000.0,-11585000.0,-24965000.0,-9637000.0,
Interest Received Cfo,859000.0,0.0,,,
Interest Paid Cfo,-213638000.0,-166720000.0,-175209000.0,-155650000.0,
Change In Working Capital,-115072000.0,-109186000.0,-33772000.0,-65134000.0,
Change In Other Current Liabilities,-45972000.0,-28403000.0,57998000.0,18809000.0,
Change In Other Current Assets,630000.0,-450000.0,220000.0,-43000.0,
Change In Payable,11799000.0,-34024000.0,27791000.0,11651000.0,
Change In Inventory,-5423000.0,-82000.0,1740000.0,-906000.0,
Change In Receivables,-76106000.0,-46227000.0,-121521000.0,-94645000.0,
Other Non Cash Items,215146000.0,278767000.0,155514000.0,156133000.0,
Provisionand Write Offof Assets,58573000.0,-1290000.0,32942000.0,4568000.0,
Deferred Tax,36625000.0,27124000.0,51079000.0,-24909000.0,
Depreciation And Amortization,324022000.0,259386000.0,247806000.0,223645000.0,
Depreciation,324022000.0,259386000.0,247806000.0,223645000.0,
Net Foreign Currency Exchange Gain Loss,,,,165487000.0,89717000.0
Gain Loss On Sale Of PPE,877000.0,-2276000.0,-4678000.0,-1863000.0,
Net Income From Continuing Operations,105489000.0,-15598000.0,73315000.0,-92975000.0,
