,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-3982275.072886,-8126.347775,4894640.0,317128.538999,0.0,,
Tax Rate For Calcs,0.321878,0.270878,0.34,0.171328,0.34,,
Normalized EBITDA,267385000.0,206913000.0,156091000.0,230795000.0,161861000.0,,
Total Unusual Items,-12372000.0,-30000.0,14396000.0,1851000.0,0.0,,
Total Unusual Items Excluding Goodwill,-12372000.0,-30000.0,14396000.0,1851000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,55991000.0,29754000.0,24089000.0,58042000.0,9758000.0,,
Reconciled Depreciation,97226000.0,97261000.0,91598000.0,84133000.0,73407000.0,,
Reconciled Cost Of Revenue,492353000.0,371861000.0,403590000.0,422364000.0,378686000.0,,
EBITDA,255013000.0,206883000.0,170487000.0,232646000.0,161861000.0,,
EBIT,157787000.0,109622000.0,78889000.0,148513000.0,88454000.0,,
Net Interest Income,-76182000.0,-69726000.0,-79528000.0,-74103000.0,-60281000.0,,
Interest Expense,75467000.0,68814000.0,72270000.0,78472000.0,57937000.0,,
Interest Income,,2819000.0,-2155000.0,7895000.0,2391000.0,2327000.0,
Normalized Income,64380724.927114,29775873.652225,14587640.0,56508128.538999,9758000.0,,
Net Income From Continuing And Discontinued Operation,55991000.0,29754000.0,24089000.0,58042000.0,9758000.0,,
Total Expenses,583214000.0,434350000.0,484191000.0,483742000.0,445942000.0,,
Total Operating Income As Reported,142615000.0,,,,62558000.0,,
Diluted Average Shares,198831676.0,199336731.0,,160470003.0,203291667.0,200111565.0,
Basic Average Shares,198831676.0,198730678.0,,160027571.0,202028986.0,198477284.0,
Diluted EPS,0.2816,0.149,,0.3617,0.048,0.0688,
Basic EPS,0.2816,0.1494,,0.3627,0.0483,0.0694,
Diluted NI Availto Com Stockholders,55991000.0,29754000.0,24089000.0,58042000.0,9758000.0,,
Net Income Common Stockholders,55991000.0,29754000.0,24089000.0,58042000.0,9758000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,55991000.0,29754000.0,24089000.0,58042000.0,9758000.0,,
Minority Interests,168000.0,,,,55000.0,118000.0,
Net Income Including Noncontrolling Interests,55823000.0,29754000.0,24075000.0,58041000.0,9703000.0,,
Net Income Continuous Operations,55823000.0,29754000.0,24075000.0,58041000.0,9703000.0,,
Tax Provision,26497000.0,11054000.0,-17456000.0,12000000.0,20814000.0,,
Pretax Income,82320000.0,40808000.0,6619000.0,70041000.0,30517000.0,,
Special Income Charges,-10038000.0,-30000.0,14396000.0,1851000.0,0.0,,
Other Special Charges,-164000.0,30000.0,-14396000.0,-1851000.0,,-6626000.0,
Impairment Of Capital Assets,10202000.0,,,,0.0,,
Restructuring And Mergern Acquisition,,,,,,,0.0
Net Non Operating Interest Income Expense,-76182000.0,-69726000.0,-79528000.0,-74103000.0,-60281000.0,,
Total Other Finance Cost,715000.0,3731000.0,5103000.0,3526000.0,2344000.0,,
Interest Expense Non Operating,75467000.0,68814000.0,72270000.0,78472000.0,57937000.0,,
Interest Income Non Operating,,2819000.0,-2155000.0,7895000.0,2391000.0,2327000.0,
Operating Income,152653000.0,63076000.0,68274000.0,130009000.0,62558000.0,,
Operating Expense,90861000.0,62489000.0,80601000.0,61378000.0,67256000.0,,
Other Operating Expenses,15922000.0,5961000.0,386000.0,1773000.0,8841000.0,,
Selling General And Administration,74939000.0,56528000.0,77550000.0,61987000.0,58415000.0,,
General And Administrative Expense,74939000.0,56528000.0,77550000.0,61987000.0,58415000.0,,
Gross Profit,243514000.0,125565000.0,148875000.0,191387000.0,129814000.0,,
Cost Of Revenue,492353000.0,371861000.0,403590000.0,422364000.0,378686000.0,,
Total Revenue,735867000.0,497426000.0,552464000.0,613751000.0,508500000.0,,
Operating Revenue,735867000.0,497426000.0,552464000.0,613751000.0,508500000.0,,
