,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Ordinary Shares Number,549296404.0,384507484.0,384507484.0,384507484.0,384507484.0,
Share Issued,549296404.0,384507484.0,384507484.0,384507484.0,384507484.0,
Net Debt,2250439000.0,1384949000.0,1271078000.0,1071017000.0,969454000.0,
Total Debt,3883214000.0,2333150000.0,2226489000.0,2186637000.0,1990568000.0,
Tangible Book Value,1021724000.0,974210000.0,951104000.0,982284000.0,954754000.0,
Invested Capital,8637214000.0,3700531000.0,3564514000.0,3531431000.0,3305079000.0,
Working Capital,1624478000.0,753687000.0,775774000.0,957916000.0,788249000.0,
Net Tangible Assets,1021724000.0,974210000.0,951104000.0,982284000.0,954754000.0,
Capital Lease Obligations,97724000.0,92611000.0,104077000.0,79907000.0,88341000.0,
Common Stock Equity,4851724000.0,1459992000.0,1442102000.0,1424701000.0,1402852000.0,
Total Capitalization,8337638000.0,3514645000.0,3386031000.0,3339944000.0,3069230000.0,
Total Equity Gross Minority Interest,5252440000.0,1573365000.0,1551637000.0,1530146000.0,1504243000.0,
Minority Interest,400716000.0,113373000.0,109535000.0,105445000.0,101391000.0,
Stockholders Equity,4851724000.0,1459992000.0,1442102000.0,1424701000.0,1402852000.0,
Other Equity Interest,-94282000.0,10359000.0,10359000.0,10359000.0,10359000.0,
Retained Earnings,-720067000.0,-708920000.0,-727704000.0,-747034000.0,-770322000.0,
Capital Stock,4499676000.0,1191127000.0,1191127000.0,1191127000.0,1191127000.0,
Common Stock,4499676000.0,1191127000.0,1191127000.0,1191127000.0,1191127000.0,
Total Liabilities Net Minority Interest,6073311000.0,2873596000.0,2742308000.0,2694019000.0,2541258000.0,
Total Non Current Liabilities Net Minority Interest,4898631000.0,2280948000.0,2172835000.0,2198639000.0,1962568000.0,
Other Non Current Liabilities,59772000.0,,,34744000.0,32956000.0,31256000.0
Tradeand Other Payables Non Current,503257000.0,86456000.0,81567000.0,36731000.0,43759000.0,
Non Current Deferred Revenue,75000000.0,75000000.0,75000000.0,150000000.0,150000000.0,
Non Current Deferred Taxes Liabilities,597286000.0,2728000.0,2728000.0,3680000.0,3680000.0,
Long Term Debt And Capital Lease Obligation,3535577000.0,2103078000.0,1998763000.0,1957450000.0,1715064000.0,
Long Term Capital Lease Obligation,49663000.0,48425000.0,54834000.0,42207000.0,48686000.0,
Long Term Debt,3485914000.0,2054653000.0,1943929000.0,1915243000.0,1666378000.0,
Long Term Provisions,127739000.0,13686000.0,14777000.0,16034000.0,17109000.0,
Current Liabilities,1174680000.0,592648000.0,569473000.0,495380000.0,578690000.0,
Other Current Liabilities,33526000.0,,,5294000.0,4956000.0,3635000.0
Current Debt And Capital Lease Obligation,347637000.0,230072000.0,227726000.0,229187000.0,275504000.0,
Current Capital Lease Obligation,48061000.0,44186000.0,49243000.0,37700000.0,39655000.0,
Current Debt,299576000.0,185886000.0,178483000.0,191487000.0,235849000.0,
Pensionand Other Post Retirement Benefit Plans Current,123282000.0,20119000.0,17682000.0,25084000.0,21449000.0,
Payables,618527000.0,272758000.0,240232000.0,232125000.0,270560000.0,
Other Payable,88741000.0,25111000.0,27843000.0,21452000.0,21280000.0,
Total Tax Payable,142120000.0,78691000.0,65628000.0,71218000.0,70144000.0,
Accounts Payable,387666000.0,168956000.0,146761000.0,139455000.0,179136000.0,
Total Assets,11325751000.0,4446961000.0,4293945000.0,4224165000.0,4045501000.0,
Total Non Current Assets,8526593000.0,3100626000.0,2948698000.0,2770869000.0,2678562000.0,
Non Current Prepaid Assets,168546000.0,6117000.0,6117000.0,6070000.0,6070000.0,
Non Current Deferred Taxes Assets,85345000.0,84986000.0,82325000.0,81875000.0,81277000.0,
Other Investments,33000000.0,,,,,
Investmentin Financial Assets,3010000.0,9184000.0,0.0,29717000.0,36792000.0,
