,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,90042000.0,170849631.392399,-97816360.601002,413991000.0,430592107.315551,
Tax Rate For Calcs,0.258,0.063224,0.026711,0.269,0.257994,
Normalized EBITDA,18927000000.0,10658439339.282324,11779000000.0,11931000000.0,9471000000.0,
Total Unusual Items,349000000.0,2702297322.954243,-3662000000.0,1539000000.0,1669000000.0,
Total Unusual Items Excluding Goodwill,349000000.0,2702297322.954243,-3662000000.0,1539000000.0,1669000000.0,
Net Income From Continuing Operation Net Minority Interest,10428000000.0,6201442946.648946,2899000000.0,6027000000.0,4734000000.0,
Reconciled Depreciation,4263000000.0,4103664325.042719,4092000000.0,4111000000.0,3697000000.0,
Reconciled Cost Of Revenue,10138000000.0,8324473134.611733,8929000000.0,8406000000.0,7545000000.0,
EBITDA,19276000000.0,13360736662.236567,8117000000.0,13470000000.0,11140000000.0,
EBIT,15013000000.0,9257072337.193848,4025000000.0,9359000000.0,7443000000.0,
Net Interest Income,-937000000.0,-191380292.386558,-1072000000.0,-1021000000.0,-945000000.0,
Interest Expense,945000000.0,-71957471.046136,1030000000.0,1076000000.0,1032000000.0,
Interest Income,112000000.0,115625593.316879,110000000.0,98000000.0,120000000.0,
Normalized Income,10169042000.0,3669995255.087101,6463183639.398998,4901991000.0,3495592107.315551,
Net Income From Continuing And Discontinued Operation,10428000000.0,6201442946.648946,2899000000.0,6027000000.0,4734000000.0,
Total Expenses,19054000000.0,16675147142.585913,16603000000.0,15748000000.0,15397000000.0,
Rent Expense Supplemental,1648000000.0,794000379.722802,-2903000000.0,1258000000.0,1224000000.0,
Total Operating Income As Reported,14253000000.0,,,7976000000.0,5349000000.0,
Diluted Average Shares,12888732761.0,12888732761.0,,12888732761.0,12888732761.0,12888732761.0
Basic Average Shares,12888732761.0,12888732761.0,,12888732761.0,12888732761.0,12888732761.0
Diluted EPS,0.809079,0.481152,,0.467618,0.367298,0.46
Basic EPS,0.809079,0.481152,,0.467618,0.367298,0.46
Diluted NI Availto Com Stockholders,10428000000.0,6201442946.648946,2899000000.0,6027000000.0,4734000000.0,
Net Income Common Stockholders,10428000000.0,6201442946.648946,2899000000.0,6027000000.0,4734000000.0,
Net Income,10428000000.0,6201442946.648946,2899000000.0,6027000000.0,4734000000.0,
Minority Interests,-10000000.0,-18606417.31536,-16000000.0,-26000000.0,-23000000.0,
Net Income Including Noncontrolling Interests,10438000000.0,6220049363.964306,2915000000.0,6053000000.0,4757000000.0,
Net Income Continuous Operations,10438000000.0,6220049363.964306,2915000000.0,6053000000.0,4757000000.0,
Tax Provision,3630000000.0,3108980444.275679,80000000.0,2230000000.0,1654000000.0,
Pretax Income,14068000000.0,9329029808.239985,2995000000.0,8283000000.0,6411000000.0,
Other Income Expense,452000000.0,2712359977.216632,-2938000000.0,1575000000.0,1716000000.0,
Other Non Operating Income Expenses,303000000.0,129000000.0,600000000.0,117000000.0,-81000000.0,
Special Income Charges,-226000000.0,494778811.467629,-2439000000.0,287000000.0,-190000000.0,
Gain On Sale Of Ppe,40000000.0,74425669.261439,-61000000.0,10000000.0,14000000.0,
Other Special Charges,-149000000.0,-6455287.640023,249000000.0,133000000.0,-144000000.0,
Write Off,,-413897854.566167,,,,50000000.0
Impairment Of Capital Assets,226000000.0,,1566000000.0,-287000000.0,190000000.0,
Earnings From Equity Interest,103000000.0,10062654.262388,-217000000.0,36000000.0,47000000.0,
Gain On Sale Of Security,575000000.0,2207518511.486615,-1223000000.0,1252000000.0,1859000000.0,
Net Non Operating Interest Income Expense,-937000000.0,-191380292.386558,-1072000000.0,-1021000000.0,-945000000.0,
Total Other Finance Cost,104000000.0,378963356.749573,152000000.0,43000000.0,33000000.0,
Interest Expense Non Operating,945000000.0,-71957471.046136,1030000000.0,1076000000.0,1032000000.0,
Interest Income Non Operating,112000000.0,115625593.316879,110000000.0,98000000.0,120000000.0,
Operating Income,14553000000.0,6808050123.409911,7005000000.0,7729000000.0,5640000000.0,
Operating Expense,4940000000.0,4508069109.550028,3837000000.0,3488000000.0,4372000000.0,
Other Operating Expenses,1232000000.0,-228023542.813746,-4151000000.0,1285000000.0,2403000000.0,
Other Taxes,1110000000.0,446364154.167458,353000000.0,109000000.0,26000000.0,
Provision For Doubtful Accounts,-1000000.0,7404594.645908,53000000.0,17000000.0,14000000.0,
Depreciation Amortization Depletion Income Statement,287000000.0,261059426.618568,255000000.0,257000000.0,217000000.0,
Research And Development,296000000.0,249857603.949117,236000000.0,233000000.0,193000000.0,
Selling General And Administration,2016000000.0,3128536168.596924,4433000000.0,1587000000.0,1519000000.0,
Selling And Marketing Expense,,1265616100.24682,,,,909548523.719429
General And Administrative Expense,2016000000.0,1862920068.350104,121000000.0,1587000000.0,1519000000.0,
Other Gand A,347000000.0,,,,125000000.0,
Rent And Landing Fees,1648000000.0,794000379.722802,-2903000000.0,1258000000.0,1224000000.0,
Salaries And Wages,368000000.0,1068919688.627302,3024000000.0,329000000.0,295000000.0,
Gross Profit,19493000000.0,11316119232.959938,10842000000.0,11217000000.0,10012000000.0,
Cost Of Revenue,14114000000.0,12167078033.035885,12766000000.0,12260000000.0,11025000000.0,
Total Revenue,33607000000.0,23483197265.995823,23608000000.0,23477000000.0,21037000000.0,
Operating Revenue,33607000000.0,23483197265.995823,23608000000.0,23477000000.0,21037000000.0,
