,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-77062000.0,345247000.0,1865264000.0,-587744000.0,618595000.0,,
Repurchase Of Capital Stock,-36180000.0,-31464000.0,7948000.0,-27750000.0,-22962000.0,,
Issuance Of Capital Stock,731000.0,257986000.0,46789000.0,997000.0,130000.0,,
Capital Expenditure,-1349000.0,-402000.0,-11181000.0,-80000.0,-982000.0,,
End Cash Position,824839000.0,1083607000.0,657173000.0,239187000.0,869196000.0,,
Beginning Cash Position,1083607000.0,657173000.0,239187000.0,869196000.0,337248000.0,,
Effect Of Exchange Rate Changes,-99572000.0,-105168000.0,-3123000.0,8220000.0,8752000.0,,
Changes In Cash,-159196000.0,531602000.0,1880244000.0,-638229000.0,523196000.0,,
Financing Cash Flow,-82688000.0,186377000.0,15000000.0,-50498000.0,-95421000.0,,
Interest Paid Cff,-47239000.0,-20145000.0,-33971000.0,-20995000.0,-19069000.0,,
Net Common Stock Issuance,-35449000.0,226522000.0,54737000.0,-26753000.0,-22832000.0,,
Common Stock Payments,-36180000.0,-31464000.0,7948000.0,-27750000.0,-22962000.0,,
Common Stock Issuance,731000.0,257986000.0,46789000.0,997000.0,130000.0,,
Net Issuance Payments Of Debt,0.0,-20000000.0,-5766000.0,-2750000.0,-53520000.0,,
Net Long Term Debt Issuance,0.0,-20000000.0,-5766000.0,-2750000.0,-53520000.0,,
Investing Cash Flow,-795000.0,-424000.0,-11201000.0,-67000.0,-960000.0,,
Dividends Received Cfi,,,,,,,649000.0
Net Investment Purchase And Sale,18000.0,-22000.0,-20000.0,13000.0,,-22000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,,0.0,
Net Intangibles Purchase And Sale,926000.0,-390000.0,872000.0,-41000.0,-756000.0,,
Net PPE Purchase And Sale,-1739000.0,-12000.0,-12053000.0,-39000.0,-226000.0,,
Operating Cash Flow,-75713000.0,345649000.0,1876445000.0,-587664000.0,619577000.0,,
Change In Working Capital,-568015000.0,-121804000.0,1888171000.0,-933251000.0,474065000.0,,
Change In Other Current Liabilities,151959000.0,-313664000.0,-1661627000.0,358423000.0,1521436000.0,,
Change In Other Current Assets,57770000.0,-221476000.0,511545000.0,-76509000.0,184857000.0,,
Change In Receivables,-19830000.0,47732000.0,-96868000.0,5620000.0,117949000.0,,
Stock Based Compensation,6993000.0,-8414000.0,-1203000.0,583000.0,999000.0,,
Provisionand Write Offof Assets,209530000.0,161828000.0,25207000.0,203139000.0,43625000.0,,
Deferred Tax,5173000.0,55449000.0,-55959000.0,47597000.0,25439000.0,,
Depreciation And Amortization,3561000.0,3742000.0,-3767000.0,3953000.0,5313000.0,,
Amortization Cash Flow,,,-700000.0,236000.0,,,
Depreciation,3561000.0,3742000.0,-3067000.0,3717000.0,4613000.0,,
Net Foreign Currency Exchange Gain Loss,99572000.0,105168000.0,3123000.0,-8220000.0,-8752000.0,,
Net Income From Continuing Operations,166748000.0,149811000.0,28260000.0,103631000.0,83020000.0,,
