,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,56798000.0,50868000.0,92646000.0,67718000.0,84647000.0,,
Repurchase Of Capital Stock,-500000.0,-1637000.0,,,-424000.0,-1356000.0,-4929000.0
Repayment Of Debt,-2740000.0,-90000000.0,0.0,0.0,-30000000.0,,
Issuance Of Debt,0.0,0.0,-7243000.0,193179000.0,0.0,,
Issuance Of Capital Stock,,,0.0,7000.0,,,0.0
Capital Expenditure,-35111000.0,-26422000.0,-34139000.0,-57309000.0,-37019000.0,,
End Cash Position,59995000.0,17277000.0,43745000.0,48390000.0,47667000.0,,
Beginning Cash Position,17277000.0,43745000.0,48390000.0,47667000.0,88226000.0,,
Changes In Cash,42718000.0,-26468000.0,-4645000.0,723000.0,-40559000.0,,
Financing Cash Flow,-71452000.0,-190730000.0,-67027000.0,122627000.0,-99871000.0,,
Interest Paid Cff,-2145000.0,-36096000.0,-1400000.0,-19261000.0,-2848000.0,,
Cash Dividends Paid,-19012000.0,-9787000.0,-260000.0,38000.0,-18496000.0,,
Common Stock Dividend Paid,-19012000.0,-9787000.0,-260000.0,38000.0,-18496000.0,,
Net Common Stock Issuance,5972000.0,-1637000.0,-5993000.0,5000.0,1483000.0,,
Common Stock Payments,-500000.0,-1637000.0,,,-424000.0,-1356000.0,-4929000.0
Common Stock Issuance,,,0.0,7000.0,,,0.0
Net Issuance Payments Of Debt,-2740000.0,-90000000.0,-7243000.0,193179000.0,-30000000.0,,
Net Long Term Debt Issuance,-2740000.0,-90000000.0,-7243000.0,193179000.0,-30000000.0,,
Long Term Debt Payments,-2740000.0,-90000000.0,0.0,0.0,-30000000.0,,
Long Term Debt Issuance,0.0,0.0,-7243000.0,193179000.0,0.0,,
Investing Cash Flow,22261000.0,86972000.0,-64403000.0,-246931000.0,-62354000.0,,
Net Investment Purchase And Sale,60372000.0,110394000.0,-30264000.0,-189622000.0,-25335000.0,,
Sale Of Investment,153579000.0,179267000.0,,,67542000.0,74282000.0,
Purchase Of Investment,-93207000.0,-68873000.0,,,-92877000.0,-52324000.0,
Net Intangibles Purchase And Sale,-7907000.0,-7220000.0,-8772000.0,-10691000.0,-9991000.0,,
Purchase Of Intangibles,-7907000.0,-7220000.0,-8772000.0,-10691000.0,-9991000.0,,
Net PPE Purchase And Sale,-30204000.0,-16202000.0,-25367000.0,-46618000.0,-27028000.0,,
Sale Of PPE,,3000000.0,,,,0.0,
Purchase Of PPE,-27204000.0,-19202000.0,-25367000.0,-46618000.0,-27028000.0,,
Operating Cash Flow,91909000.0,77290000.0,126785000.0,125027000.0,121666000.0,,
Taxes Refund Paid,-855000.0,-1246000.0,-2056000.0,-751000.0,-1569000.0,,
Change In Working Capital,-41714000.0,-45501000.0,-7422000.0,165000.0,8274000.0,,
Change In Other Current Liabilities,-7577000.0,-20297000.0,17968000.0,-6965000.0,-8495000.0,,
Change In Other Current Assets,-7504000.0,9466000.0,5023000.0,28621000.0,-14030000.0,,
Change In Payable,17225000.0,-49108000.0,89597000.0,48025000.0,152944000.0,,
Change In Inventory,-20660000.0,-17288000.0,-34426000.0,-43803000.0,-130085000.0,,
Change In Receivables,-23198000.0,31726000.0,-85584000.0,-25713000.0,7940000.0,,
Other Non Cash Items,29577000.0,24582000.0,26984000.0,24522000.0,28446000.0,,
Stock Based Compensation,991000.0,2021000.0,2398000.0,1969000.0,673000.0,,
Provisionand Write Offof Assets,1747000.0,912000.0,-2404000.0,-700000.0,-198000.0,,
Deferred Tax,4988000.0,3945000.0,4141000.0,10472000.0,2516000.0,,
Depreciation And Amortization,62399000.0,62054000.0,59058000.0,58604000.0,58045000.0,,
Depreciation,62399000.0,62054000.0,59058000.0,58604000.0,58045000.0,,
Gain Loss On Sale Of PPE,,-2924000.0,,,,0.0,
Net Income From Continuing Operations,30371000.0,33231000.0,42747000.0,31302000.0,25090000.0,,
