,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,805200.0,203900.0,4321400.0,1428750.0,3380700.808625,,
Tax Rate For Calcs,0.4,0.05,0.34,0.09,0.315364,,
Normalized EBITDA,67009000.0,120537000.0,52769000.0,35757000.0,33546000.0,,
Total Unusual Items,2013000.0,4078000.0,12710000.0,15875000.0,10720000.0,,
Total Unusual Items Excluding Goodwill,2013000.0,4078000.0,12710000.0,15875000.0,10720000.0,,
Net Income From Continuing Operation Net Minority Interest,-1399000.0,56765000.0,-8428000.0,-3094000.0,-2092000.0,,
Reconciled Depreciation,36423000.0,36836000.0,33416000.0,18627000.0,18480000.0,,
Reconciled Cost Of Revenue,375171000.0,357176000.0,383114000.0,285065000.0,290091000.0,,
EBITDA,69022000.0,124615000.0,65479000.0,51632000.0,44266000.0,,
EBIT,32599000.0,87779000.0,32063000.0,33005000.0,25786000.0,,
Net Interest Income,-38674000.0,-31524000.0,-43017000.0,-35756000.0,-31369000.0,,
Interest Expense,33284000.0,32502000.0,34333000.0,29643000.0,25044000.0,,
Interest Income,0.0,,0.0,0.0,0.0,0.0,
Normalized Income,-2606800.0,52890900.0,-16816600.0,-17540250.0,-9431299.191375,,
Net Income From Continuing And Discontinued Operation,-1399000.0,56765000.0,-8428000.0,-3094000.0,-2092000.0,,
Total Expenses,429217000.0,350187000.0,450511000.0,337736000.0,341466000.0,,
Rent Expense Supplemental,632000.0,668000.0,29296000.0,28617000.0,606000.0,,
Diluted Average Shares,58697000.0,58714000.0,56720757.0,52047000.0,48165000.0,,
Basic Average Shares,56870000.0,56721000.0,56720757.0,50054000.0,46721000.0,,
Diluted EPS,-0.0246,0.96681,0.014104,-0.06179,-0.04479,,
Basic EPS,-0.0246,1.00077,0.014104,-0.06179,-0.04479,,
Diluted NI Availto Com Stockholders,-1399000.0,56765000.0,-8428000.0,-3094000.0,-2092000.0,,
Net Income Common Stockholders,-1399000.0,56765000.0,-8428000.0,-3094000.0,-2092000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-1399000.0,56765000.0,-8428000.0,-3094000.0,-2092000.0,,
Minority Interests,-369000.0,4050000.0,-9247000.0,-6154000.0,-2600000.0,,
Net Income Including Noncontrolling Interests,-1030000.0,52715000.0,819000.0,3060000.0,508000.0,,
Net Income Continuous Operations,-1030000.0,52715000.0,819000.0,3060000.0,508000.0,,
Tax Provision,345000.0,2562000.0,-3089000.0,302000.0,234000.0,,
Pretax Income,-685000.0,55277000.0,-2270000.0,3362000.0,742000.0,,
Special Income Charges,,,-1372000.0,1249000.0,-11294000.0,119000.0,-6000.0
Other Special Charges,,,81000.0,-244000.0,400000.0,-120000.0,-128000.0
Write Off,,,690000.0,97000.0,470000.0,1000.0,134000.0
Restructuring And Mergern Acquisition,,,,-1102000.0,10424000.0,,
Net Non Operating Interest Income Expense,-38674000.0,-31524000.0,-43017000.0,-35756000.0,-31369000.0,,
Total Other Finance Cost,5390000.0,-978000.0,8684000.0,6113000.0,6325000.0,,
Interest Expense Non Operating,33284000.0,32502000.0,34333000.0,29643000.0,25044000.0,,
Interest Income Non Operating,0.0,,0.0,0.0,0.0,0.0,
Operating Income,33401000.0,71010000.0,23239000.0,21398000.0,20428000.0,,
Operating Expense,54046000.0,-6989000.0,67397000.0,52671000.0,51375000.0,,
Other Operating Expenses,587000.0,757000.0,1194000.0,326000.0,504000.0,,
Depreciation And Amortization In Income Statement,,,12879000.0,9652000.0,-734000.0,9446000.0,5598000.0
Amortization,,,7717000.0,5074000.0,,,
Depreciation Income Statement,,,5162000.0,4578000.0,-734000.0,9446000.0,5598000.0
Selling General And Administration,52827000.0,-8414000.0,16081000.0,11785000.0,50265000.0,,
Selling And Marketing Expense,,,28000.0,38000.0,25000.0,27000.0,33000.0
General And Administrative Expense,52827000.0,-8414000.0,16053000.0,11747000.0,50265000.0,,
Rent And Landing Fees,632000.0,668000.0,1962000.0,1663000.0,606000.0,,
Gross Profit,87447000.0,64021000.0,90636000.0,74069000.0,71803000.0,,
Cost Of Revenue,375171000.0,357176000.0,383114000.0,285065000.0,290091000.0,,
Total Revenue,462618000.0,421197000.0,473750000.0,359134000.0,361894000.0,,
Operating Revenue,462618000.0,421197000.0,473750000.0,359134000.0,361894000.0,,
