,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,149480000.0,-13577000.0,371658000.0,14212000.0,99864000.0,,
Repurchase Of Capital Stock,0.0,0.0,-2419000.0,,-5024000.0,-7864000.0,
Capital Expenditure,-58624000.0,-12583000.0,-29656000.0,,-16870000.0,-14622000.0,
End Cash Position,61236000.0,17540000.0,19948000.0,,31530000.0,21617000.0,
Beginning Cash Position,17540000.0,19948000.0,16683000.0,,21617000.0,16531000.0,
Changes In Cash,43696000.0,-2408000.0,3265000.0,,9913000.0,5086000.0,
Financing Cash Flow,-11288000.0,-2248000.0,-417605000.0,,-234436000.0,-31643000.0,
Cash Dividends Paid,,,-413193000.0,,-227297000.0,-21642000.0,-300253000.0
Common Stock Dividend Paid,0.0,0.0,-413193000.0,,-227297000.0,-21642000.0,
Net Common Stock Issuance,0.0,0.0,-2419000.0,,-5024000.0,-7864000.0,
Common Stock Payments,0.0,0.0,-2419000.0,,-5024000.0,-7864000.0,
Investing Cash Flow,-153120000.0,834000.0,19556000.0,-50785000.0,127615000.0,,
Dividends Received Cfi,56257000.0,1324000.0,1275000.0,,1900000.0,1575000.0,
Net Investment Purchase And Sale,-223396000.0,12093000.0,46620000.0,-28266000.0,142585000.0,,
Sale Of Investment,385427000.0,16186000.0,46620000.0,-28266000.0,142585000.0,,
Purchase Of Investment,-608823000.0,-4093000.0,,,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-52345000.0,-11509000.0,-27585000.0,,-15909000.0,-14178000.0,
Purchase Of Intangibles,-52345000.0,-11509000.0,-27585000.0,,-15909000.0,-14178000.0,
Net PPE Purchase And Sale,-6279000.0,-1074000.0,-1985000.0,,-961000.0,-444000.0,
Sale Of PPE,,,86000.0,,,,0.0
Purchase Of PPE,-6279000.0,-1074000.0,-2071000.0,,-961000.0,-444000.0,
Operating Cash Flow,208104000.0,-994000.0,401314000.0,38031000.0,116734000.0,,
Taxes Refund Paid,-516194000.0,-51023000.0,-43962000.0,,-40437000.0,-70925000.0,
Interest Paid Cfo,-33000.0,-188000.0,-88000.0,,-52000.0,-555000.0,
Change In Working Capital,197439000.0,-164241000.0,372162000.0,-198712000.0,-18178000.0,,
Change In Other Current Liabilities,-955000.0,4082000.0,-21025000.0,4282000.0,-20760000.0,,
Change In Other Current Assets,-38812000.0,-181648000.0,362964000.0,-207937000.0,29442000.0,,
Change In Payable,11559000.0,7992000.0,28152000.0,,4798000.0,-6290000.0,
Change In Inventory,-923000.0,0.0,-6000.0,,0.0,50000.0,
Change In Receivables,-328058000.0,5333000.0,-16770000.0,,-4410000.0,-8806000.0,
Other Non Cash Items,-2207000.0,-2050000.0,-10424000.0,-1787000.0,4698000.0,,
Provisionand Write Offof Assets,341603000.0,165000.0,694000.0,-21152000.0,21760000.0,,
Deferred Tax,201887000.0,68899000.0,40916000.0,,62307000.0,77244000.0,
Depreciation And Amortization,54086000.0,17228000.0,263347000.0,,15883000.0,14932000.0,
Depreciation,54086000.0,17228000.0,263347000.0,,15883000.0,14932000.0,
Gain Loss On Investment Securities,-612627000.0,-20165000.0,-101552000.0,50083000.0,-20483000.0,,
Net Income From Continuing Operations,636447000.0,152140000.0,122795000.0,,147797000.0,169569000.0,
