,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-365806000.0,-1310494000.0,641140000.0,827442000.0,-162137000.0,,
Repurchase Of Capital Stock,-9086000.0,-5050000.0,,,,,4282000.0
Repayment Of Debt,-713522000.0,-694201000.0,-1109016000.0,-977514000.0,-693429000.0,,
Issuance Of Debt,1561065000.0,301026000.0,1026069000.0,1033030000.0,1454740000.0,,
Issuance Of Capital Stock,0.0,59640000.0,914592000.0,0.0,4696000.0,,
Capital Expenditure,-308582000.0,-825277000.0,-215788000.0,-173695000.0,-265547000.0,,
End Cash Position,924266000.0,921862000.0,2647586000.0,1720578000.0,1149612000.0,,
Beginning Cash Position,921862000.0,2647586000.0,1720578000.0,1149612000.0,1253397000.0,,
Changes In Cash,2404000.0,-1725724000.0,927008000.0,570966000.0,-103785000.0,,
Financing Cash Flow,431889000.0,-409480000.0,285875000.0,11783000.0,59499000.0,,
Net Other Financing Charges,-21018000.0,-32647000.0,-105072000.0,-2956000.0,-105696000.0,,
Interest Paid Cff,,,,,,-6890000.0,
Cash Dividends Paid,-9293000.0,-130000.0,-396984000.0,-78000.0,-240928000.0,,
Common Stock Dividend Paid,-9293000.0,-130000.0,-396984000.0,-78000.0,-240928000.0,,
Net Common Stock Issuance,-9086000.0,54590000.0,914592000.0,0.0,4696000.0,,
Common Stock Payments,-9086000.0,-5050000.0,,,,,4282000.0
Common Stock Issuance,0.0,59640000.0,914592000.0,0.0,4696000.0,,
Net Issuance Payments Of Debt,847543000.0,-393175000.0,-82947000.0,55516000.0,761311000.0,,
Net Long Term Debt Issuance,847543000.0,-393175000.0,-82947000.0,55516000.0,761311000.0,,
Long Term Debt Payments,-713522000.0,-694201000.0,-1109016000.0,-977514000.0,-693429000.0,,
Long Term Debt Issuance,1561065000.0,301026000.0,1026069000.0,1033030000.0,1454740000.0,,
Investing Cash Flow,-372261000.0,-831027000.0,-215795000.0,-441954000.0,-266694000.0,,
Net Investment Purchase And Sale,44747000.0,-5750000.0,1643000.0,114918000.0,-2447000.0,,
Sale Of Investment,,,0.0,115217000.0,,,
Purchase Of Investment,-6204000.0,-5750000.0,1643000.0,-299000.0,-2447000.0,,
Net Business Purchase And Sale,-108426000.0,0.0,-1650000.0,-383177000.0,1300000.0,,
Purchase Of Business,-108426000.0,0.0,-1650000.0,-383177000.0,1300000.0,,
Net Intangibles Purchase And Sale,-1620000.0,-1109000.0,-2480000.0,-1823000.0,-3427000.0,,
Purchase Of Intangibles,-1620000.0,-1109000.0,-2480000.0,-1823000.0,-3427000.0,,
Net PPE Purchase And Sale,-306962000.0,-824168000.0,-213308000.0,-171872000.0,-262120000.0,,
Sale Of PPE,,,,,,,0.0
Purchase Of PPE,-306962000.0,-824168000.0,-213308000.0,-171872000.0,-262120000.0,,
Operating Cash Flow,-57224000.0,-485217000.0,856928000.0,1001137000.0,103410000.0,,
Taxes Refund Paid,-20501000.0,-102711000.0,-16793000.0,-7957000.0,-28590000.0,,
Interest Paid Cfo,-192796000.0,-242621000.0,-166540000.0,-217599000.0,-281308000.0,,
Change In Working Capital,-414241000.0,-873512000.0,303450000.0,726013000.0,-134379000.0,,
Change In Other Current Liabilities,-118127000.0,-139000.0,139000.0,77351000.0,-77470000.0,,
Change In Other Current Assets,-244003000.0,369888000.0,-201648000.0,340017000.0,81958000.0,,
Change In Payable,-47555000.0,-1034122000.0,566336000.0,506618000.0,-212997000.0,,
Change In Prepaid Assets,-14893000.0,-15802000.0,720000.0,18485000.0,-9367000.0,,
Change In Inventory,84515000.0,-50096000.0,-268947000.0,-150258000.0,90074000.0,,
Change In Receivables,-74178000.0,-143241000.0,206850000.0,-66200000.0,-6577000.0,,
Other Non Cash Items,-4563000.0,149683000.0,624986000.0,459245000.0,-6398000.0,,
Stock Based Compensation,3391000.0,3656000.0,4058000.0,3564000.0,5677000.0,,
Provisionand Write Offof Assets,,,221476000.0,-168790000.0,,,365272000.0
Deferred Tax,8598000.0,17622000.0,,,17027000.0,4666000.0,
Depreciation And Amortization,181843000.0,151620000.0,123509000.0,202707000.0,201437000.0,,
Depreciation,181843000.0,151620000.0,123509000.0,202707000.0,201437000.0,,
Pension And Employee Benefit Expense,9097000.0,41604000.0,6651000.0,9928000.0,27343000.0,,
Gain Loss On Investment Securities,-18395000.0,40648000.0,-99274000.0,69314000.0,151732000.0,,
Net Income From Continuing Operations,320092000.0,328795000.0,-144583000.0,-53590000.0,178014000.0,,
