,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-4074000.0,-2027600.0,-633760.0,-2138840.0,9763100.0,
Tax Rate For Calcs,0.4,0.4,0.34,0.22,0.34,
Normalized EBITDA,86333000.0,69564000.0,29065000.0,119366000.0,12014000.0,
Total Unusual Items,-10185000.0,-5069000.0,-1864000.0,-9722000.0,28715000.0,
Total Unusual Items Excluding Goodwill,-10185000.0,-5069000.0,-1864000.0,-9722000.0,28715000.0,
Net Income From Continuing Operation Net Minority Interest,4169000.0,-18277000.0,-21371000.0,35025000.0,-21926000.0,
Reconciled Depreciation,14390000.0,9070000.0,8812000.0,10423000.0,11781000.0,
Reconciled Cost Of Revenue,54988000.0,104953000.0,1172663000.0,982895000.0,63083000.0,
EBITDA,76148000.0,64495000.0,27201000.0,109644000.0,40729000.0,
EBIT,61758000.0,55425000.0,18389000.0,99221000.0,28948000.0,
Net Interest Income,-55335000.0,-24014000.0,-76586000.0,-21120000.0,-43376000.0,
Interest Expense,62220000.0,57691000.0,63028000.0,13062000.0,38585000.0,
Interest Income,5462000.0,1241000.0,,95000.0,5796000.0,142000.0
Normalized Income,10280000.0,-15235600.0,-20140760.0,42608160.0,-40877900.0,
Net Income From Continuing And Discontinued Operation,4169000.0,5376000.0,-21371000.0,35025000.0,5628000.0,
Total Expenses,76889000.0,131303000.0,1231790000.0,1031068000.0,105294000.0,
Diluted Average Shares,126270000.0,126270000.0,,141061897.0,125113000.0,125113000.0
Basic Average Shares,123721000.0,123721000.0,,141061897.0,123480000.0,123480000.0
Diluted EPS,0.03,0.05,,0.248295,0.04,0.01
Basic EPS,0.03,0.05,,0.248295,0.05,0.01
Diluted NI Availto Com Stockholders,4169000.0,5376000.0,-21371000.0,35025000.0,5628000.0,
Net Income Common Stockholders,4169000.0,5376000.0,-21371000.0,35025000.0,5628000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,4169000.0,5376000.0,-21371000.0,35025000.0,5628000.0,
Minority Interests,1498000.0,-21988000.0,-12958000.0,-30661000.0,-19180000.0,
Net Income Including Noncontrolling Interests,2671000.0,27364000.0,-8413000.0,67879000.0,24808000.0,
Net Income Discontinuous Operations,0.0,23653000.0,,,27554000.0,11092000.0
Net Income Continuous Operations,2671000.0,3711000.0,-8413000.0,67879000.0,-2746000.0,
Tax Provision,-3133000.0,-5977000.0,-36226000.0,18280000.0,-6891000.0,
Pretax Income,-462000.0,-2266000.0,-44639000.0,86159000.0,-9637000.0,
Other Non Operating Income Expenses,-9000000.0,,,,-14532000.0,2441000.0
Special Income Charges,1317000.0,,,,100000.0,
Other Special Charges,-1317000.0,,,,-100000.0,
Net Non Operating Interest Income Expense,-55335000.0,-24014000.0,-76586000.0,-21120000.0,-43376000.0,
Total Other Finance Cost,-1423000.0,-32436000.0,13558000.0,8153000.0,10587000.0,
Interest Expense Non Operating,62220000.0,57691000.0,63028000.0,13062000.0,38585000.0,
Interest Income Non Operating,5462000.0,1241000.0,,95000.0,5796000.0,142000.0
Operating Income,47792000.0,776000.0,-135000.0,98141000.0,-4044000.0,
Operating Expense,21901000.0,26350000.0,59127000.0,48173000.0,42211000.0,
Other Operating Expenses,384000.0,863000.0,-3924000.0,6949000.0,192000.0,
Depreciation And Amortization In Income Statement,2669000.0,350000.0,-93000.0,849000.0,562000.0,
Depreciation Income Statement,2669000.0,350000.0,-93000.0,849000.0,562000.0,
Selling General And Administration,11366000.0,18815000.0,61999000.0,24638000.0,26055000.0,
Selling And Marketing Expense,7607000.0,10596000.0,45371000.0,14676000.0,14401000.0,
General And Administrative Expense,3759000.0,8219000.0,16628000.0,9962000.0,11654000.0,
Gross Profit,69693000.0,27126000.0,58992000.0,146314000.0,38167000.0,
Cost Of Revenue,54988000.0,104953000.0,1172663000.0,982895000.0,63083000.0,
Total Revenue,124681000.0,132079000.0,1231655000.0,1129209000.0,101250000.0,
Operating Revenue,124681000.0,132079000.0,1231655000.0,1129209000.0,101250000.0,
