,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.184262,0.0628,0.34,0.305055,0.211519,,
Normalized EBITDA,53016000.0,66350000.0,47921000.0,72710000.0,61743000.0,,
Total Unusual Items,,,,,,,-246277000.0
Total Unusual Items Excluding Goodwill,,,,,,,-246277000.0
Net Income From Continuing Operation Net Minority Interest,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Reconciled Depreciation,9362000.0,9363000.0,9513000.0,11152000.0,9594000.0,,
Reconciled Cost Of Revenue,35289000.0,36079000.0,38954000.0,39291000.0,35328000.0,,
EBITDA,53016000.0,66350000.0,47921000.0,72710000.0,61743000.0,,
EBIT,43654000.0,56987000.0,38408000.0,61558000.0,52149000.0,,
Net Interest Income,-25722000.0,-17326000.0,-26190000.0,-26247000.0,-40645000.0,,
Interest Expense,26320000.0,25902000.0,27351000.0,25217000.0,27234000.0,,
Interest Income,,10590000.0,2722000.0,1279000.0,,23643000.0,27261000.0
Normalized Income,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Net Income From Continuing And Discontinued Operation,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Total Expenses,47050000.0,40274000.0,54413000.0,47124000.0,30412000.0,,
Rent Expense Supplemental,4217000.0,3003000.0,6130000.0,4405000.0,3461000.0,,
Diluted Average Shares,150833333.0,152644445.0,,152649313.0,152648061.0,152644445.0,
Basic Average Shares,150833333.0,152644445.0,,152649313.0,152648061.0,152644445.0,
Diluted EPS,0.036,0.12885,,0.15136,0.10857,0.12251,
Basic EPS,0.036,0.12885,,0.15136,0.10857,0.12251,
Diluted NI Availto Com Stockholders,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Net Income Common Stockholders,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,5430000.0,19668000.0,6255000.0,23105000.0,16573000.0,,
Minority Interests,-8710000.0,-6519000.0,149000.0,-2150000.0,-3072000.0,,
Net Income Including Noncontrolling Interests,14140000.0,26187000.0,6106000.0,25255000.0,19645000.0,,
Net Income Continuous Operations,14140000.0,26187000.0,6106000.0,25255000.0,19645000.0,,
Tax Provision,3194000.0,4898000.0,4951000.0,11086000.0,5270000.0,,
Pretax Income,17334000.0,31085000.0,11057000.0,36341000.0,24915000.0,,
Other Non Operating Income Expenses,,-199000.0,,17000.0,30000.0,-33000.0,
Net Non Operating Interest Income Expense,-25722000.0,-17326000.0,-26190000.0,-26247000.0,-40645000.0,,
Total Other Finance Cost,-598000.0,2014000.0,1561000.0,2309000.0,13411000.0,,
Interest Expense Non Operating,26320000.0,25902000.0,27351000.0,25217000.0,27234000.0,,
Interest Income Non Operating,,10590000.0,2722000.0,1279000.0,,23643000.0,27261000.0
Operating Income,34809000.0,42058000.0,28096000.0,39899000.0,43961000.0,,
Operating Expense,11761000.0,4195000.0,15459000.0,7833000.0,-4916000.0,,
Other Operating Expenses,1284000.0,-8559000.0,-1381000.0,-5038000.0,-17446000.0,,
Depreciation And Amortization In Income Statement,311000.0,333000.0,316000.0,341000.0,327000.0,,
Depreciation Income Statement,311000.0,333000.0,316000.0,341000.0,327000.0,,
Selling General And Administration,6817000.0,7416000.0,9951000.0,6431000.0,8809000.0,,
Selling And Marketing Expense,1209000.0,1680000.0,2010000.0,3375000.0,2421000.0,,
General And Administrative Expense,5608000.0,5736000.0,7941000.0,3056000.0,6388000.0,,
Rent And Landing Fees,67000.0,,,,,,
Gross Profit,46570000.0,46253000.0,43555000.0,47732000.0,39045000.0,,
Cost Of Revenue,35289000.0,36079000.0,38954000.0,39291000.0,35328000.0,,
Total Revenue,81859000.0,82332000.0,82509000.0,87023000.0,74373000.0,,
Operating Revenue,81859000.0,82332000.0,82509000.0,87023000.0,74373000.0,,
