,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,,0.0,0.0,0.0,
Tax Rate For Calcs,0.225274,0.21,,0.231667,0.193656,0.18,
Normalized EBITDA,70406000.0,59453000.0,,58346000.0,59923000.0,55796000.0,
Total Unusual Items,,-191000.0,,,,-79000.0,-4070000.0
Total Unusual Items Excluding Goodwill,,-191000.0,,,,-79000.0,-4070000.0
Net Income From Continuing Operation Net Minority Interest,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Reconciled Depreciation,11125000.0,10525000.0,10806000.0,10146000.0,9884000.0,,
Reconciled Cost Of Revenue,121101000.0,100975000.0,,126843000.0,103434000.0,82968000.0,
EBITDA,70406000.0,59453000.0,,58346000.0,59923000.0,55796000.0,
EBIT,59281000.0,48928000.0,,48200000.0,50039000.0,47025000.0,
Net Interest Income,-9856000.0,-10736000.0,,-8534000.0,-6945000.0,-8637000.0,
Interest Expense,11366000.0,5526000.0,,9282000.0,7887000.0,4389000.0,
Interest Income,1510000.0,37000.0,,748000.0,942000.0,42000.0,
Normalized Income,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Net Income From Continuing And Discontinued Operation,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Total Expenses,221947000.0,197318000.0,,221077000.0,192994000.0,162465000.0,
Diluted Average Shares,151757554.0,152515100.0,151487884.0,151487884.0,151487884.0,,
Basic Average Shares,151757554.0,152515100.0,151487884.0,151487884.0,151487884.0,,
Diluted EPS,0.0246,0.225558,,0.198953,0.0229,0.228742,
Basic EPS,0.0246,0.225558,,0.198953,0.0229,0.228742,
Diluted NI Availto Com Stockholders,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Net Income Common Stockholders,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,,0.0,0.0,0.0,
Net Income,37309000.0,34401000.0,,30139000.0,33984000.0,34791000.0,
Minority Interests,188000.0,,,237000.0,-5000.0,,
Net Income Including Noncontrolling Interests,37121000.0,34401000.0,,29902000.0,33989000.0,34791000.0,
Net Income Continuous Operations,37121000.0,34401000.0,,29902000.0,33989000.0,34791000.0,
Tax Provision,10794000.0,9001000.0,,9016000.0,8163000.0,7845000.0,
Pretax Income,47915000.0,43402000.0,,38918000.0,42152000.0,42636000.0,
Special Income Charges,,-191000.0,,,,-79000.0,17000.0
Other Special Charges,,,,,,,67000.0
Write Off,,191000.0,,,,79000.0,-84000.0
Net Non Operating Interest Income Expense,-9856000.0,-10736000.0,,-8534000.0,-6945000.0,-8637000.0,
Total Other Finance Cost,,5247000.0,,,,4290000.0,1006000.0
Interest Expense Non Operating,11366000.0,5526000.0,,9282000.0,7887000.0,4389000.0,
Interest Income Non Operating,1510000.0,37000.0,,748000.0,942000.0,42000.0,
Operating Income,57771000.0,53840000.0,,47452000.0,49097000.0,50321000.0,
Operating Expense,100846000.0,96343000.0,,94234000.0,89560000.0,79497000.0,
Other Operating Expenses,-797000.0,996000.0,,-1721000.0,380000.0,403000.0,
Selling General And Administration,101643000.0,95819000.0,,95955000.0,89180000.0,79987000.0,
Selling And Marketing Expense,55998000.0,51307000.0,,49831000.0,44780000.0,41648000.0,
General And Administrative Expense,45645000.0,44512000.0,,46124000.0,44400000.0,38339000.0,
Gross Profit,158617000.0,150183000.0,,141686000.0,138657000.0,129818000.0,
Cost Of Revenue,121101000.0,100975000.0,,126843000.0,103434000.0,82968000.0,
Total Revenue,279718000.0,251158000.0,,268529000.0,242091000.0,212786000.0,
Operating Revenue,279718000.0,251158000.0,,268529000.0,242091000.0,212786000.0,
