,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,12377849.9,1174791.1,-318937.769784,40064724.5,58483104.482343,
Tax Rate For Calcs,0.0953,0.0763,0.012122,0.1973,0.266655,
Normalized EBITDA,255920000.0,204497000.0,187849000.0,126182000.0,363580000.0,
Total Unusual Items,129883000.0,15397000.0,-26310000.0,203065000.0,219321000.0,
Total Unusual Items Excluding Goodwill,129883000.0,15397000.0,-26310000.0,203065000.0,219321000.0,
Net Income From Continuing Operation Net Minority Interest,207378000.0,89119000.0,88258000.0,203521000.0,331555000.0,
Reconciled Depreciation,46153000.0,36099000.0,32118000.0,30250000.0,29237000.0,
Reconciled Cost Of Revenue,3905028000.0,3555875000.0,3662565000.0,4449802000.0,2839181000.0,
EBITDA,385803000.0,219894000.0,161539000.0,329247000.0,582901000.0,
EBIT,339650000.0,183795000.0,129421000.0,298997000.0,553664000.0,
Net Interest Income,-60853000.0,-35352000.0,12265000.0,27767000.0,-62949000.0,
Interest Expense,112082000.0,91580000.0,46021000.0,46043000.0,102516000.0,
Interest Income,54055000.0,60667000.0,60850000.0,76398000.0,41165000.0,
Normalized Income,89872849.9,74896791.1,114249062.230216,40520724.5,170717104.482343,
Net Income From Continuing And Discontinued Operation,207378000.0,89119000.0,88258000.0,203521000.0,331555000.0,
Total Expenses,4540934000.0,4099466000.0,4289908000.0,4971871000.0,3254697000.0,
Diluted Average Shares,503881474.0,501333333.0,,501172870.0,501124834.0,500942348.0
Basic Average Shares,500737647.0,499580314.0,,499497647.0,498587757.0,498297647.0
Diluted EPS,0.41156,0.1699,,0.40514,0.58889,0.38411
Basic EPS,0.41415,0.17049,,0.4065,0.5928,0.38615
Diluted NI Availto Com Stockholders,207378000.0,89119000.0,88258000.0,203521000.0,331555000.0,
Net Income Common Stockholders,207378000.0,89119000.0,88258000.0,203521000.0,331555000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,207378000.0,89119000.0,88258000.0,203521000.0,331555000.0,
Minority Interests,1490000.0,3944000.0,5869000.0,477000.0,708000.0,
Net Income Including Noncontrolling Interests,205888000.0,85175000.0,82389000.0,203044000.0,330847000.0,
Net Income Continuous Operations,205888000.0,85175000.0,82389000.0,203044000.0,330847000.0,
Tax Provision,21680000.0,7040000.0,1011000.0,49910000.0,120301000.0,
Pretax Income,227568000.0,92215000.0,83400000.0,252954000.0,451148000.0,
Special Income Charges,-3958000.0,-2901000.0,18862000.0,-22643000.0,-9280000.0,
Other Special Charges,-1482000.0,-7138000.0,,,647000.0,-5361000.0
Write Off,5440000.0,10039000.0,-4209000.0,22643000.0,8633000.0,
Net Non Operating Interest Income Expense,-60853000.0,-35352000.0,12265000.0,27767000.0,-62949000.0,
Total Other Finance Cost,2826000.0,4439000.0,2564000.0,2588000.0,1598000.0,
Interest Expense Non Operating,112082000.0,91580000.0,46021000.0,46043000.0,102516000.0,
Interest Income Non Operating,54055000.0,60667000.0,60850000.0,76398000.0,41165000.0,
Operating Income,159466000.0,107482000.0,76922000.0,23008000.0,308180000.0,
Operating Expense,635906000.0,543591000.0,627343000.0,522069000.0,415516000.0,
Other Operating Expenses,6853000.0,3243000.0,17531000.0,2634000.0,2554000.0,
Selling General And Administration,631491000.0,540643000.0,613406000.0,519435000.0,414338000.0,
Selling And Marketing Expense,578469000.0,496444000.0,571594000.0,478607000.0,383034000.0,
General And Administrative Expense,53022000.0,44199000.0,41812000.0,40828000.0,31304000.0,
Gross Profit,795372000.0,651073000.0,704265000.0,545077000.0,723696000.0,
Cost Of Revenue,3905028000.0,3555875000.0,3662565000.0,4449802000.0,2839181000.0,
Total Revenue,4700400000.0,4206948000.0,4366830000.0,4994879000.0,3562877000.0,
Operating Revenue,4700400000.0,4206948000.0,4366830000.0,4994879000.0,3562877000.0,
