,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,2448000.0,-51646000.0,-300560000.0,1296000.0,77908704.883227,
Tax Rate For Calcs,0.272,0.217,0.34,,0.380042,0.304
Normalized EBITDA,4224000000.0,3221000000.0,2382000000.0,1575000000.0,1188000000.0,
Total Unusual Items,9000000.0,-238000000.0,-884000000.0,4000000.0,205000000.0,
Total Unusual Items Excluding Goodwill,9000000.0,-238000000.0,-884000000.0,4000000.0,205000000.0,
Net Income From Continuing Operation Net Minority Interest,2351000000.0,1617000000.0,679000000.0,,301000000.0,615000000.0
Reconciled Depreciation,352000000.0,289000000.0,294000000.0,,263000000.0,242000000.0
Reconciled Cost Of Revenue,52188000000.0,45021000000.0,47692000000.0,,43719000000.0,42566000000.0
EBITDA,4233000000.0,2983000000.0,1498000000.0,,1393000000.0,1763000000.0
EBIT,3881000000.0,2694000000.0,1204000000.0,,1130000000.0,1521000000.0
Net Interest Income,-585000000.0,-597000000.0,-649000000.0,-663000000.0,-594000000.0,
Interest Expense,650000000.0,634000000.0,688000000.0,,659000000.0,658000000.0
Interest Income,20000000.0,23000000.0,16000000.0,,20000000.0,19000000.0
Normalized Income,2344448000.0,1803354000.0,1262440000.0,404296000.0,173908704.883227,
Net Income From Continuing And Discontinued Operation,2351000000.0,1617000000.0,679000000.0,,301000000.0,615000000.0
Total Expenses,53367000000.0,45463000000.0,47632000000.0,,44765000000.0,43431000000.0
Rent Expense Supplemental,112000000.0,94000000.0,129000000.0,,109000000.0,100000000.0
Diluted Average Shares,1204961304.0,1206165305.0,1192537107.0,1184294097.0,1119375232.0,
Basic Average Shares,1197412652.0,1198554938.0,1192537107.0,1178212587.0,1113989637.0,
Diluted EPS,1.9511,1.3406,0.569374,0.343665,0.2689,
Basic EPS,1.9634,1.3491,0.569374,0.345439,0.2702,
Diluted NI Availto Com Stockholders,2351000000.0,1617000000.0,679000000.0,,301000000.0,615000000.0
Net Income Common Stockholders,2351000000.0,1617000000.0,679000000.0,,301000000.0,615000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0
Net Income,2351000000.0,1617000000.0,679000000.0,,301000000.0,615000000.0
Minority Interests,-1000000.0,4000000.0,,,9000000.0,14000000.0
Net Income Including Noncontrolling Interests,2352000000.0,1613000000.0,679000000.0,,292000000.0,601000000.0
Net Income Continuous Operations,2352000000.0,1613000000.0,679000000.0,,292000000.0,601000000.0
Tax Provision,879000000.0,447000000.0,-163000000.0,,179000000.0,262000000.0
Pretax Income,3231000000.0,2060000000.0,516000000.0,,471000000.0,863000000.0
Other Non Operating Income Expenses,151000000.0,34000000.0,-692000000.0,,98000000.0,115000000.0
Special Income Charges,-77000000.0,-13000000.0,-1015000000.0,,89000000.0,-36000000.0
Other Special Charges,49000000.0,2000000.0,401000000.0,,416000000.0,21000000.0
Write Off,28000000.0,11000000.0,614000000.0,,-348000000.0,15000000.0
Restructuring And Mergern Acquisition,0.0,,0.0,,-157000000.0,
Net Non Operating Interest Income Expense,-585000000.0,-597000000.0,-649000000.0,-663000000.0,-594000000.0,
Total Other Finance Cost,-45000000.0,-14000000.0,-23000000.0,-21000000.0,-45000000.0,
Interest Expense Non Operating,650000000.0,634000000.0,688000000.0,,659000000.0,658000000.0
Interest Income Non Operating,20000000.0,23000000.0,16000000.0,,20000000.0,19000000.0
Operating Income,3917000000.0,2637000000.0,2686000000.0,,844000000.0,1475000000.0
Operating Expense,1179000000.0,442000000.0,-60000000.0,,1046000000.0,865000000.0
Other Operating Expenses,-79000000.0,-726000000.0,-1381000000.0,,-109000000.0,-267000000.0
Depreciation And Amortization In Income Statement,231000000.0,165000000.0,185000000.0,,155000000.0,141000000.0
Depreciation Income Statement,231000000.0,165000000.0,185000000.0,,155000000.0,141000000.0
Selling General And Administration,582000000.0,560000000.0,624000000.0,,521000000.0,579000000.0
Selling And Marketing Expense,527000000.0,506000000.0,559000000.0,,495000000.0,501000000.0
General And Administrative Expense,55000000.0,54000000.0,65000000.0,,26000000.0,78000000.0
Rent And Landing Fees,112000000.0,94000000.0,129000000.0,,109000000.0,100000000.0
Gross Profit,5096000000.0,3079000000.0,2626000000.0,,1890000000.0,2340000000.0
Cost Of Revenue,52188000000.0,45021000000.0,47692000000.0,,43719000000.0,42566000000.0
Total Revenue,57284000000.0,48100000000.0,50318000000.0,,45609000000.0,44906000000.0
Operating Revenue,57284000000.0,48100000000.0,50318000000.0,,45609000000.0,44906000000.0
