,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,50013000.0,-58227000.0,455531000.0,,12361000.0,-163636000.0,
Repayment Of Debt,,0.0,1802000.0,,60000000.0,-60000000.0,-72344081.0
Issuance Of Debt,,0.0,0.0,,,60000000.0,238182000.0
Capital Expenditure,-42413000.0,-18577000.0,,,-36343000.0,-19670000.0,
End Cash Position,416659000.0,308474000.0,398644000.0,,186085000.0,149941000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,,,-1000.0,1000.0,
Beginning Cash Position,398644000.0,398644000.0,234363000.0,,278153000.0,278153000.0,
Changes In Cash,18014000.0,-90170000.0,164281000.0,48278000.0,-92067000.0,,
Financing Cash Flow,-33878000.0,-31943000.0,-221343000.0,61328000.0,-109924000.0,,
Net Other Financing Charges,,,-32946000.0,,98453000.0,87424000.0,-499.0
Cash Dividends Paid,,,-163998000.0,1000.0,-155177000.0,,116.0
Net Issuance Payments Of Debt,,0.0,1802000.0,,0.0,0.0,165837919.0
Net Long Term Debt Issuance,,0.0,1802000.0,,0.0,0.0,165837919.0
Long Term Debt Payments,,0.0,1802000.0,,60000000.0,-60000000.0,-72344081.0
Long Term Debt Issuance,,0.0,0.0,,,60000000.0,238182000.0
Investing Cash Flow,-40534000.0,-18577000.0,-22047000.0,,-30847000.0,-42001000.0,
Net Other Investing Changes,-2212000.0,,-67378000.0,,,,-100468046.0
Dividends Received Cfi,0.0,0.0,0.0,,0.0,0.0,
Net Investment Purchase And Sale,4091000.0,0.0,-2529000.0,,5496000.0,-22331000.0,
Sale Of Investment,4091000.0,,,,5496000.0,,
Purchase Of Investment,,0.0,,,,-22331000.0,
Net Intangibles Purchase And Sale,-886000.0,-563000.0,-1936000.0,,-6776000.0,-5022000.0,
Purchase Of Intangibles,-886000.0,-563000.0,-1936000.0,,-6776000.0,-5022000.0,
Net PPE Purchase And Sale,-41527000.0,-18014000.0,,,-29567000.0,-14648000.0,
Purchase Of PPE,-41527000.0,-18014000.0,,,-29567000.0,-14648000.0,
Operating Cash Flow,92426000.0,-39650000.0,407671000.0,,48704000.0,-143966000.0,
Taxes Refund Paid,-60767000.0,-29369000.0,-20063000.0,,-45675000.0,-21913000.0,
Interest Paid Cfo,-80703000.0,-32219000.0,-29411000.0,,-39626000.0,-15936000.0,
Change In Working Capital,-151592000.0,-116919000.0,464626000.0,-427684000.0,-243160000.0,,
Change In Other Current Liabilities,8232000.0,10014000.0,8718000.0,-4965000.0,5032000.0,,
Change In Other Current Assets,-642000.0,-22424000.0,-1758000.0,,-98000.0,-7999000.0,
Change In Accrued Expense,-6691000.0,-22330000.0,27182000.0,,-5671000.0,-24281000.0,
Change In Payable,-74498000.0,-108020000.0,28520000.0,38211000.0,-226192000.0,,
Change In Inventory,-56807000.0,-70388000.0,143629000.0,-127462000.0,-161987000.0,,
Change In Receivables,-21186000.0,96229000.0,258335000.0,,145756000.0,229249000.0,
Other Non Cash Items,39531000.0,41801000.0,20450000.0,,28949000.0,22589000.0,
Provisionand Write Offof Assets,8793000.0,7231000.0,1249000.0,,12496000.0,4595000.0,
Deferred Tax,-14770000.0,-26280000.0,9199000.0,,-40308000.0,-44429000.0,
Depreciation And Amortization,83562000.0,41669000.0,41402000.0,,81645000.0,40820000.0,
Depreciation,83562000.0,41669000.0,41402000.0,,81645000.0,40820000.0,
Pension And Employee Benefit Expense,354000.0,,,,650000.0,,
Gain Loss On Investment Securities,,82000.0,,,,321000.0,
Net Foreign Currency Exchange Gain Loss,37444000.0,-56000.0,17890000.0,17328000.0,30148000.0,,
Gain Loss On Sale Of PPE,,,,,,,303813.0
Net Income From Continuing Operations,232460000.0,80795000.0,177527000.0,,266128000.0,115039000.0,
