,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,2895518000.0,2884632000.0,2708012000.0,2253111000.0,3629193000.0,,
Repurchase Of Capital Stock,-407000.0,-280000.0,-344121000.0,-2548281000.0,-475227000.0,,
Repayment Of Debt,-968775000.0,-971279000.0,-913156000.0,-2412436000.0,-1036740000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,,20000000.0,
Capital Expenditure,-2259394000.0,-2412750000.0,-2436927000.0,-2355981000.0,,-2421314000.0,
End Cash Position,8484361000.0,9063090000.0,7032339000.0,6796561000.0,9454104000.0,,
Beginning Cash Position,9063090000.0,7032339000.0,6796561000.0,9454104000.0,8185114000.0,,
Changes In Cash,-578729000.0,2030751000.0,235778000.0,-2657543000.0,1268990000.0,,
Financing Cash Flow,-3956397000.0,-1023434000.0,-1586566000.0,-5104357000.0,-2454510000.0,,
Cash Flow From Continuing Financing Activities,-3956397000.0,-1023434000.0,-1586566000.0,-5104357000.0,-2454510000.0,,
Net Other Financing Charges,-484622000.0,-51491000.0,-11348000.0,806094000.0,-22953000.0,,
Cash Dividends Paid,-2502593000.0,-384000.0,-317941000.0,-380000.0,-1868944000.0,,
Common Stock Dividend Paid,,,-317941000.0,-380000.0,,,-710824000.0
Net Common Stock Issuance,-407000.0,-280000.0,-344121000.0,-3497635000.0,474127000.0,,
Common Stock Payments,-407000.0,-280000.0,-344121000.0,-2548281000.0,,-326479000.0,
Net Issuance Payments Of Debt,-968775000.0,-971279000.0,-913156000.0,-2412436000.0,-1036740000.0,,
Net Long Term Debt Issuance,-968775000.0,-971279000.0,-913156000.0,-2412436000.0,,-849692000.0,
Long Term Debt Payments,-968775000.0,-971279000.0,-913156000.0,-2412436000.0,,-869692000.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-1777244000.0,-2243197000.0,-3322595000.0,-2162278000.0,-2149028000.0,,
Cash Flow From Continuing Investing Activities,-1777244000.0,-2243197000.0,-3322595000.0,-2162278000.0,,-2383618000.0,
Net Other Investing Changes,1079000.0,15240000.0,23985000.0,88677000.0,21437000.0,,
Dividends Received Cfi,,,,,,,51000.0
Net Investment Purchase And Sale,8498000.0,-13006000.0,-1073889000.0,-39272000.0,,8455000.0,
Sale Of Investment,,,-9163000.0,2219000.0,-1511000.0,8455000.0,0.0
Purchase Of Investment,7082000.0,-13006000.0,-1064726000.0,-41491000.0,,,57681000.0
Net Business Purchase And Sale,5008000.0,-5008000.0,,-393000.0,,-46559000.0,-168521000.0
Sale Of Business,0.0,0.0,,-393000.0,0.0,685000.0,
Purchase Of Business,,-5008000.0,,,,-47244000.0,
Net PPE Purchase And Sale,-1791829000.0,-2240423000.0,-2272399000.0,-2211290000.0,-2168954000.0,,
Sale Of PPE,467565000.0,172327000.0,164528000.0,144691000.0,74381000.0,,
Purchase Of PPE,-2259394000.0,-2412750000.0,-2436927000.0,-2355981000.0,-2243335000.0,,
Operating Cash Flow,5154912000.0,5297382000.0,5144939000.0,4609092000.0,,5090843000.0,
Cash Flow From Continuing Operating Activities,5154912000.0,5297382000.0,5144939000.0,4609092000.0,5872528000.0,,
Taxes Refund Paid,-271261000.0,-254331000.0,-188842000.0,-358493000.0,-181941000.0,,
Interest Paid Cfo,-520221000.0,-627237000.0,-466166000.0,-826233000.0,-391146000.0,,
Change In Working Capital,-920956000.0,-794735000.0,-1101765000.0,-989768000.0,-288846000.0,,
Change In Other Working Capital,350903000.0,-99605000.0,-3017000.0,599065000.0,253996000.0,,
Change In Other Current Liabilities,48572000.0,193036000.0,1477000.0,-23354000.0,,179504000.0,
Change In Other Current Assets,197000.0,-75945000.0,41692000.0,98641000.0,-58280000.0,,
Change In Payables And Accrued Expense,-571137000.0,497960000.0,299942000.0,-142253000.0,-412372000.0,,
Change In Payable,-571137000.0,497960000.0,299942000.0,-142253000.0,-412372000.0,,
Change In Account Payable,-571137000.0,497960000.0,299942000.0,-142253000.0,-412372000.0,,
Change In Prepaid Assets,-23929000.0,-725871000.0,-93838000.0,121278000.0,-102987000.0,,
Change In Inventory,-23881000.0,-284175000.0,-225320000.0,-263510000.0,,-117107000.0,
Change In Receivables,-701681000.0,-300135000.0,-1122701000.0,-1379635000.0,-120186000.0,,
Changes In Account Receivables,-689550000.0,-239259000.0,-910222000.0,-1063516000.0,35866000.0,,
Other Non Cash Items,833817000.0,880054000.0,1606129000.0,268051000.0,873205000.0,,
Provisionand Write Offof Assets,860631000.0,240988000.0,-324574000.0,980168000.0,999863000.0,,
Asset Impairment Charge,-719648000.0,295488000.0,-254243000.0,-263874000.0,-432174000.0,,
Depreciation Amortization Depletion,3983727000.0,3883815000.0,3822204000.0,3718264000.0,3688960000.0,,
Depreciation And Amortization,3983727000.0,3883815000.0,3822204000.0,3718264000.0,,3714976000.0,
Operating Gains Losses,25008000.0,70250000.0,-145260000.0,-21290000.0,49157000.0,,
Pension And Employee Benefit Expense,10721000.0,10738000.0,-27157000.0,-50389000.0,18779000.0,,
Earnings Losses From Equity Investments,-358000.0,1946000.0,-119215000.0,-621000.0,-545000.0,,
Net Foreign Currency Exchange Gain Loss,14645000.0,57566000.0,1112000.0,29720000.0,30923000.0,,
Net Income From Continuing Operations,1883815000.0,,,,1555450000.0,,
