data,ticker,nome,setor,industria,preco_atual,market_cap,pl,pl_forward,pvp,psr,ev_ebitda,roe,roa,margem_liquida,margem_bruta,margem_ebitda,dividend_yield,payout_ratio,divida_patrimonio,lpa,lpa_forward,beta,volume_medio
2026-08-24,ABCB4,ABC BRASIL  PN      N2,Financial Services,Banks - Regional,22.72,5854939136.0,4.0789943,4.7514977,0.8073916,2.3489144,,0.14905,0.01544,0.40916002,0.0,0.0,10.27,0.48479998,,5.57,4.78165,0.191,613946
2026-08-25,ABCB4,ABC BRASIL  PN      N2,Financial Services,Banks - Regional,23.05,5939979776.0,4.1382403,4.8205113,0.8191187,2.3830314,,0.14905,0.01544,0.40916002,0.0,0.0,10.28,0.48479998,,5.57,4.78165,0.191,618677
2026-08-27,ABCB4,ABC BRASIL  PN      N2,Financial Services,Banks - Regional,23.04,5937403392.0,4.136445,4.8184204,0.8187634,2.3819978,,0.14905,0.01544,0.40916002,0.0,0.0,10.13,0.48479998,,5.57,4.78165,0.191,622279
2026-08-24,ABEV3,AMBEV S/A   ON,Consumer Defensive,Beverages - Brewers,15.25,235154964480.0,14.805825,13.736759,2.6684163,2.6640933,8.1,0.184,0.10296,0.18406,0.51903,0.30346,4.87,0.7648,3.317,1.03,1.11016,0.262,27466189
2026-08-25,ABEV3,AMBEV S/A   ON,Consumer Defensive,Beverages - Brewers,15.31,236080185344.0,14.8640785,13.790806,2.678915,2.674575,8.245,0.184,0.10296,0.18406,0.51903,0.30346,4.79,0.7648,3.317,1.03,1.11016,0.262,27769703
2026-08-27,ABEV3,AMBEV S/A   ON,Consumer Defensive,Beverages - Brewers,15.24,235000774656.0,14.796117,13.727751,2.6666665,2.6623464,8.239,0.184,0.10296,0.18406,0.51903,0.30346,4.78,0.7648,3.317,1.03,1.11016,0.262,27481376
2026-08-24,ALOS3,ALLOS       ON      NM,Real Estate,Real Estate Services,26.01,13008670720.0,13.689474,13.390858,1.0120622,4.370368,9.596,0.07586,0.03656,0.31397,0.73697996,0.71266,13.43,1.5509,56.087,1.9,1.94237,0.123,4782490
2026-08-25,ALOS3,ALLOS       ON  ED  NM,Real Estate,Real Estate Services,26.56,13283747840.0,14.05291,13.674016,1.033463,4.4627824,9.58,0.07586,0.03656,0.31397,0.73697996,0.71266,13.47,1.5509,56.087,1.89,1.94237,0.123,4755887
2026-08-27,ALOS3,ALLOS       ON  ED  NM,Real Estate,Real Estate Services,26.43,13218729984.0,13.984127,13.607088,1.0284046,4.440939,9.71,0.07586,0.03656,0.31397,0.73697996,0.71266,13.19,1.5509,56.087,1.89,1.94237,0.123,4751846
2026-08-24,ALPA4,ALPARGATAS  PN      N1,Consumer Cyclical,Footwear & Accessories,12.7,8625871872.0,12.828282,10.339998,2.3831863,1.7870628,11.343,0.18084998,0.07609,0.14524001,0.52955,0.17177,5.04,0.5444,38.72,0.99,1.22824,0.545,1541273
2026-08-25,ALPA4,ALPARGATAS  PN      N1,Consumer Cyclical,Footwear & Accessories,13.24,8992642048.0,13.373737,10.779652,2.4845185,1.8630483,11.228,0.18084998,0.07609,0.14524001,0.52955,0.17177,5.1,0.5444,38.72,0.99,1.22824,0.545,1548087
2026-08-27,ALPA4,ALPARGATAS  PN      N1,Consumer Cyclical,Footwear & Accessories,13.6,9237154816.0,13.737374,11.072755,2.5520737,1.9137052,11.671,0.18084998,0.07609,0.14524001,0.52955,0.17177,4.89,0.5444,38.72,0.99,1.22824,0.545,1553075
2026-08-24,ALUP11,ALUPAR      UNT ED  N2,Utilities,Utilities - Renewable,31.96,15201965056.0,7.6587586,11.524343,1.1495988,3.0343657,7.9,0.15841,0.05696,0.27677,0.65850997,0.64697,2.33,,111.329,4.173,2.77326,0.141,880614
2026-08-25,ALUP11,ALUPAR      UNT ED  N2,Utilities,Utilities - Renewable,32.66,15534924800.0,7.8265038,11.776753,1.1166958,3.1008255,7.882,0.15841,0.05696,0.27677,0.65850997,0.64697,2.35,,111.329,4.173,2.77326,0.141,882693
2026-08-27,ALUP11,ALUPAR      UNT ED  N2,Utilities,Utilities - Renewable,32.8,15601516544.0,7.8600526,11.827235,1.1214825,3.1141176,7.968,0.15841,0.05696,0.27677,0.65850997,0.64697,2.3,,111.329,4.173,2.77326,0.141,877610
